"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5772";"peptide.count.P5774";"spectra.count.P5772";"spectra.count.P5774";"dNSAF.P5772";"dNSAF.P5774";"Go.Cc";"norm.sc"
"274";274;"P49411";"P49411";"P49411";"EFTU_HUMAN";"Elongation factor Tu, mitochondrial";"TUFM";12;29;0,0028195824075185;9;10;13;16;0,00306342076668046;0,00363133289168448;"mitochondrion, extracellular vesicular exosome, mitochondrial nucleoid";0,00355915562101129
"275";275;"P49588";"P49588";"P49588";"SYAC_HUMAN";"Alanine--tRNA ligase, cytoplasmic";"AARS";4;6;0,000272396248546244;NA;4;NA;6;NA;0,000635858393740206;"cytoplasm, cytosol, extracellular vesicular exosome";0,000736377025036819
"277";277;"P50395";"P50395-1";"P50395-1";"GDIB_HUMAN";"Rab GDP dissociation inhibitor beta";"GDI2";6;11;0,0010863203200451;2;6;2;9;NA;NA;"cytosol, Golgi apparatus, extracellular vesicular exosome, cytoplasm, membrane";0,00135002454590083
"278";278;"P50502";"P50502";"P50502";"F10A1_HUMAN";"Hsc70-interacting protein";"ST13";6;16;0,00190554340446442;4;6;7;9;0,00202056771018907;0,00250207693146553;"cytoplasm, extracellular vesicular exosome, protein complex, cytosol";0,00196367206676485
"279";279;"P50552";"P50552";"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";4;6;0,000693893601559906;NA;4;NA;6;NA;0,00161976559247505;"filopodium membrane, extracellular vesicular exosome, plasma membrane, tight junction, cytoplasm, focal adhesion, actin cytoskeleton, lamellipodium membrane, cytosol";0,000736377025036819
"280";280;"P50914";"P50914";"P50914";"RL14_HUMAN";"60S ribosomal protein L14";"RPL14";7;29;0,00592768022417843;7;7;12;17;0,0059448995486493;0,00811138428479755;"cytosol, extracellular vesicular exosome, cytoplasm, cytosolic large ribosomal subunit";0,00355915562101129
"281";281;"P50990";"P50990";"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";13;22;0,00176427935189806;5;11;6;16;0,0011661983603646;0,00299518698365216;"cell body, cytosol, centrosome, zona pellucida receptor complex, cytoplasm, aggresome, microtubule, extracellular vesicular exosome, intermediate filament cytoskeleton, chaperonin-containing T-complex";0,00270004909180167
"282";282;"P50991";"P50991";"P50991";"TCPD_HUMAN";"T-complex protein 1 subunit delta";"CCT4";11;16;0,00130453713589494;8;5;8;8;0,00158089474701249;0,00152259969113301;"extracellular vesicular exosome, centrosome, microtubule, cytoplasm, cell body, zona pellucida receptor complex, nucleus, chaperonin-containing T-complex, cytosol, melanosome";0,00196367206676485
"283";283;"P51148";"P51148";"P51148";"RAB5C_HUMAN";"Ras-related protein Rab-5C";"RAB5C";2;4;0,000813825828990014;2;2;2;2;0,000986229477592284;0,000949862538797098;"melanosome, early endosome membrane, lysosomal membrane, extracellular vesicular exosome, lipid particle, plasma membrane, endocytic vesicle, intracellular membrane-bounded organelle";0,000490918016691213
"284";284;"P51572";"P51572-1,P51572-2";"P51572-1,P51572-2";"BAP31_HUMAN";"B-cell receptor-associated protein 31";"BCAP31";7;19;0,00169712459460113;6;7;10;9;NA;NA;"Golgi membrane, endoplasmic reticulum, integral component of plasma membrane, cytosol, endoplasmic reticulum membrane, lipid particle, endoplasmic reticulum-Golgi intermediate compartment membrane, integral component of lumenal side of endoplasmic reticulum membrane";0,00233186057928326
"285";285;"P51858";"P51858";"P51858";"HDGF_HUMAN";"Hepatoma-derived growth factor";"HDGF";3;3;0,000549332434568259;NA;3;NA;3;NA;0,00128231442737608;"nucleus, transcriptional repressor complex, extracellular space, cytoplasm, nucleoplasm";0,000368188512518409
"287";287;"P52209";"P52209";"P52209";"6PGD_HUMAN";"6-phosphogluconate dehydrogenase, decarboxylating";"PGD";3;7;0,000636907170513924;2;3;2;5;0,000441046722898413;0,0010619581179098;"extracellular vesicular exosome, cytosol";0,000859106529209622
"288";288;"P52272";"P52272-1,P52272-2";"P52272-1,P52272-2";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";5;7;0,000210702851615223;4;3;4;3;NA;NA;"paraspeckles, integral component of plasma membrane, nuclear matrix, nucleus, spliceosomal complex, nucleoplasm, catalytic step 2 spliceosome";0,000859106529209622
"289";289;"P52565";"P52565";"P52565";"GDIR1_HUMAN";"Rho GDP-dissociation inhibitor 1";"ARHGDIA";3;8;0,00172339587315532;3;3;3;5;0,00156636446441128;0,00251434201446291;"cytoskeleton, cytosol, immunological synapse, extracellular vesicular exosome";0,000981836033382425
"290";290;"P52566";"P52566";"P52566";"GDIR2_HUMAN";"Rho GDP-dissociation inhibitor 2";"ARHGDIB";6;19;0,00415415572409828;5;6;8;11;0,00423931476935191;0,00561411291587539;"cytoplasmic membrane-bounded vesicle, cytosol, extracellular vesicular exosome, cytoskeleton, cytoplasm";0,00233186057928326
"293";293;"P52907";"P52907";"P52907";"CAZA1_HUMAN";"F-actin-capping protein subunit alpha-1";"CAPZA1";2;4;0,000614637689027423;2;2;2;2;0,000744844640419348;0,000717378700629976;"WASH complex, cytoskeleton, F-actin capping protein complex, extracellular vesicular exosome, extracellular region, actin cytoskeleton, cytosol";0,000490918016691213
"296";296;"P53621";"P53621-1,P53621-2";"P53621-1,P53621-2";"COPA_HUMAN";"Coatomer subunit alpha";"COPA";2;8;0,000143616322762944;2;2;4;4;NA;NA;"extracellular vesicular exosome, COPI vesicle coat, extracellular space, cytoplasm, cytosol";0,000981836033382425
"297";297;"P53999";"P53999";"P53999";"TCP4_HUMAN";"Activated RNA polymerase II transcriptional coactivator p15";"SUB1";3;7;0,00242225325478917;3;3;3;4;0,00251605000582599;0,00323102847842792;"nucleolus, nucleus, transcription factor complex, extracellular vesicular exosome";0,000859106529209622
"298";298;"P54577";"P54577";"P54577";"SYYC_HUMAN";"Tyrosine--tRNA ligase, cytoplasmic";"YARS";5;7;0,000582625309390578;NA;5;NA;7;NA;0,00136003045327766;"nucleus, cytosol, cytoplasm, extracellular space";0,000859106529209622
"299";299;"P54819";"P54819-1,P54819-2,P54819-3,P54819-5";"P54819-1,P54819-2,P54819-3,P54819-5";"KAD2_HUMAN";"Adenylate kinase 2, mitochondrial";"AK2";3;10;0,000459692413864652;2;3;6;4;NA;NA;"extracellular vesicular exosome, mitochondrial intermembrane space, mitochondrial inner membrane, sperm mitochondrial sheath, cytosol";0,00122729504172803
"300";300;"P55072";"P55072";"P55072";"TERA_HUMAN";"Transitional endoplasmic reticulum ATPase";"VCP";11;22;0,00119953484471481;8;9;11;11;0,00145364841114098;0,00140004552864882;"extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum, intracellular membrane-bounded organelle, lipid particle, nucleus, site of double-strand break, proteasome complex, cytoplasm, cytosol";0,00270004909180167
"301";301;"P55884";"P55884-1,P55884-2";"P55884-1,P55884-2";"EIF3B_HUMAN";"Eukaryotic translation initiation factor 3 subunit B";"EIF3B";1;1;2,69942228289071e-05;NA;1;NA;1;NA;NA;"eukaryotic translation initiation factor 3 complex, extracellular vesicular exosome, eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex";0,000122729504172803
"305";305;"P60174";"P60174-1,P60174-3";"P60174-1,P60174-3";"TPIS_HUMAN";"Triosephosphate isomerase";"TPI1";14;34;0,00261221017836655;9;14;13;21;NA;NA;"extracellular vesicular exosome, cytosol, extracellular space";0,00417280314187531
"307";307;"P60709";"P60709,P63261";"P60709,P63261";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";8;71;0,0110034955041208;7;7;32;39;0,0115162889212806;0,0146125224632765;"extracellular vesicular exosome, nucleoplasm, cortical cytoskeleton, cytoplasm, MLL5-L complex, axon, cytosol, ribonucleoprotein complex, extracellular space, NuA4 histone acetyltransferase complex, cytoskeleton, blood microparticle, postsynaptic density";0,00871379479626902
"308";308;"P60842";"P60842";"P60842";"IF4A1_HUMAN";"Eukaryotic initiation factor 4A-I";"EIF4A1";6;11;0,00148833910843617;4;6;4;7;0,00131173378793062;0,00221088694375187;"extracellular vesicular exosome, eukaryotic translation initiation factor 4F complex, cytosol";0,00135002454590083
"309";309;"P60866";"P60866-1,P60866-2";"P60866-1,P60866-2";"RS20_HUMAN";"40S ribosomal protein S20";"RPS20";4;14;0,00258509380973298;3;4;6;8;NA;NA;"extracellular vesicular exosome, cytosol, cytoplasm, cytosolic small ribosomal subunit";0,00171821305841924
"311";311;"P60953";"P60953-2";"P60953-2";"CDC42_HUMAN";"Cell division control protein 42 homolog";"CDC42";2;2;0,000460173767177599;NA;2;NA;2;NA;NA;"spindle midzone, midbody, cytoplasm, membrane, neuron projection, neuronal cell body, extracellular vesicular exosome, cytosol, apical part of cell, Golgi membrane, mitotic spindle, plasma membrane, secretory granule, filopodium, microtubule organizing center";0,000245459008345606
"312";312;"P61006";"P61006";"P61006";"RAB8A_HUMAN";"Ras-related protein Rab-8A";"RAB8A";2;3;0,00106151195085654;2;1;2;1;0,00166617650872734;0,000859006122042593;"dendrite, postsynaptic density, extracellular vesicular exosome, cytoplasmic vesicle membrane, phagocytic vesicle membrane, Golgi membrane, nonmotile primary cilium, recycling endosome membrane, neuronal cell body, phagocytic vesicle, plasma membrane";0,000368188512518409
"313";313;"P61026";"P61026";"P61026";"RAB10_HUMAN";"Ras-related protein Rab-10";"RAB10";1;1;0,000366221623045506;1;0;1;0;0,000862246343266397;0;"trans-Golgi network, cytoplasmic vesicle membrane, insulin-responsive compartment, extracellular vesicular exosome, endosome, phagocytic vesicle membrane, recycling endosome, endoplasmic reticulum tubular network, Golgi apparatus, recycling endosome membrane, endoplasmic reticulum membrane, primary cilium";0,000122729504172803
"314";314;"P61088";"P61088,Q5JXB2";"P61088,Q5JXB2";"UBE2N_HUMAN, UE2NL_HUMAN";"Putative ubiquitin-conjugating enzyme E2 N-like, Ubiquitin-conjugating enzyme E2 N";"UBE2N, UBE2NL";2;6;0,000864523175713982;2;2;2;4;0,000698444482491585;0,0013453790713454;"ubiquitin ligase complex, UBC13-UEV1A complex, cytosol, nucleus, cytoplasm, UBC13-MMS2 complex, extracellular vesicular exosome";0,000736377025036819
"315";315;"P61106";"P61106";"P61106";"RAB14_HUMAN";"Ras-related protein Rab-14";"RAB14";1;3;0,000817611065403921;1;1;1;2;0,000636953523069568;0,00133599270573136;"plasma membrane, recycling endosome, perinuclear region of cytoplasm, phagocytic vesicle membrane, early endosome membrane, early endosome, late endosome, trans-Golgi network transport vesicle, intracellular, cytoplasmic vesicle membrane, intracellular membrane-bounded organelle, lysosome, extracellular vesicular exosome, nuclear outer membrane-endoplasmic reticulum membrane network, cytosol, lysosomal membrane, phagocytic vesicle, Golgi stack, Golgi membrane, rough endoplasmic reticulum";0,000368188512518409
"316";316;"P61158";"P61158";"P61158";"ARP3_HUMAN";"Actin-related protein 3";"ACTR3";1;1;0,000105135394175743;NA;1;NA;1;NA;0,000245419029162887;"podosome, cytosol, actin cytoskeleton, lamellipodium, extracellular vesicular exosome, excitatory synapse, hemidesmosome, Golgi membrane, Arp2/3 protein complex";0,000122729504172803
"317";317;"P61224";"P61224";"P61224";"RAP1B_HUMAN";"Ras-related protein Rap-1b";"RAP1B";5;13;0,00382144302308354;5;4;8;5;0,0052098644142375;0,00390269608331851;"intracellular, cell-cell junction, membrane, plasma membrane, lipid particle, cytosol, extracellular vesicular exosome";0,00159548355424644
"318";318;"P61247";"P61247";"P61247";"RS3A_HUMAN";"40S ribosomal protein S3a";"RPS3A";9;27;0,00449453810101303;8;9;13;14;0,00524494767628624;0,00544012181311065;"ribonucleoprotein complex, nucleolus, nucleus, extracellular vesicular exosome, cytoplasm, cytosolic small ribosomal subunit, cytosol";0,00331369661266568
"319";319;"P61254";"P61254";"P61254";"RL26_HUMAN";"60S ribosomal protein L26";"RPL26";6;17;0,0051523593862954;6;4;10;7;0,0073457092124115;0,00495238675400418;"cytosolic large ribosomal subunit, cytosol, extracellular vesicular exosome";0,00208640157093765
"321";321;"P61353";"P61353";"P61353";"RL27_HUMAN";"60S ribosomal protein L27";"RPL27";5;17;0,00549332434568259;5;5;10;7;0,00783182232205638;0,00528011823037211;"ribonucleoprotein complex, extracellular vesicular exosome, cytosol, ribosome, cytosolic large ribosomal subunit";0,00208640157093765
"322";322;"P61513";"P61513";"P61513";"RL37A_HUMAN";"60S ribosomal protein L37a";"RPL37A";2;4;0,00191072151154177;2;NA;4;NA;0,00463099059043333;NA;"extracellular vesicular exosome, cytosolic large ribosomal subunit, cytosol";0,000490918016691213
"323";323;"P61586";"P61586";"P61586";"RHOA_HUMAN";"Transforming protein RhoA";"RHOA";6;18;0,00409864614392898;5;4;10;8;0,00551879707668221;0,00425223437057354;"plasma membrane, lamellipodium, cell junction, cytoskeleton, apical junction complex, cleavage furrow, extracellular vesicular exosome, cytosol, cell cortex, midbody";0,00220913107511046
"324";324;"P61604";"P61604";"P61604";"CH10_HUMAN";"10 kDa heat shock protein, mitochondrial";"HSPE1";4;18;0,00775528142919896;4;4;8;10;0,00835394381019347;0,0100573680578516;"mitochondrial matrix, mitochondrion, extracellular vesicular exosome";0,00220913107511046
"327";327;"P61978";"P61978-1,P61978-2,P61978-3";"P61978-1,P61978-2,P61978-3";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";9;26;0,000822614444853837;8;7;14;12;NA;NA;"nucleus, catalytic step 2 spliceosome, podosome, nuclear chromatin, nucleoplasm, cell projection, extracellular vesicular exosome, cell junction, cytoplasm";0,00319096710849288
"328";328;"P61981";"P61981";"P61981";"1433G_HUMAN";"14-3-3 protein gamma";"YWHAG";5;15;0,00317135496293951;4;4;7;8;0,00353394838381246;0,00397562204764881;"cytosol, cytoplasmic vesicle membrane, extracellular vesicular exosome";0,00184094256259205
"330";330;"P62158";"P62158";"P62158";"CALM_HUMAN";"Calmodulin";"CALM2,CALM1,CALM3";3;6;0,00176966153417963;NA;3;NA;6;NA;0,00413094580631221;"centrosome, spindle microtubule, cytoplasm, extracellular region, growth cone, nucleoplasm, spindle pole, extracellular vesicular exosome, sarcomere, plasma membrane, cytosol";0,000736377025036819
"331";331;"P62195";"P62195";"P62195";"PRS8_HUMAN";"26S protease regulatory subunit 8";"PSMC5";1;1;0,000108242844249903;NA;1;NA;1;NA;0,000252672793571642;"nucleus, inclusion body, nucleoplasm, nuclear proteasome complex, proteasome accessory complex, cytoplasm, cytosol, cytosolic proteasome complex, blood microparticle, extracellular vesicular exosome, cytoplasmic vesicle, proteasome complex";0,000122729504172803
"332";332;"P62241";"P62241";"P62241";"RS8_HUMAN";"40S ribosomal protein S8";"RPS8";5;17;0,003591788995254;5;5;9;8;0,00460872621259471;0,00394558285346487;"ribonucleoprotein complex, cytoplasm, cytosolic small ribosomal subunit, cytosol, extracellular vesicular exosome";0,00208640157093765
"333";333;"P62244";"P62244";"P62244";"RS15A_HUMAN";"40S ribosomal protein S15a";"RPS15A";4;12;0,00405660874758099;3;4;6;6;0,00491597462676769;0,00473469942415784;"cytosolic small ribosomal subunit, cytoplasm, extracellular vesicular exosome, cytosol";0,00147275405007364
"334";334;"P62249";"P62249";"P62249";"RS16_HUMAN";"40S ribosomal protein S16";"RPS16";5;15;0,00451506110604049;4;4;8;7;0,00583631690849133;0,00491846629678497;"extracellular vesicular exosome, small ribosomal subunit, cytosol, cytosolic small ribosomal subunit";0,00184094256259205
"335";335;"P62258";"P62258-1";"P62258-1";"1433E_HUMAN";"14-3-3 protein epsilon";"YWHAE";7;21;0,00411964949678725;6;7;10;11;NA;NA;"cytosol, kinesin complex, cytoplasmic vesicle membrane, melanosome, mitochondrion, extracellular vesicular exosome";0,00257731958762887
"336";336;"P62263";"P62263";"P62263";"RS14_HUMAN";"40S ribosomal protein S14";"RPS14";5;14;0,00407451871997649;5;3;8;6;0,00564306138172009;0,00407623129232132;"nucleolus, extracellular vesicular exosome, cytosolic small ribosomal subunit, cytosol, mitochondrion";0,00171821305841924
"338";338;"P62269";"P62269";"P62269";"RS18_HUMAN";"40S ribosomal protein S18";"RPS18";9;24;0,00693893601559906;9;6;15;9;0,0105111299585493;0,00607412097178144;"small ribosomal subunit, extracellular vesicular exosome, cytosolic small ribosomal subunit, ribosome, cytosol";0,00294550810014728
"339";339;"P62273";"P62273-1";"P62273-1";"RS29_HUMAN";"40S ribosomal protein S29";"RPS29";2;4;0,0031390424832472;2;NA;4;NA;NA;NA;"cytosol, small ribosomal subunit, extracellular vesicular exosome, cytoplasm, cytosolic small ribosomal subunit";0,000490918016691213
"340";340;"P62277";"P62277";"P62277";"RS13_HUMAN";"40S ribosomal protein S13";"RPS13";3;8;0,00232829641141514;3;2;6;2;0,00423229603629007;0,00135874376410711;"cytosol, extracellular vesicular exosome, cytosolic small ribosomal subunit, nucleus, ribosome, nucleolus";0,000981836033382425
"341";341;"P62280";"P62280";"P62280";"RS11_HUMAN";"40S ribosomal protein S11";"RPS11";8;20;0,00556286009689376;7;5;11;9;0,00741544695809895;0,00584345815006823;"cytosolic small ribosomal subunit, ribosome, cytosol, extracellular vesicular exosome";0,00245459008345606
"343";343;"P62328";"P62328";"P62328";"TYB4_HUMAN";"Thymosin beta-4";"TMSB4X";4;17;0,0169793661593826;2;4;6;11;0,0145244704881773;0,0256462885475217;"platelet alpha granule lumen, extracellular region, cytoskeleton";0,00208640157093765
"346";346;"P62701";"P62701";"P62701";"RS4X_HUMAN";"40S ribosomal protein S4, X isoform";"RPS4X";14;48;0,00802067128799283;13;12;26;22;0,0105297808862324;0,00858126765088177;"ribosome, extracellular vesicular exosome, cytosol, polysome, ribonucleoprotein complex, small ribosomal subunit, cytosolic small ribosomal subunit";0,00589101620029455
"347";347;"P62750";"P62750";"P62750";"RL23A_HUMAN";"60S ribosomal protein L23a";"RPL23A";5;13;0,00366221623045506;4;4;7;6;0,00477941977602415;0,00394558285346487;"cytosolic large ribosomal subunit, extracellular vesicular exosome, cytosol, nucleus";0,00159548355424644
"349";349;"P62805";"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";5;21;0,00895998534053083;5;4;12;9;0,0124092563394136;0,00896375133699786;"nucleosome, extracellular vesicular exosome, extracellular region, nucleoplasm, nucleus";0,00257731958762887
"350";350;"P62826";"P62826";"P62826";"RAN_HUMAN";"GTP-binding nuclear protein Ran";"RAN";5;12;0,00244147748697004;4;4;6;6;0,00295868843277685;0,00284958761639129;"cytoplasm, nucleoplasm, extracellular vesicular exosome, melanosome, nuclear pore, cytosol";0,00147275405007364
"351";351;"P62829";"P62829";"P62829";"RL23_HUMAN";"60S ribosomal protein L23";"RPL23";6;24;0,00753370195979327;5;5;14;10;0,0106512783579967;0,00732751101357762;"nucleolus, cytoplasm, ribosome, extracellular vesicular exosome, cytosol, cytosolic large ribosomal subunit";0,00294550810014728
"354";354;"P62851";"P62851";"P62851";"RS25_HUMAN";"40S ribosomal protein S25";"RPS25";3;8;0,00281258206498949;2;3;3;5;0,0025563068059192;0,00410340616760346;"extracellular vesicular exosome, small ribosomal subunit, cytosolic small ribosomal subunit, ribosome, cytosol, cytoplasm, nucleolus";0,000981836033382425
"355";355;"P62854";"P62854";"P62854";"RS26_HUMAN";"40S ribosomal protein S26";"RPS26";3;12;0,00458573162770025;2;3;6;6;0,00555718870852;0,00535226891426539;"nucleolus, cytoplasm, cytosolic small ribosomal subunit, small ribosomal subunit, extracellular vesicular exosome, cytosol";0,00147275405007364
"356";356;"P62857";"P62857";"P62857";"RS28_HUMAN";"40S ribosomal protein S28";"RPS28";3;8;0,00509525736411139;2;3;3;5;0,00463099059043333;0,0074337068253686;"cytosolic small ribosomal subunit, extracellular vesicular exosome, small ribosomal subunit, cytoplasm, cytosol";0,000981836033382425
"357";357;"P62879";"P62873,P62879,Q9HAV0";"P62873,P62879,Q9HAV0";"GBB1_HUMAN, GBB2_HUMAN, GBB4_HUMAN";"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2, Guanine nucleotide-binding protein subunit beta-4";"GNB1, GNB2, GNB4";2;2;8,61697936577662e-05;2;NA;2;NA;0,000208848595254837;NA;"protein complex, perinuclear region of cytoplasm, lysosomal membrane, extracellular vesicular exosome, plasma membrane, cell body";0,000245459008345606
"358";358;"P62888";"P62888";"P62888";"RL30_HUMAN";"60S ribosomal protein L30";"RPL30";3;8;0,0042035873253919;3;3;3;5;0,00370479247234667;0,00624431373330962;"cytoplasm, cytosol, extracellular vesicular exosome, cytosolic large ribosomal subunit";0,000981836033382425
"359";359;"P62899";"P62899-1";"P62899-1";"RL31_HUMAN";"60S ribosomal protein L31";"RPL31";4;13;0,00457044585560792;4;3;7;6;NA;NA;"cytosolic large ribosomal subunit, cytosol, extracellular vesicular exosome";0,00159548355424644
"360";360;"P62906";"P62906";"P62906";"RL10A_HUMAN";"60S ribosomal protein L10a";"RPL10A";4;13;0,00263274530852991;3;4;6;7;0,00294505392387005;0,00330919852226086;"nucleolus, cytosolic large ribosomal subunit, cytosol, cytoplasm, extracellular vesicular exosome";0,00159548355424644
"362";362;"P62913";"P62913-1,P62913-2";"P62913-1,P62913-2";"RL11_HUMAN";"60S ribosomal protein L11";"RPL11";3;9;0,00111100941822794;3;3;4;5;NA;NA;"extracellular vesicular exosome, cytosol, cytosolic large ribosomal subunit, nucleolus";0,00110456553755523
"364";364;"P62937";"P62937";"P62937";"PPIA_HUMAN";"Peptidyl-prolyl cis-trans isomerase A";"PPIA";11;51;0,013583492927506;11;9;29;22;0,0187204286292063;0,0136780205586782;"extracellular vesicular exosome, cytosol, extracellular region, nucleus";0,00625920471281296
"365";365;"P62979";"P62979";"P62979";"RS27A_HUMAN";"Ubiquitin-40S ribosomal protein S27a";"RPS27A";1;1;0,00136159321388714;0;1;0;1;0;0,00236734971207892;"endocytic vesicle membrane, small ribosomal subunit, extracellular vesicular exosome, nucleoplasm, plasma membrane, endosome membrane, cytosolic small ribosomal subunit, cytosol";0,000122729504172803
"366";366;"P62987";"P62987";"P62987";"RL40_HUMAN";"Ubiquitin-60S ribosomal protein L40";"UBA52";2;5;0,00829720864712475;1;2;1;4;0,00915344233890339;0,0115408298463847;"endocytic vesicle membrane, cytosolic large ribosomal subunit, endosome membrane, nucleoplasm, ribosome, plasma membrane, lysosomal membrane, cytosol";0,000613647520864016
"367";367;"P63104";"P63104";"P63104";"1433Z_HUMAN";"14-3-3 protein zeta/delta";"YWHAZ";9;24;0,00564427055909473;5;9;9;15;0,00490679846706118;0,00846676750417183;"melanosome, mast cell granule, nucleoplasm, protein complex, extracellular vesicular exosome, cytoplasmic vesicle membrane, mitochondrion, blood microparticle, postsynaptic density, cytosol, cell leading edge, perinuclear region of cytoplasm, cytoplasm, extracellular space";0,00294550810014728
"370";370;"P63244";"P63244";"P63244";"GBLP_HUMAN";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";5;6;0,000831796746349415;NA;5;NA;6;NA;0,00194167484271457;"cytoskeleton, mitochondrion, perikaryon, neuronal cell body, cytoplasm, midbody, dendrite, nucleus, extracellular vesicular exosome, small ribosomal subunit, perinuclear region of cytoplasm, cytosol, phagocytic cup";0,000736377025036819
"371";371;"P67809";"P67809";"P67809";"YBOX1_HUMAN";"Nuclease-sensitive element-binding protein 1";"YBX1";8;22;0,00298402803963005;3;8;6;16;0,00197245895518457;0,00506593354025119;"nucleoplasm, cytoplasm, histone pre-mRNA 3'end processing complex, nuclear membrane, nucleus, ribonucleoprotein complex, extracellular vesicular exosome, cytoplasmic stress granule, CRD-mediated mRNA stability complex, intracellular membrane-bounded organelle, U12-type spliceosomal complex";0,00270004909180167
"372";372;"P67936";"P67936-1";"P67936-1";"TPM4_HUMAN";"Tropomyosin alpha-4 chain";"TPM4";5;11;0,00268861258298147;4;3;5;6;NA;NA;"muscle thin filament tropomyosin, extracellular vesicular exosome, cytoskeleton, cortical cytoskeleton, stress fiber, podosome, cytosol, filamentous actin";0,00135002454590083
"374";374;"P68104";"P68104,Q5VTE0";"P68104,Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";16;65;0,00309148123350103;12;13;31;34;0,00357348083439282;0,00377477840093392;"cytoplasm, nucleolus, cytosol, extracellular vesicular exosome, eukaryotic translation elongation factor 1 complex, plasma membrane, extracellular space, nucleus";0,0079774177712322
"375";375;"P68133";"P68032,P68133";"P68032,P68133";"ACTC_HUMAN, ACTS_HUMAN";"Actin, alpha cardiac muscle 1, Actin, alpha skeletal muscle";"ACTA1, ACTC1";1;4;0,000607301027306514;1;1;2;2;0,000699805243545134;0,000738582011978646;"blood microparticle, extracellular space, striated muscle thin filament, sarcomere, extracellular vesicular exosome, actin filament, cytosol, stress fiber, actin cytoskeleton";0,000490918016691213
"377";377;"P68371";"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";1;3;0,00228903210295217;1;1;1;2;0,00169257874388711;0,0038860507847288;"microtubule, cytoskeleton, cytosol, extracellular vesicular exosome";0,000368188512518409
"378";378;"P68431";"P68431,P84243,Q16695,Q71DI3";"P68431,P84243,Q16695,Q71DI3";"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN";"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3";"H3F3A,H3F3B, HIST1H3C,HIST1H3G,HIST1H3I,HIST1H3F,HIST1H3H,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3B,HIST1H3A, HIST2H3A,HIST2H3C,HIST2H3D, HIST3H3";4;9;0,000727057633987402;2;3;5;4;0,000978977790257047;0,000754302604338872;"extracellular vesicular exosome, nucleoplasm, nucleosome, extracellular region";0,00110456553755523
"379";379;"P78371";"P78371-1,P78371-2";"P78371-1,P78371-2";"TCPB_HUMAN";"T-complex protein 1 subunit beta";"CCT2";7;13;0,000533930590608402;4;6;5;8;NA;NA;"cytosol, cell body, microtubule, zona pellucida receptor complex, chaperonin-containing T-complex, extracellular vesicular exosome";0,00159548355424644
"381";381;"P81605";"P81605-1,P81605-2";"P81605-1,P81605-2";"DCD_HUMAN";"Dermcidin";"DCD";1;4;0,00079902899573565;1;1;2;2;NA;NA;"extracellular vesicular exosome, extracellular region";0,000490918016691213
"382";382;"P83731";"P83731";"P83731";"RL24_HUMAN";"60S ribosomal protein L24";"RPL24";7;20;0,00559829232681029;7;5;11;9;0,00746267910432888;0,00588067762873108;"cytosol, cytosolic large ribosomal subunit, extracellular vesicular exosome";0,00245459008345606
"384";384;"P84077";"P61204,P84077";"P61204,P84077";"ARF1_HUMAN, ARF3_HUMAN";"ADP-ribosylation factor 1, ADP-ribosylation factor 3";"ARF1, ARF3";2;4;0,000728396598322554;2;2;2;2;0,000882702626353315;0,000850153211520055;"neuron projection, cytosol, plasma membrane, extracellular vesicular exosome, cell junction, postsynaptic membrane, postsynaptic density, Golgi membrane, perinuclear region of cytoplasm, sarcomere";0,000490918016691213
"385";385;"P84085";"P84085";"P84085";"ARF5_HUMAN";"ADP-ribosylation factor 5";"ARF5";1;2;0,000732443246091012;1;0;2;0;0,00177521305966611;0;"Golgi apparatus, perinuclear region of cytoplasm, plasma membrane";0,000245459008345606
