"";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc"
"1157";"Q13733";"Q13733-1";"AT1A4_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-4";"ATP1A4";"1";"2";"7.37411778118343E-5";"1";"0";"2";"0";"0";"0";"16";"sodium:potassium-exchanging ATPase complex"
"1158";"Q13740";"Q13740-1,Q13740-2";"CD166_HUMAN";"CD166 antigen";"ALCAM";"11";"34";"5.35310030209048E-4";"11";"0";"34";"0";"0";"0";"0";"extracellular vesicular exosome, axon, neuronal cell body, integral component of membrane, external side of plasma membrane"
"1159";"Q13748";"Q13748-1";"TBA3C_HUMAN";"Tubulin alpha-3C/D chain";"TUBA3C,TUBA3D";"1";"1";"7.85521319042837E-4";"1";"0";"1";"0";"0";"0";"184";"microtubule cytoskeleton, microtubule, cytoplasm"
"1160";"Q13765";"Q13765";"NACA_HUMAN";"Nascent polypeptide-associated complex subunit alpha";"NACA";"3";"5";"4.26929887293947E-4";"0";"3";"0";"5";"0";"0.00178608466034234";"0";"nucleus, nascent polypeptide-associated complex, extracellular vesicular exosome"
"1161";"Q13797";"Q13797";"ITA9_HUMAN";"Integrin alpha-9";"ITGA9";"3";"7";"1.24160286063264E-4";"3";"0";"7";"0";"2.49577539462028E-4";"0";"0";"integrin complex, basal plasma membrane, alpha9-beta1 integrin complex"
"1162";"Q13813";"Q13813-1,Q13813-2,Q13813-3";"SPTN1_HUMAN";"Spectrin alpha chain, non-erythrocytic 1";"SPTAN1";"5";"12";"2.97054775948863E-5";"5";"0";"12";"0";"0";"0";"0";"cytosol, lateral plasma membrane, spectrin, cuticular plate, fascia adherens, membrane, intracellular membrane-bounded organelle, Z disc, extracellular vesicular exosome, microtubule cytoskeleton"
"1163";"Q13882";"Q13882-1";"PTK6_HUMAN";"Protein-tyrosine kinase 6";"PTK6";"2";"2";"8.14101337190231E-5";"0";"2";"0";"2";"0";"0";"0";"cytoplasm, nucleus, plasma membrane, ruffle"
"1164";"Q13885";"Q13885";"TBB2A_HUMAN";"Tubulin beta-2A chain";"TUBB2A";"1";"1";"1.88996955582275E-4";"1";"0";"1";"0";"3.53284196485732E-4";"0";"252";"microtubule, extracellular vesicular exosome, cytoplasm, plasma membrane"
"1165";"Q13895";"Q13895";"BYST_HUMAN";"Bystin";"BYSL";"3";"3";"1.2602735803414E-4";"3";"0";"3";"0";"2.53330585168224E-4";"0";"0";"nucleolus, cytoplasm, apical part of cell"
"1166";"Q13905";"Q13905-2";"RPGF1_HUMAN";"Rap guanine nucleotide exchange factor 1";"RAPGEF1";"3";"3";"5.11364488959323E-5";"3";"0";"3";"0";"0";"0";"0";"cytosol, early endosome"
"1167";"Q13936";"Q13936-25";"CAC1C_HUMAN";"Voltage-dependent L-type calcium channel subunit alpha-1C";"CACNA1C";"2";"2";"1.65312788416386E-5";"0";"2";"0";"2";"0";"0";"0";"caveolar macromolecular signaling complex, voltage-gated calcium channel complex, Z disc, dendritic shaft, neuronal cell body, postsynaptic density"
"1168";"Q13936";"Q13936-13";"CAC1C_HUMAN";"Voltage-dependent L-type calcium channel subunit alpha-1C";"CACNA1C";"2";"2";"1.65312788416386E-5";"2";"0";"2";"0";"0";"0";"0";"caveolar macromolecular signaling complex, voltage-gated calcium channel complex, Z disc, dendritic shaft, neuronal cell body, postsynaptic density"
"1169";"Q13936";"Q13936-2";"CAC1C_HUMAN";"Voltage-dependent L-type calcium channel subunit alpha-1C";"CACNA1C";"2";"2";"1.65312788416386E-5";"0";"2";"0";"2";"0";"0";"0";"caveolar macromolecular signaling complex, voltage-gated calcium channel complex, Z disc, dendritic shaft, neuronal cell body, postsynaptic density"
"1170";"Q14004";"Q14004-1";"CDK13_HUMAN";"Cyclin-dependent kinase 13";"CDK13";"3";"4";"5.24513861532563E-5";"3";"0";"4";"0";"0";"0";"2";"extracellular space, nuclear speck, nuclear cyclin-dependent protein kinase holoenzyme complex, cyclin K-CDK13 complex"
"1171";"Q14103";"Q14103-1";"HNRPD_HUMAN";"Heterogeneous nuclear ribonucleoprotein D0";"HNRNPD";"9";"28";"0.00164240703805335";"9";"5";"16";"12";"0";"0";"7";"nucleoplasm, ribonucleoprotein complex, cytosol"
"1172";"Q14114";"Q14114-3";"LRP8_HUMAN";"Low-density lipoprotein receptor-related protein 8";"LRP8";"3";"3";"5.71899849023044E-5";"3";"0";"3";"0";"0";"0";"0";"microtubule associated complex, postsynaptic density, neuronal cell body, extracellular region, dendrite, caveola, integral component of membrane, receptor complex"
"1173";"Q14118";"Q14118";"DAG1_HUMAN";"Dystroglycan";"DAG1";"4";"4";"8.20468610218534E-5";"4";"0";"4";"0";"1.64924343714732E-4";"0";"0";"dystroglycan complex, sarcolemma, extracellular space, postsynaptic membrane, filopodium, cytoskeleton, costamere, contractile ring, basement membrane, extracellular vesicular exosome, lamellipodium, dystrophin-associated glycoprotein complex, nucleoplasm, cell outer membrane, cell-cell adherens junction, integral component of membrane, membrane raft, cytoplasm, focal adhesion, node of Ranvier, basolateral plasma membrane"
"1174";"Q14126";"Q14126";"DSG2_HUMAN";"Desmoglein-2";"DSG2";"11";"23";"3.77668746452337E-4";"11";"0";"23";"0";"7.59160915779909E-4";"0";"0";"plasma membrane, desmosome, extracellular vesicular exosome, cell-cell junction, lateral plasma membrane, integral component of membrane, apical plasma membrane"
"1175";"Q14137";"Q14137";"BOP1_HUMAN";"Ribosome biogenesis protein BOP1";"BOP1";"2";"2";"4.92171183743692E-5";"2";"0";"2";"0";"9.89324984079658E-5";"0";"0";"preribosome, large subunit precursor, PeBoW complex, nucleoplasm"
"1176";"Q14151";"Q14151";"SAFB2_HUMAN";"Scaffold attachment factor B2";"SAFB2";"3";"5";"1.62534627212838E-4";"2";"2";"3";"2";"1.99140397035252E-4";"2.41768018031649E-4";"11";"nucleus, cytoplasm"
"1177";"Q14152";"Q14152";"EIF3A_HUMAN";"Eukaryotic translation initiation factor 3 subunit A";"EIF3A";"40";"102";"0.00136671289459426";"32";"23";"61";"41";"0.00165142921840509";"0.00227848571359156";"1";"eukaryotic 43S preinitiation complex, cytosol, eukaryotic 48S preinitiation complex, eukaryotic translation initiation factor 3 complex, nucleolus"
"1178";"Q14155";"Q14155-2";"ARHG7_HUMAN";"Rho guanine nucleotide exchange factor 7";"ARHGEF7";"1";"1";"3.81029164666661E-5";"0";"1";"0";"1";"0";"0";"2";"ruffle, protein complex, neuronal cell body, lamellipodium, focal adhesion, cell cortex, neuron projection, cytosol"
"1179";"Q14203";"Q14203-1,Q14203-2";"DCTN1_HUMAN";"Dynactin subunit 1";"DCTN1";"1";"1";"7.60479915229483E-6";"1";"0";"1";"0";"0";"0";"1";"microtubule, cytosol, dynein complex, cell leading edge, kinetochore, dynactin complex, centrosome, spindle pole"
"1180";"Q14204";"Q14204";"DYHC1_HUMAN";"Cytoplasmic dynein 1 heavy chain 1";"DYNC1H1";"13";"15";"5.92702921447688E-5";"13";"0";"15";"0";"1.19140621737531E-4";"0";"0";"Golgi apparatus, cytosol, centrosome, microtubule, cytoplasmic dynein complex, extracellular vesicular exosome"
"1181";"Q14257";"Q14257";"RCN2_HUMAN";"Reticulocalbin-2";"RCN2";"2";"5";"2.8955812545173E-4";"2";"0";"5";"0";"5.82047664135193E-4";"0";"0";"endoplasmic reticulum, endoplasmic reticulum lumen"
"1182";"Q14258";"Q14258";"TRI25_HUMAN";"E3 ubiquitin/ISG15 ligase TRIM25";"TRIM25";"3";"3";"8.74189769220939E-5";"3";"0";"3";"0";"1.75722961457958E-4";"0";"0";"cytosol, cell junction, nucleus"
"1183";"Q14315";"Q14315-1,Q14315-2";"FLNC_HUMAN";"Filamin-C";"FLNC";"1";"1";"3.85208156118711E-6";"0";"1";"0";"1";"0";"0";"5";"Z disc, sarcolemma, costamere, cytosol, cytoskeleton, sarcoplasm"
"1184";"Q14318";"Q14318-1,Q14318-2";"FKBP8_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP8";"FKBP8";"2";"3";"6.68373245884941E-5";"2";"0";"3";"0";"0";"0";"0";"mitochondrial membrane, mitochondrial envelope, integral component of endoplasmic reticulum membrane"
"1185";"Q14439";"Q14439";"GP176_HUMAN";"Probable G-protein coupled receptor 176";"GPR176";"2";"2";"7.1293146227727E-5";"2";"0";"2";"0";"1.43308046237558E-4";"0";"0";"integral component of plasma membrane"
"1186";"Q14444";"Q14444-1,Q14444-2";"CAPR1_HUMAN";"Caprin-1";"CAPRIN1";"8";"20";"2.58927858302394E-4";"6";"5";"13";"7";"0";"0";"0";"cytosol, cytoplasmic mRNA processing body, dendrite, cytoplasmic stress granule, integral component of plasma membrane"
"1187";"Q14494";"Q14494-2";"NF2L1_HUMAN";"Nuclear factor erythroid 2-related factor 1";"NFE2L1";"1";"1";"3.5669660272616E-5";"1";"0";"1";"0";"0";"0";"1";"nucleus, integral component of membrane, endoplasmic reticulum membrane"
"1188";"Q14498";"Q14498-2";"RBM39_HUMAN";"RNA-binding protein 39";"RBM39";"2";"2";"9.42915380008748E-5";"0";"2";"0";"2";"0";"0";"2";"nucleoplasm, nuclear speck, centrosome"
"1189";"Q14498";"Q14498-3";"RBM39_HUMAN";"RNA-binding protein 39";"RBM39";"2";"2";"9.42915380008748E-5";"2";"0";"2";"0";"0";"0";"2";"nucleoplasm, nuclear speck, centrosome"
"1190";"Q14524";"Q14524-3";"SCN5A_HUMAN";"Sodium channel protein type 5 subunit alpha";"SCN5A";"2";"2";"1.82122868587696E-5";"0";"2";"0";"2";"0";"0";"0";"T-tubule, lateral plasma membrane, intercalated disc, endoplasmic reticulum, voltage-gated sodium channel complex, caveola, cell surface"
"1191";"Q14532";"Q14532";"K1H2_HUMAN";"Keratin, type I cuticular Ha2";"KRT32";"1";"1";"6.25488965182552E-5";"1";"0";"1";"0";"1.26605953133772E-4";"0";"8";"intermediate filament"
"1192";"Q14533";"Q14533";"KRT81_HUMAN";"Keratin, type II cuticular Hb1";"KRT81";"2";"2";"7.4782174317514E-5";"2";"0";"2";"0";"1.51766822767193E-4";"0";"3";"keratin filament, extracellular space"
"1193";"Q14541";"Q14541-1,Q14541-2";"HNF4G_HUMAN";"Hepatocyte nuclear factor 4-gamma";"HNF4G";"2";"2";"4.49950616510777E-5";"2";"0";"2";"0";"0";"0";"0";"nucleoplasm"
"1194";"Q14566";"Q14566";"MCM6_HUMAN";"DNA replication licensing factor MCM6";"MCM6";"12";"29";"6.48455017607249E-4";"11";"6";"20";"9";"8.98948158493818E-4";"8.41918104205218E-4";"0";"nucleoplasm, MCM complex"
"1195";"Q14568";"Q14568";"HS902_HUMAN";"Putative heat shock protein HSP 90-alpha A2";"HSP90AA2";"1";"1";"6.90338367875071E-5";"0";"1";"0";"1";"0";"3.27034122458348E-4";"16";"cytoplasm"
"1196";"Q14574";"Q14574-2";"DSC3_HUMAN";"Desmocollin-3";"DSC3";"1";"1";"2.56110283951447E-5";"1";"0";"1";"0";"0";"0";"1";"desmosome, integral component of membrane, extracellular region, cell-cell junction, cytoplasm, plasma membrane"
"1197";"Q14643";"Q14643-3";"ITPR1_HUMAN";"Inositol 1,4,5-trisphosphate receptor type 1";"ITPR1";"1";"1";"7.48830068812352E-6";"0";"1";"0";"1";"0";"0";"1";"postsynaptic density, sarcoplasmic reticulum, calcineurin complex, platelet dense granule membrane, platelet dense tubular network membrane, endoplasmic reticulum membrane, nucleolus, nuclear inner membrane, integral component of membrane"
"1198";"Q14643";"Q14643-4";"ITPR1_HUMAN";"Inositol 1,4,5-trisphosphate receptor type 1";"ITPR1";"4";"5";"3.74415034406176E-5";"4";"1";"4";"1";"0";"0";"1";"postsynaptic density, sarcoplasmic reticulum, calcineurin complex, platelet dense granule membrane, platelet dense tubular network membrane, endoplasmic reticulum membrane, nucleolus, nuclear inner membrane, integral component of membrane"
"1199";"Q14643";"Q14643-7";"ITPR1_HUMAN";"Inositol 1,4,5-trisphosphate receptor type 1";"ITPR1";"1";"1";"8.87502303777603E-6";"0";"1";"0";"1";"0";"0";"1";"postsynaptic density, sarcoplasmic reticulum, calcineurin complex, platelet dense granule membrane, platelet dense tubular network membrane, endoplasmic reticulum membrane, nucleolus, nuclear inner membrane, integral component of membrane"
"1200";"Q14643";"Q14643-1";"ITPR1_HUMAN";"Inositol 1,4,5-trisphosphate receptor type 1";"ITPR1";"1";"1";"8.87502303777603E-6";"0";"1";"0";"1";"0";"0";"1";"postsynaptic density, sarcoplasmic reticulum, calcineurin complex, platelet dense granule membrane, platelet dense tubular network membrane, endoplasmic reticulum membrane, nucleolus, nuclear inner membrane, integral component of membrane"
"1201";"Q14643";"Q14643-8";"ITPR1_HUMAN";"Inositol 1,4,5-trisphosphate receptor type 1";"ITPR1";"1";"1";"8.87502303777603E-6";"0";"1";"0";"1";"0";"0";"1";"postsynaptic density, sarcoplasmic reticulum, calcineurin complex, platelet dense granule membrane, platelet dense tubular network membrane, endoplasmic reticulum membrane, nucleolus, nuclear inner membrane, integral component of membrane"
"1202";"Q14643";"Q14643-5";"ITPR1_HUMAN";"Inositol 1,4,5-trisphosphate receptor type 1";"ITPR1";"2";"2";"1.4976601376247E-5";"0";"2";"0";"2";"0";"0";"1";"postsynaptic density, sarcoplasmic reticulum, calcineurin complex, platelet dense granule membrane, platelet dense tubular network membrane, endoplasmic reticulum membrane, nucleolus, nuclear inner membrane, integral component of membrane"
"1203";"Q14690";"Q14690";"RRP5_HUMAN";"Protein RRP5 homolog";"PDCD11";"2";"2";"1.96237147553605E-5";"0";"2";"0";"2";"0";"8.20968897859117E-5";"0";"nucleolus, nucleus, cytosol"
"1204";"Q14692";"Q14692";"BMS1_HUMAN";"Ribosome biogenesis protein BMS1 homolog";"BMS1";"3";"3";"4.29594036356624E-5";"3";"0";"3";"0";"8.63537174091371E-5";"0";"0";"nucleolus"
"1205";"Q14697";"Q14697-1";"GANAB_HUMAN";"Neutral alpha-glucosidase AB";"GANAB";"1";"2";"5.57481187575217E-4";"1";"0";"2";"0";"0";"0";"40";"glucosidase II complex, melanosome, extracellular vesicular exosome, endoplasmic reticulum lumen, Golgi apparatus"
"1206";"Q14697";"Q14697-2";"GANAB_HUMAN";"Neutral alpha-glucosidase AB";"GANAB";"1";"1";"2.78740593787609E-4";"1";"0";"1";"0";"0";"0";"40";"glucosidase II complex, melanosome, extracellular vesicular exosome, endoplasmic reticulum lumen, Golgi apparatus"
"1207";"Q14739";"Q14739";"LBR_HUMAN";"Lamin-B receptor";"LBR";"5";"7";"2.08952676545493E-4";"5";"0";"7";"0";"4.20020737143413E-4";"0";"0";"integral component of nuclear inner membrane, mitochondrion"
"1208";"Q14761";"Q14761";"PTCA_HUMAN";"Protein tyrosine phosphatase receptor type C-associated protein";"PTPRCAP";"3";"6";"5.34698596707953E-4";"3";"0";"6";"0";"0.00107481034678169";"0";"0";"integral component of membrane, plasma membrane"
"1209";"Q14831";"Q14831-5";"GRM7_HUMAN";"Metabotropic glutamate receptor 7";"GRM7";"2";"2";"4.01267435052234E-5";"2";"0";"2";"0";"0";"0";"0";"receptor complex, presynaptic membrane, asymmetric synapse, axon, cell cortex, integral component of plasma membrane, dendritic shaft, postsynaptic membrane, presynaptic active zone"
"1210";"Q14839";"Q14839-1";"CHD4_HUMAN";"Chromodomain-helicase-DNA-binding protein 4";"CHD4";"10";"13";"1.41913704133614E-4";"10";"0";"13";"0";"0";"0";"3";"cytoplasm, NuRD complex, centrosome"
"1211";"Q14934";"Q14934-10";"NFAC4_HUMAN";"Nuclear factor of activated T-cells, cytoplasmic 4";"NFATC4";"2";"2";"4.07050668595116E-5";"0";"2";"0";"2";"0";"0";"0";"intermediate filament cytoskeleton, cytosol, cytoplasm, transcription factor complex, nucleus"
"1212";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";"23";"88";"0.00184418115698664";"22";"7";"72";"16";"0.00303302645804147";"0.0014027696875748";"0";"nuclear membrane, nucleoplasm, cytosol, extracellular vesicular exosome, nuclear pore"
"1213";"Q14978";"Q14978-3";"NOLC1_HUMAN";"Nucleolar and coiled-body phosphoprotein 1";"NOLC1";"11";"19";"4.99001027066029E-4";"10";"2";"17";"2";"0";"0";"0";"cytoplasm, nucleolus"
"1214";"Q14980";"Q14980-3";"NUMA1_HUMAN";"Nuclear mitotic apparatus protein 1";"NUMA1";"2";"2";"3.47195936711862E-5";"2";"0";"2";"0";"0";"0";"3";"spindle pole, neuronal cell body, chromosome, dendrite, cytosol, Golgi membrane, nuclear matrix, apical part of cell, nucleoplasm, spindle microtubule"
"1215";"Q14980";"Q14980-4";"NUMA1_HUMAN";"Nuclear mitotic apparatus protein 1";"NUMA1";"1";"1";"1.73597968355931E-5";"1";"0";"1";"0";"0";"0";"3";"spindle pole, neuronal cell body, chromosome, dendrite, cytosol, Golgi membrane, nuclear matrix, apical part of cell, nucleoplasm, spindle microtubule"
"1216";"Q14BN4";"Q14BN4-1,Q14BN4-2,Q14BN4-3";"SLMAP_HUMAN";"Sarcolemmal membrane-associated protein";"SLMAP";"2";"2";"1.47809864361028E-5";"2";"0";"2";"0";"0";"0";"0";"sarcolemma, smooth endoplasmic reticulum, microtubule organizing center, integral component of plasma membrane"
"1217";"Q14C86";"Q14C86-6";"GAPD1_HUMAN";"GTPase-activating protein and VPS9 domain-containing protein 1";"GAPVD1";"1";"1";"1.86312433900268E-5";"1";"0";"1";"0";"0";"0";"1";"cytosol, endosome, membrane"
"1218";"Q14C86";"Q14C86-5";"GAPD1_HUMAN";"GTPase-activating protein and VPS9 domain-containing protein 1";"GAPVD1";"1";"1";"1.86312433900268E-5";"1";"0";"1";"0";"0";"0";"1";"cytosol, endosome, membrane"
"1219";"Q15005";"Q15005";"SPCS2_HUMAN";"Signal peptidase complex subunit 2";"SPCS2";"3";"5";"4.06150114018578E-4";"3";"0";"5";"0";"8.16411989074585E-4";"0";"0";"signal peptidase complex, endoplasmic reticulum membrane, integral component of membrane"
"1220";"Q15008";"Q15008";"PSMD6_HUMAN";"26S proteasome non-ATPase regulatory subunit 6";"PSMD6";"5";"9";"4.24734875019942E-4";"0";"5";"0";"9";"0";"0.00177690170579045";"0";"nucleoplasm, proteasome accessory complex, cytosol"
"1221";"Q15019";"Q15019-1,Q15019-2";"SEPT2_HUMAN";"Septin-2";"SEPT2";"1";"1";"2.5426572234958E-5";"1";"0";"1";"0";"0";"0";"0";"septin complex, ciliary membrane, cell surface, midbody, exocyst, cytoplasm, spindle, condensed chromosome kinetochore, extracellular vesicular exosome, synapse, nucleolus, actin cytoskeleton, cleavage furrow, perinuclear region of cytoplasm"
"1222";"Q15020";"Q15020-1";"SART3_HUMAN";"Squamous cell carcinoma antigen recognized by T-cells 3";"SART3";"6";"9";"1.71569954706913E-4";"0";"6";"0";"9";"0";"0";"0";"cytoplasm, nuclear speck, intracellular membrane-bounded organelle"
"1223";"Q15027";"Q15027";"ACAP1_HUMAN";"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1";"ACAP1";"2";"2";"4.96161760909181E-5";"0";"2";"0";"2";"0";"2.07572001066812E-4";"0";"recycling endosome membrane"
"1224";"Q15029";"Q15029-1";"U5S1_HUMAN";"116 kDa U5 small nuclear ribonucleoprotein component";"EFTUD2";"6";"7";"1.3327390323771E-4";"3";"3";"3";"4";"0";"0";"1";"catalytic step 2 spliceosome, nuclear speck, cytoplasm, Cajal body"
"1225";"Q15043";"Q15043-1,Q15043-2,Q15043-3";"S39AE_HUMAN";"Zinc transporter ZIP14";"SLC39A14";"6";"17";"2.11440208409129E-4";"6";"0";"17";"0";"0";"0";"0";"Golgi apparatus, endoplasmic reticulum, integral component of plasma membrane, lamellipodium"
"1226";"Q15046";"Q15046-1,Q15046-2";"SYK_HUMAN";"Lysine--tRNA ligase";"KARS";"16";"43";"6.61133468682167E-4";"12";"11";"24";"19";"0";"0";"0";"mitochondrial matrix, cytosol, nucleus, plasma membrane, extracellular region, aminoacyl-tRNA synthetase multienzyme complex, microtubule cytoskeleton"
"1227";"Q15052";"Q15052-2";"ARHG6_HUMAN";"Rho guanine nucleotide exchange factor 6";"ARHGEF6";"2";"2";"7.88573245431259E-5";"2";"0";"2";"0";"0";"0";"2";"cytosol, lamellipodium"
"1228";"Q15056";"Q15056-1,Q15056-2";"IF4H_HUMAN";"Eukaryotic translation initiation factor 4H";"EIF4H";"1";"1";"3.70120668420155E-5";"0";"1";"0";"1";"0";"0";"0";"perinuclear region of cytoplasm, eukaryotic translation initiation factor 4F complex, cytosol"
"1229";"Q15058";"Q15058";"KIF14_HUMAN";"Kinesin-like protein KIF14";"KIF14";"2";"2";"2.22791081961647E-5";"0";"2";"0";"2";"0";"9.32058742654374E-5";"0";"microtubule, spindle, kinesin complex, nucleus, cytoplasm"
"1230";"Q15072";"Q15072";"OZF_HUMAN";"Zinc finger protein OZF";"ZNF146";"2";"2";"1.25739624339998E-4";"0";"2";"0";"2";"0";"5.26038632840551E-4";"0";"nucleolus, cytoplasm"
"1231";"Q15075";"Q15075";"EEA1_HUMAN";"Early endosome antigen 1";"EEA1";"4";"6";"7.80637214187372E-5";"0";"4";"0";"6";"0";"3.26583871274502E-4";"0";"extracellular vesicular exosome, cytosol, early endosome, extrinsic component of plasma membrane, cytoplasmic vesicle, serine-pyruvate aminotransferase complex, recycling endosome, early endosome membrane"
"1232";"Q15084";"Q15084-1,Q15084-2";"PDIA6_HUMAN";"Protein disulfide-isomerase A6";"PDIA6";"7";"20";"4.17226935309993E-4";"5";"6";"13";"7";"0";"0";"0";"melanosome, extracellular vesicular exosome, endoplasmic reticulum lumen, endoplasmic reticulum membrane, plasma membrane, endoplasmic reticulum-Golgi intermediate compartment"
"1233";"Q15109";"Q15109-3";"RAGE_HUMAN";"Advanced glycosylation end product-specific receptor";"AGER";"2";"2";"9.08811146219788E-5";"2";"0";"2";"0";"0";"0";"0";"integral component of plasma membrane, extracellular region"
"1234";"Q15125";"Q15125";"EBP_HUMAN";"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase";"EBP";"1";"1";"7.98173267549553E-5";"1";"0";"1";"0";"1.60442703939875E-4";"0";"0";"integral component of plasma membrane, endoplasmic reticulum membrane"
"1235";"Q15149";"Q15149-7";"PLEC_HUMAN";"Plectin";"PLEC";"3";"3";"1.4742584806099E-5";"0";"3";"0";"3";"0";"0";"3";"focal adhesion, hemidesmosome, extracellular vesicular exosome, intermediate filament cytoskeleton, cytosol, costamere, sarcoplasm, sarcolemma"
"1236";"Q15149";"Q15149-8";"PLEC_HUMAN";"Plectin";"PLEC";"3";"3";"1.35667958338335E-5";"0";"3";"0";"3";"0";"0";"2";"focal adhesion, hemidesmosome, extracellular vesicular exosome, intermediate filament cytoskeleton, cytosol, costamere, sarcoplasm, sarcolemma"
"1237";"Q15149";"Q15149-3";"PLEC_HUMAN";"Plectin";"PLEC";"2";"2";"8.7095479427079E-6";"2";"0";"2";"0";"0";"0";"1";"focal adhesion, hemidesmosome, extracellular vesicular exosome, intermediate filament cytoskeleton, cytosol, costamere, sarcoplasm, sarcolemma"
"1238";"Q15149";"Q15149-6";"PLEC_HUMAN";"Plectin";"PLEC";"6";"7";"3.74477063275122E-5";"2";"4";"3";"4";"0";"0";"4";"focal adhesion, hemidesmosome, extracellular vesicular exosome, intermediate filament cytoskeleton, cytosol, costamere, sarcoplasm, sarcolemma"
"1239";"Q15172";"Q15172-2";"2A5A_HUMAN";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform";"PPP2R5A";"1";"2";"1.07025290676226E-4";"1";"1";"1";"1";"0";"0";"5";"protein phosphatase type 2A complex, nucleus, Z disc, M band, chromosome, centromeric region"
"1240";"Q15233";"Q15233";"NONO_HUMAN";"Non-POU domain-containing octamer-binding protein";"NONO";"15";"41";"0.0016276345254957";"15";"5";"32";"9";"0.0025682796666094";"0.00146754726868893";"1";"paraspeckles, nuclear speck, nuclear matrix, nucleolus"
"1241";"Q15262";"Q15262-2";"PTPRK_HUMAN";"Receptor-type tyrosine-protein phosphatase kappa";"PTPRK";"3";"6";"3.38983941087758E-4";"3";"0";"6";"0";"0";"0";"24";"neuronal cell body, cell-cell junction, cell surface, integral component of plasma membrane, axon, photoreceptor outer segment, adherens junction, dendrite, leading edge membrane"
"1242";"Q15262";"Q15262-1";"PTPRK_HUMAN";"Receptor-type tyrosine-protein phosphatase kappa";"PTPRK";"1";"1";"5.64973235146263E-5";"1";"0";"1";"0";"0";"0";"24";"neuronal cell body, cell-cell junction, cell surface, integral component of plasma membrane, axon, photoreceptor outer segment, adherens junction, dendrite, leading edge membrane"
"1243";"Q15276";"Q15276-1";"RABE1_HUMAN";"Rab GTPase-binding effector protein 1";"RABEP1";"2";"2";"6.38908996066347E-5";"0";"2";"0";"2";"0";"0";"1";"early endosome, endocytic vesicle, recycling endosome"
"1244";"Q15323";"Q15323";"K1H1_HUMAN";"Keratin, type I cuticular Ha1";"KRT31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"extracellular space, intermediate filament"
"1245";"Q15326";"Q15326-1";"ZMY11_HUMAN";"Zinc finger MYND domain-containing protein 11";"ZMYND11";"2";"2";"6.32488721916958E-5";"2";"0";"2";"0";"0";"0";"1";"cytoplasm, nucleus, chromosome"
"1246";"Q15363";"Q15363";"TMED2_HUMAN";"Transmembrane emp24 domain-containing protein 2";"TMED2";"2";"4";"3.65333037883377E-4";"2";"0";"4";"0";"7.34364615048184E-4";"0";"0";"COPI-coated vesicle membrane, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum, integral component of membrane, Golgi cisterna membrane, endoplasmic reticulum membrane, COPI-coated vesicle, zymogen granule membrane, endoplasmic reticulum-Golgi intermediate compartment membrane"
"1247";"Q15365";"Q15365";"PCBP1_HUMAN";"Poly(rC)-binding protein 1";"PCBP1";"3";"5";"6.15125104465857E-4";"3";"1";"4";"1";"8.76640391992511E-4";"6.4720483478697E-4";"13";"nucleoplasm, cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex"
"1248";"Q15366";"Q15366-3,Q15366-4,Q15366-6";"PCBP2_HUMAN";"Poly(rC)-binding protein 2";"PCBP2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"ribonucleoprotein complex, nucleoplasm, cytosol"
"1249";"Q15366";"Q15366-2";"PCBP2_HUMAN";"Poly(rC)-binding protein 2";"PCBP2";"1";"2";"4.31107283451422E-4";"1";"1";"1";"1";"0";"0";"18";"ribonucleoprotein complex, nucleoplasm, cytosol"
"1250";"Q15369";"Q15369";"ELOC_HUMAN";"Transcription elongation factor B polypeptide 1";"TCEB1";"2";"7";"0.00114737407210248";"1";"2";"1";"6";"3.29480552733672E-4";"0.00411437359257431";"0";"nucleoplasm, cytosol, VCB complex, elongin complex"
"1251";"Q15370";"Q15370";"ELOB_HUMAN";"Transcription elongation factor B polypeptide 2";"TCEB2";"3";"3";"4.66728436109484E-4";"3";"0";"3";"0";"9.3818191286876E-4";"0";"0";"Cul5-RING ubiquitin ligase complex, Cul2-RING ubiquitin ligase complex, nucleoplasm, cytosol, elongin complex"
"1252";"Q15375";"Q15375-2";"EPHA7_HUMAN";"Ephrin type-A receptor 7";"EPHA7";"2";"2";"4.84073018501205E-5";"2";"0";"2";"0";"0";"0";"6";"integral component of plasma membrane, neuronal cell body, postsynaptic membrane, dendrite, neuromuscular junction"
