"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834-1.id.csv";"peptide.count.P5834-2.id.csv";"peptide.count.P5835-1.id.csv";"peptide.count.P5835-2.id.csv";"spectra.count.P5834-1.id.csv";"spectra.count.P5834-2.id.csv";"spectra.count.P5835-1.id.csv";"spectra.count.P5835-2.id.csv";"dNSAF.P5834-1.id.csv";"dNSAF.P5834-2.id.csv";"dNSAF.P5835-1.id.csv";"dNSAF.P5835-2.id.csv"
"O00182-1,O00182-2";"O00182-1,O00182-2";"O00182-[1,2]";"LEG9_HUMAN";"Galectin-9";"LGALS9";3;15;0,000202942357041643;3;3;2;2;5;5;3;2;NA;NA;NA;NA
"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";2;8;0,000318869318947865;2;2;2;2;2;2;2;2;0,000422675831388722;0,000418913727236352;0,000456534400424865;0,000449721638825939
"O14521";"O14521";"O14521";"DHSD_HUMAN";"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial";"SDHD";2;8;0,000483317646958713;2;2;2;2;2;2;2;2;0,000640659593488566;0,000634957284679;0,000691979814480455;0,000681653553189002
"O14656-1";"O14656-1";"O14656-1";"TOR1A_HUMAN";"Torsin-1A";"TOR1A";3;8;0,000231468391163962;2;NA;2;3;3;NA;2;3;NA;NA;NA;NA
"O14735-1";"O14735-1";"O14735-1";"CDIPT_HUMAN";"CDP-diacylglycerol--inositol 3-phosphatidyltransferase";"CDIPT";2;7;0,000315688110953667;1;2;2;2;1;2;2;2;NA;NA;NA;NA
"O14929-1";"O14929-1";"O14929-1";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";5;12;0,000275110402863134;3;4;3;2;3;4;3;2;NA;NA;NA;NA
"O15091-1,O15091-2,O15091-4";"O15091-1,O15091-2,O15091-4";"O15091-[1,2,4]";"MRRP3_HUMAN";"Mitochondrial ribonuclease P protein 3";"KIAA0391";3;3;1,64767379645016e-05;NA;NA;NA;3;NA;NA;NA;3;NA;NA;NA;NA
"O15126-1";"O15126-1";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";8;39;0,0011083774884582;7;6;7;7;8;9;10;12;NA;NA;NA;NA
"O15439-1,O15439-2";"O15439-1,O15439-2";"O15439-[1,2]";"MRP4_HUMAN";"Multidrug resistance-associated protein 4";"ABCC4";4;8;2,89990588175228e-05;3;3;2;NA;3;3;2;NA;NA;NA;NA;NA
"O15498";"O15498";"O15498";"YKT6_HUMAN";"Synaptobrevin homolog YKT6";"YKT6";2;3;0,000145544518686431;2;NA;NA;1;2;NA;NA;1;0,000514469067498394;NA;NA;0,000273694229689524
"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";2;6;7,2497647043807e-05;2;2;1;1;2;2;1;1;0,000128131918697713;0,0001269914569358;6,91979814480455e-05;6,81653553189002e-05
"O43278-1,O43278-2";"O43278-1,O43278-2";"O43278-[1,2]";"SPIT1_HUMAN";"Kunitz-type protease inhibitor 1";"SPINT1";2;2;1,81586734088931e-05;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA
"O43292-1";"O43292-1";"O43292-1";"GPAA1_HUMAN";"Glycosylphosphatidylinositol anchor attachment 1 protein";"GPAA1";9;32;0,000494991986257233;5;6;7;6;6;7;10;9;NA;NA;NA;NA
"O43314-1,O43314-2";"O43314-1,O43314-2";"O43314-[1,2]";"VIP2_HUMAN";"Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2";"PPIP5K2";2;4;1,54560550817449e-05;2;2;NA;NA;2;2;NA;NA;NA;NA;NA;NA
"O43324";"O43324";"O43324";"MCA3_HUMAN";"Eukaryotic translation elongation factor 1 epsilon-1";"EEF1E1";2;10;0,000552065415707151;2;2;2;2;2;3;2;3;0,000585430318187828;0,00087032938158587;0,000632326382197657;0,000934335473767684
"O43493-1,O43493-2,O43493-3,O43493-5";"O43493-1,O43493-2,O43493-3,O43493-5";"O43493-[1-3,5]";"TGON2_HUMAN";"Trans-Golgi network integral membrane protein 2";"TGOLN2";5;10;5,00309282984605e-05;1;2;3;4;1;2;3;4;NA;NA;NA;NA
"O43760";"O43760";"O43760";"SNG2_HUMAN";"Synaptogyrin-2";"SYNGR2";2;8;0,000343069222618015;2;2;2;2;2;2;2;2;0,000454753907878045;0,000450706286892683;0,000491182100457109;0,000483852298915408
"O43826-1,O43826-2";"O43826-1,O43826-2";"O43826-[1,2]";"G6PT1_HUMAN";"Glucose-6-phosphate translocase";"SLC37A4";2;9;0,000100761589859837;2;2;2;2;2;2;3;2;NA;NA;NA;NA
"O43852-1,O43852-3";"O43852-1,O43852-3";"O43852-[1,3]";"CALU_HUMAN";"Calumenin";"CALU";11;46;0,000701385966241276;9;9;11;10;10;11;13;12;NA;NA;NA;NA
"O43929";"O43929";"O43929";"ORC4_HUMAN";"Origin recognition complex subunit 4";"ORC4";2;4;8,81278737000406e-05;2;2;NA;NA;2;2;NA;NA;0,000233635035240096;0,000231555523541195;NA;NA
"O60673-1,O60673-2";"O60673-1,O60673-2";"O60673-[1,2]";"DPOLZ_HUMAN";"DNA polymerase zeta catalytic subunit";"REV3L";2;2;3,06898985089598e-06;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
"O75122-1";"O75122-1";"O75122-1";"CLAP2_HUMAN";"CLIP-associating protein 2";"CLASP2";2;3;2,59820585908543e-05;1;NA;NA;2;1;NA;NA;2;NA;NA;NA;NA
"O75165";"O75165";"O75165";"DJC13_HUMAN";"DnaJ homolog subfamily C member 13";"DNAJC13";2;2;8,5652592361163e-06;NA;2;NA;NA;NA;2;NA;NA;NA;4,50103469745702e-05;NA;NA
"O75380";"O75380";"O75380";"NDUS6_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial";"NDUFS6";2;4;0,000309868975267885;2;1;NA;NA;3;1;NA;NA;0,00123223639554051;0,000407089549451455;NA;NA
"O75390";"O75390";"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";2;2;4,12272027180447e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,00023258136256878
"O75438-1";"O75438-1";"O75438-1";"NDUB1_HUMAN";"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1";"NDUFB1";3;10;0,00165619624712145;2;2;3;3;2;2;3;3;NA;NA;NA;NA
"O75781-1,O75781-2";"O75781-1,O75781-2";"O75781-[1,2]";"PALM_HUMAN";"Paralemmin-1";"PALM";2;3;3,72323187337381e-05;NA;NA;NA;2;NA;NA;NA;3;NA;NA;NA;NA
"O75879";"O75879";"O75879";"GATB_HUMAN";"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial";"PET112";2;2;3,44916992219189e-05;2;NA;NA;NA;2;NA;NA;NA;0,000182881284317203;NA;NA;NA
"O75947-1";"O75947-1";"O75947-1";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";14;64;0,00381850960827008;13;13;10;10;17;17;14;16;NA;NA;NA;NA
"O75955";"O75955";"O75955";"FLOT1_HUMAN";"Flotillin-1";"FLOT1";2;3;6,74890274002653e-05;NA;NA;1;2;NA;NA;1;2;NA;NA;0,000128834649300225;0,000253824156808083
"O75976";"O75976";"O75976";"CBPD_HUMAN";"Carboxypeptidase D";"CPD";2;2;1,39216496134847e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;7,85383441717763e-05
"O76094";"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";2;9;0,000128842688673234;2;2;2;2;2;2;3;2;0,000151810544507723;0,000150459326771924;0,000245957057754976;0,000161524463423325
"O94759-1,O94759-2";"O94759-1,O94759-2";"O94759-[1,2]";"TRPM2_HUMAN";"Transient receptor potential cation channel subfamily M member 2";"TRPM2";2;3;9,58676470389663e-06;1;NA;2;NA;1;NA;2;NA;NA;NA;NA;NA
"O94925-1,O94925-3";"O94925-1,O94925-3";"O94925-[1,3]";"GLSK_HUMAN";"Glutaminase kidney isoform, mitochondrial";"GLS";4;16;0,000114869216541757;2;3;3;2;3;4;5;4;NA;NA;NA;NA
"O95140-1";"O95140-1";"O95140-1";"MFN2_HUMAN";"Mitofusin-2";"MFN2";5;6;7,61368948478554e-05;NA;1;4;1;NA;1;4;1;NA;NA;NA;NA
"O95716";"O95716";"O95716";"RAB3D_HUMAN";"Ras-related protein Rab-3D";"RAB3D";2;6;0,000593821612919498;1;1;2;2;1;1;2;2;0,000744404136202704;0,000620459837238666;0,000724825529125694;0,00104207337237561
"O95747";"O95747";"O95747";"OXSR1_HUMAN";"Serine/threonine-protein kinase OSR1";"OXSR1";2;2;3,64551735609276e-05;NA;1;NA;1;NA;1;NA;1;NA;9,57857763415189e-05;NA;0,000102830090092079
"O95858";"O95858";"O95858";"TSN15_HUMAN";"Tetraspanin-15";"TSPAN15";2;7;0,000228712815078677;2;2;1;2;2;2;1;2;0,000346479167907082;0,000343395266203949;0,000187116990650327;0,000368649370602215
"O95977";"O95977";"O95977";"S1PR4_HUMAN";"Sphingosine 1-phosphate receptor 4";"S1PR4";2;6;0,000150092784895382;NA;2;2;2;NA;2;2;2;NA;0,000262912000687398;0,000286522891933313;0,000282247174367321
"O96008-1";"O96008-1";"O96008-1";"TOM40_HUMAN";"Mitochondrial import receptor subunit TOM40 homolog";"TOMM40";10;63;0,00167638257257113;9;9;8;8;17;14;15;17;NA;NA;NA;NA
"P00156";"P00156";"P00156";"CYB_HUMAN";"Cytochrome b";"MT-CYB";2;10;0,000252787848244853;2;2;2;2;2;2;3;3;0,000268065461486005;0,000265679495431476;0,000434308383562075;0,000427827295883097
"P00374";"P00374";"P00374";"DYR_HUMAN";"Dihydrofolate reductase";"DHFR";2;2;0,000102737307308069;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000588367863649157;NA
"P02765";"P02765";"P02765";"FETUA_HUMAN";"Alpha-2-HS-glycoprotein";"AHSG";2;3;7,85226558580743e-05;2;1;NA;NA;2;1;NA;NA;0,000277560968296136;0,000137545242866432;NA;NA
"P04004";"P04004";"P04004";"VTNC_HUMAN";"Vitronectin";"VTN";2;3;6,02883152717851e-05;NA;NA;2;1;NA;NA;2;1;NA;NA;0,000230177385988269;0,000113371249955075
"P04150-1,P04150-10,P04150-2,P04150-3,P04150-6,P04150-8,P04150-9";"P04150-1,P04150-10,P04150-2,P04150-3,P04150-6,P04150-8,P04150-9";"P04150-[1-3,6,8-10]";"GCR_HUMAN";"Glucocorticoid receptor";"NR3C1";2;4;7,06448849663867e-06;NA;NA;2;2;NA;NA;2;2;NA;NA;NA;NA
"P05114";"P05114";"P05114";"HMGN1_HUMAN";"Non-histone chromosomal protein HMG-14";"HMGN1";2;4;0,000384237529332177;2;NA;NA;2;2;NA;NA;2;0,00101864875364682;NA;NA;0,00108382914957051
"P05386";"P05386";"P05386";"RLA1_HUMAN";"60S acidic ribosomal protein P1";"RPLP1";2;4;0,0004749347451873;2;0;1;1;2;0;1;1;0,00119140205104891;0;0,000723847305936792;0,000665509126929263
"P06454-1,P06454-2";"P06454-1,P06454-2";"P06454-[1,2]";"PTMA_HUMAN";"Prothymosin alpha";"PTMA";2;3;0,000129809976125735;2;1;NA;NA;2;1;NA;NA;NA;NA;NA;NA
"P06493-1";"P06493-1";"P06493-1";"CDK1_HUMAN";"Cyclin-dependent kinase 1";"CDK1";14;62;0,00210369868727135;12;12;12;14;15;15;15;17;NA;NA;NA;NA
"P06730-1,P06730-2,P06730-3";"P06730-1,P06730-2,P06730-3";"P06730-[1-3]";"IF4E_HUMAN";"Eukaryotic translation initiation factor 4E";"EIF4E";2;6;8,85339929336813e-05;1;NA;2;2;1;NA;2;3;NA;NA;NA;NA
"P09429";"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";8;25;0,00119143419947962;5;4;7;6;7;4;8;6;0,00177671294240725;0,000939146123385683;0,00221755391710248;0,0016498033566401
"P10114";"P10114";"P10114";"RAP2A_HUMAN";"Ras-related protein Rap-2a";"RAP2A";2;7;0,000585918252895396;2;2;1;1;3;2;1;1;0,00125243699218871;0,000852602851707569;0,00052607481797592;0,000493546971571272
"P10301";"P10301";"P10301";"RRAS_HUMAN";"Ras-related protein R-Ras";"RRAS";2;4;0,000176255747400081;2;1;1;NA;2;1;1;NA;0,000467270070480193;0,000231555523541195;0,000252350436932093;NA
"P11049";"P11049";"P11049";"CD37_HUMAN";"Leukocyte antigen CD37";"CD37";2;2;6,83696671409568e-05;2;NA;NA;NA;2;NA;NA;NA;0,000362508453255096;NA;NA;NA
"P11441";"P11441";"P11441";"UBL4A_HUMAN";"Ubiquitin-like protein 4A";"UBL4A";2;2;0,000122368639914706;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000690337037943002
"P12004";"P12004";"P12004";"PCNA_HUMAN";"Proliferating cell nuclear antigen";"PCNA";2;4;0,000147217444188574;1;1;1;1;1;1;1;1;0,000195143439395943;0,000193406529241304;0,000210775460732552;0,000207630105281708
"P12074";"P12074";"P12074";"CX6A1_HUMAN";"Cytochrome c oxidase subunit 6A1, mitochondrial";"COX6A1";2;19;0,00167442960030077;2;2;2;2;4;3;6;6;0,00186908028192077;0,00138933314124717;0,00302820524318511;0,00298301600799224
"P12235";"P12235";"P12235";"ADT1_HUMAN";"ADP/ATP translocase 1";"SLC25A4";2;8;0,000559390124487731;2;2;2;2;2;2;2;2;0,000754994991030909;0,000780601579066056;0,000771683638568083;0,00074301554301619
"P12236";"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";2;43;0,00342074932750376;1;1;2;1;13;11;10;9;0,00556393342464139;0,00483867140752016;0,00443860644572935;0,00382493898947369
"P13747";"P13747";"P13747";"HLAE_HUMAN";"HLA class I histocompatibility antigen, alpha chain E";"HLA-E";2;6;0,000670805742549192;2;2;1;1;2;2;1;1;0,000853616274005716;0,000987021589172802;0,000921995451137366;0,00090823671751719
"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";2;4;6,12819026048129e-05;NA;NA;2;2;NA;NA;2;2;NA;NA;0,000175478134772556;0,00017285951348812
"P13804-1";"P13804-1";"P13804-1";"ETFA_HUMAN";"Electron transfer flavoprotein subunit alpha, mitochondrial";"ETFA";13;48;0,00138463974534118;11;10;10;8;13;11;14;10;NA;NA;NA;NA
"P14209-1";"P14209-1";"P14209-1";"CD99_HUMAN";"CD99 antigen";"CD99";2;13;0,000675011875853825;2;2;2;2;3;3;3;4;NA;NA;NA;NA
"P17612-1,P17612-2,P22694-1,P22694-2,P22694-3,P22694-4,P22694-5,P22694-6,P22694-7,P22694-9";"P17612-1,P17612-2,P22694-1,P22694-2,P22694-3,P22694-4,P22694-5,P22694-6,P22694-7,P22694-9";"P17612-[1,2], P22694-[1-7,9]";"KAPCA_HUMAN, KAPCB_HUMAN";"cAMP-dependent protein kinase catalytic subunit alpha, cAMP-dependent protein kinase catalytic subunit beta";"PRKACA, PRKACB";4;15;4,10510180910446e-05;3;4;4;4;3;4;4;4;NA;NA;NA;NA
"P18669";"P18669";"P18669";"PGAM1_HUMAN";"Phosphoglycerate mutase 1";"PGAM1";2;2;7,56373089236569e-05;NA;2;NA;NA;NA;2;NA;NA;NA;0,000397473260881736;NA;NA
"P18859";"P18859";"P18859";"ATP5J_HUMAN";"ATP synthase-coupling factor 6, mitochondrial";"ATP5J";2;5;0,000444719362652983;1;1;1;2;1;1;1;2;0,000471596645206861;0,000467399112333152;0,000509374030103668;0,00100354550886159
"P20042";"P20042";"P20042";"IF2B_HUMAN";"Eukaryotic translation initiation factor 2 subunit 2";"EIF2S2";2;2;5,76933227225491e-05;NA;2;NA;NA;NA;2;NA;NA;NA;0,000303177802594477;NA;NA
"P21359-1,P21359-2";"P21359-1,P21359-2";"P21359-[1,2]";"NF1_HUMAN";"Neurofibromin";"NF1";4;11;1,86096020722699e-05;2;1;3;4;2;1;4;4;NA;NA;NA;NA
"P23193-1,P23193-2";"P23193-1,P23193-2";"P23193-[1,2]";"TCEA1_HUMAN";"Transcription elongation factor A protein 1";"TCEA1";2;6;9,57402481724694e-05;1;1;2;2;1;1;2;2;NA;NA;NA;NA
"P23526";"P23526";"P23526";"SAHH_HUMAN";"Adenosylhomocysteinase";"AHCY";2;4;8,89438725305965e-05;2;1;NA;NA;2;2;NA;NA;0,000235798322603431;0,000233699556166576;NA;NA
"P23919";"P23919";"P23919";"KTHY_HUMAN";"Thymidylate kinase";"DTYMK";2;4;0,000181244117609517;2;2;NA;NA;2;2;NA;NA;0,000480494695116425;0,00047621796350925;NA;NA
"P24311";"P24311";"P24311";"COX7B_HUMAN";"Cytochrome c oxidase subunit 7B, mitochondrial";"COX7B";2;8;0,000960593823330443;2;2;2;2;2;2;2;2;0,00127331094205853;0,00126197760329951;0,00137530988127991;0,00135478643696314
"P25398";"P25398";"P25398";"RS12_HUMAN";"40S ribosomal protein S12";"RPS12";2;2;0,000145544518686431;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000833521140169639;NA
"P25445-1,P25445-6";"P25445-1,P25445-6";"P25445-[1,6]";"TNR6_HUMAN";"Tumor necrosis factor receptor superfamily member 6";"FAS";2;3;4,30116637312138e-05;NA;1;1;1;NA;1;1;1;NA;NA;NA;NA
"P26447";"P26447";"P26447";"S10A4_HUMAN";"Protein S100-A4";"S100A4";2;4;0,000380433197358591;2;2;NA;NA;2;2;NA;NA;0,00100856312242259;0,000999586220435257;NA;NA
"P27701";"P27701";"P27701";"CD82_HUMAN";"CD82 antigen";"CD82";2;6;0,000215863780523695;1;2;NA;2;2;2;NA;2;0,000381516387133641;0,000378120630202101;NA;0,000405928520438395
"P29320-1";"P29320-1";"P29320-1";"EPHA3_HUMAN";"Ephrin type-A receptor 3";"EPHA3";2;2;1,95441266191341e-05;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA
"P30281-1,P30281-2";"P30281-1,P30281-2";"P30281-[1,2]";"CCND3_HUMAN";"G1/S-specific cyclin-D3";"CCND3";2;3;4,93455731162899e-05;2;NA;NA;1;2;NA;NA;1;NA;NA;NA;NA
"P30825";"P30825";"P30825";"CTR1_HUMAN";"High affinity cationic amino acid transporter 1";"SLC7A1";2;5;0,000101811745980969;2;2;0;1;2;2;0;1;0,000202434172028382;0,000200632369363992;0;0,000129232410521126
"P30876";"P30876";"P30876";"RPB2_HUMAN";"DNA-directed RNA polymerase II subunit RPB2";"POLR2B";2;5;4,09111509084516e-05;1;1;2;1;1;1;2;1;4,33836777532717e-05;4,2997533332181e-05;9,37178794739288e-05;4,61596741725091e-05
"P31146";"P31146";"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";2;2;4,1674352422145e-05;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000238665489159203;NA
"P31483-1";"P31483-1";"P31483-1";"TIA1_HUMAN";"Nucleolysin TIA-1 isoform p40";"TIA1";2;3;9,59882799034861e-05;2;NA;0;1;2;NA;0;1;NA;NA;NA;NA
"P31949";"P31949";"P31949";"S10AB_HUMAN";"Protein S100-A11";"S100A11";2;4;0,000365940504125883;2;2;NA;NA;2;2;NA;NA;0,000970141670139829;0,000961506745371057;NA;NA
"P32189-1,P32189-2,P32189-3";"P32189-1,P32189-2,P32189-3";"P32189-[1-3]";"GLPK_HUMAN";"Glycerol kinase";"GK";18;67;0,0003837792854093;16;15;11;11;20;19;14;14;NA;NA;NA;NA
"P35249";"P35249";"P35249";"RFC4_HUMAN";"Replication factor C subunit 4";"RFC4";2;5;0,000132313198805846;2;1;1;1;2;1;1;1;0,000280619491362761;0,000139060892925566;0,000151549298212662;0,000149287761648831
"P35579-1";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";9;15;7,35148334181461e-05;2;2;6;5;2;2;6;5;NA;NA;NA;NA
"P35659-1";"P35659-1";"P35659-1";"DEK_HUMAN";"Protein DEK";"DEK";2;2;5,12316705776236e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA
"P37235,P61601,P84074";"P37235,P61601,P84074";"P37235, P61601, P84074";"HPCA_HUMAN, HPCL1_HUMAN, NCALD_HUMAN";"Hippocalcin-like protein 1, Neurocalcin-delta, Neuron-specific calcium-binding protein hippocalcin";"HPCA, HPCAL1, NCALD";2;6;9,9543401381393e-05;2;2;1;1;2;2;1;1;0,00017593242722743;0,000174366508227912;9,50127724545703e-05;9,35949179249148e-05
"P39748";"P39748";"P39748";"FEN1_HUMAN";"Flap endonuclease 1";"FEN1";2;9;0,000227509063420368;2;2;2;2;2;2;2;3;0,000268065461486005;0,000265679495431476;0,000289538922374717;0,000427827295883097
"P42166-1";"P42166-1";"P42166-1";"LAP2A_HUMAN";"Lamina-associated polypeptide 2, isoform alpha";"TMPO";2;3;8,41412002083013e-05;0;2;1;0;0;2;1;0;NA;NA;NA;NA
"P42677";"P42677";"P42677";"RS27_HUMAN";"40S ribosomal protein S27";"RPS27";4;18;0,00205841533570809;3;3;3;3;4;6;3;5;0,00242535417534957;0,00360565029514146;0,00196472840182844;0,00322568199276938
"P43121-1";"P43121-1";"P43121-1";"MUC18_HUMAN";"Cell surface glycoprotein MUC18";"MCAM";2;2;2,97397468523357e-05;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA
"P43243-1";"P43243-1";"P43243-1";"MATR3_HUMAN";"Matrin-3";"MATR3";3;7;7,93879192835077e-05;2;2;3;NA;2;2;3;NA;NA;NA;NA;NA
"P43304-1";"P43304-1";"P43304-1";"GPDM_HUMAN";"Glycerol-3-phosphate dehydrogenase, mitochondrial";"GPD2";19;50;0,000660655999539507;14;12;10;10;16;12;10;12;NA;NA;NA;NA
"P43487";"P43487";"P43487";"RANG_HUMAN";"Ran-specific GTPase-activating protein";"RANBP1";2;4;0,000191162949916506;NA;NA;2;2;NA;NA;2;2;NA;NA;0,000547387017424838;0,00053921848237339
"P47985";"P47985";"P47985";"UCRI_HUMAN";"Cytochrome b-c1 complex subunit Rieske, mitochondrial";"UQCRFS1";5;9;0,000315523518612189;NA;1;3;4;NA;1;3;5;NA;0,000184230307051024;0,000602325495451053;0,000988895209462147
"P48060-1";"P48060-1";"P48060-1";"GLIP1_HUMAN";"Glioma pathogenesis-related protein 1";"GLIPR1";2;4;0,000144450198997059;2;2;NA;NA;2;2;NA;NA;NA;NA;NA;NA
"P48509";"P48509";"P48509";"CD151_HUMAN";"CD151 antigen";"CD151";2;2;7,59362706190073e-05;NA;2;NA;NA;NA;2;NA;NA;NA;0,000399044301438581;NA;NA
"P49006";"P49006";"P49006";"MRP_HUMAN";"MARCKS-related protein";"MARCKSL1";2;8;0,000394089773674028;2;2;2;2;2;2;2;2;0,000522383976229139;0,000517734401353646;0,000564229694884064;0,000555809820292571
"P49321-1,P49321-2,P49321-3";"P49321-1,P49321-2,P49321-3";"P49321-[1-3]";"NASP_HUMAN";"Nuclear autoantigenic sperm protein";"NASP";2;2;8,12685129721187e-06;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA
"P49721";"P49721";"P49721";"PSB2_HUMAN";"Proteasome subunit beta type-2";"PSMB2";2;2;9,5581474958253e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,00053921848237339
"P49790";"P49790";"P49790";"NU153_HUMAN";"Nuclear pore complex protein Nup153";"NUP153";2;5;3,25625024857777e-05;NA;NA;2;1;NA;NA;3;2;NA;NA;0,00011188961746006;7,34799423437636e-05
"P50148";"P50148";"P50148";"GNAQ_HUMAN";"Guanine nucleotide-binding protein G(q) subunit alpha";"GNAQ";4;8;0,000214059904920433;3;2;2;1;3;2;2;1;0,000425619256398393;0,00028122063583276;0,000306475739560982;0,000150951135037676
"P50213-1";"P50213-1";"P50213-1";"IDH3A_HUMAN";"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial";"IDH3A";7;20;0,000524914657557619;5;4;5;4;5;4;6;5;NA;NA;NA;NA
"P50336";"P50336";"P50336";"PPOX_HUMAN";"Protoporphyrinogen oxidase";"PPOX";2;2;5,0345588224866e-05;0;0;0;2;0;0;0;2;NA;NA;NA;0,000265087492906834
"P50416-1";"P50416-1";"P50416-1";"CPT1A_HUMAN";"Carnitine O-palmitoyltransferase 1, liver isoform";"CPT1A";27;94;0,0011681218550202;21;23;19;21;24;26;21;23;NA;NA;NA;NA
"P50502,Q8IZP2,Q8NFI4";"P50502,Q8IZP2,Q8NFI4";"P50502, Q8IZP2, Q8NFI4";"F10A1_HUMAN, F10A5_HUMAN, ST134_HUMAN";"Hsc70-interacting protein, Putative protein FAM10A4, Putative protein FAM10A5";"ST13, ST13P4, ST13P5";2;9;8,8398204600961e-05;1;1;2;2;2;1;3;3;0,000104156314278816;5,16146259018205e-05;0,000168749678684651;0,000166231464658054
"P50552";"P50552";"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";2;3;7,5836354473456e-05;NA;NA;2;1;NA;NA;2;1;NA;NA;0,000289538922374717;0,000142609098627699
"P50579";"P50579";"P50579";"AMPM2_HUMAN";"Methionine aminopeptidase 2";"METAP2";2;2;4,01922101811901e-05;NA;2;NA;NA;NA;2;NA;NA;NA;0,000211209640719583;NA;NA
"P50897-1";"P50897-1";"P50897-1";"PPT1_HUMAN";"Palmitoyl-protein thioesterase 1";"PPT1";7;19;0,000596447145205177;6;6;3;3;6;6;4;3;NA;NA;NA;NA
"P51153";"P51153";"P51153";"RAB13_HUMAN";"Ras-related protein Rab-13";"RAB13";2;2;0,000115039643991812;1;0;0;1;1;0;0;1;0,000309370541034279;0;0;0,000321628765014983
"P51648-1,P51648-2";"P51648-1,P51648-2";"P51648-[1,2]";"AL3A2_HUMAN";"Fatty aldehyde dehydrogenase";"ALDH3A2";2;5;4,9515145532497e-05;1;NA;1;2;1;NA;2;2;NA;NA;NA;NA
"P52566";"P52566";"P52566";"GDIR2_HUMAN";"Rho GDP-dissociation inhibitor 2";"ARHGDIB";2;5;0,000238953687395632;NA;1;2;2;NA;1;2;2;NA;0,000251139821552142;0,000547387017424838;0,00053921848237339
"P52701-1";"P52701-1";"P52701-1";"MSH6_HUMAN";"DNA mismatch repair protein Msh6";"MSH6";10;21;0,000148326987426024;4;7;3;6;5;7;3;6;NA;NA;NA;NA
"P52815";"P52815";"P52815";"RM12_HUMAN";"39S ribosomal protein L12, mitochondrial";"MRPL12";2;3;0,000145544518686431;NA;1;NA;2;NA;1;NA;2;NA;0,000254944970363538;NA;0,000547388459379047
"P53597";"P53597";"P53597";"SUCA_HUMAN";"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial";"SUCLG1";2;3;8,32884817916569e-05;2;1;NA;NA;2;1;NA;NA;0,000294407154233185;0,000145893364543296;NA;NA
"P53801";"P53801";"P53801";"PTTG_HUMAN";"Pituitary tumor-transforming gene 1 protein-interacting protein";"PTTG1IP";2;5;0,00026683161759179;2;2;NA;NA;2;3;NA;NA;0,000565915974248234;0,000841318402199674;NA;NA
"P55011-1,P55011-3";"P55011-1,P55011-3";"P55011-[1,3]";"S12A2_HUMAN";"Solute carrier family 12 member 2";"SLC12A2";2;2;7,92569161163732e-06;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA
"P55061";"P55061";"P55061";"BI1_HUMAN";"Bax inhibitor 1";"TMBIM6";2;8;0,000324251079605213;2;2;2;2;2;2;2;2;0,000429809600694861;0,000425984001113759;0,000464239622372964;0,000457311877455913
