"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"Go.Cc";"norm.sc";"matched_mask"
"882";882;"Q14257";"Q14257";"RCN2_HUMAN";"Reticulocalbin-2";"RCN2";8;17;0,00100306386947145;7;8;8;9;0,000945167705293424;0,00106119315721518;"endoplasmic reticulum lumen, endoplasmic reticulum, nucleolus";0,000805954582088845;FALSE
"887";887;"Q14566";"Q14566";"MCM6_HUMAN";"DNA replication licensing factor MCM6";"MCM6";4;5;0,000113911029097388;3;2;3;2;0,000136853606536852;9,10537909966743e-05;"nucleoplasm, nucleus, MCM complex";0,000237045465320248;FALSE
"889";889;"Q14584";"Q14584,Q3KP31,Q7L945,Q7Z3V5,Q86UE3,Q8N972,Q8NHY6";"ZFP28_HUMAN, ZN266_HUMAN, ZN546_HUMAN, ZN571_HUMAN, ZN627_HUMAN, ZN709_HUMAN, ZN791_HUMAN";"Zinc finger protein 266, Zinc finger protein 28 homolog, Zinc finger protein 546, Zinc finger protein 571, Zinc finger protein 627, Zinc finger protein 709, Zinc finger protein 791";"ZFP28, ZNF266, ZNF546, ZNF571, ZNF627, ZNF709, ZNF791";1;1;8,23973170827805e-06;0;1;0;1;0;1,64658948035836e-05;"nucleus";4,74090930640497e-05;FALSE
"891";891;"Q14669";"Q14669-1,Q14669-2,Q14669-3,Q14669-4";"TRIPC_HUMAN";"E3 ubiquitin-protein ligase TRIP12";"TRIP12";1;1;2,34741352632921e-06;1;NA;1;NA;4,70033513080471e-06;NA;"nucleus, nucleoplasm, cytoplasm";4,74090930640497e-05;FALSE
"892";892;"Q14671";"Q14671-1";"PUM1_HUMAN";"Pumilio homolog 1";"PUM1";5;12;0,000189249824395863;3;5;5;7;0,000157893213837487;0,000220609669838907;"cytosol";0,000568909116768596;FALSE
"896";896;"Q14738";"Q14738-1,Q14738-2,Q14738-3";"2A5D_HUMAN";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform";"PPP2R5D";1;3;4,88244187839826e-05;1;1;2;1;4,97704589000025e-05;5,17408377687359e-05;"protein phosphatase type 2A complex, cytosol, nucleoplasm, nucleus";0,000142227279192149;FALSE
"900";900;"Q14978";"Q14978-1,Q14978-2,Q14978-3";"NOLC1_HUMAN";"Nucleolar and coiled-body phosphoprotein 1";"NOLC1";2;2;1,78389995019467e-05;2;NA;2;NA;3,57198572458292e-05;NA;"Cajal body, cytoplasm, nucleolus";9,48181861280994e-05;FALSE
"905";905;"Q15008";"Q15008";"PSMD6_HUMAN";"26S proteasome non-ATPase regulatory subunit 6";"PSMD6";2;3;0,000144248259468826;2;1;2;1;0,000192556659754509;9,60863270029172e-05;"cytosol, proteasome complex, proteasome accessory complex, nucleoplasm, extracellular vesicular exosome";0,000142227279192149;FALSE
"908";908;"Q15042";"Q15042-1";"RB3GP_HUMAN";"Rab3 GTPase-activating protein catalytic subunit";"RAB3GAP1";24;48;0,000915189772613635;23;19;28;20;0,0010689740764761;0,000762030197841688;"cytoplasm, extracellular vesicular exosome";0,00227563646707438;FALSE
"911";911;"Q15052";"Q15052-1,Q15052-2";"ARHG6_HUMAN";"Rho guanine nucleotide exchange factor 6";"ARHGEF6";1;1;1,20516694444531e-05;1;NA;1;NA;2,41316174756778e-05;NA;"cytosol, intracellular, lamellipodium";4,74090930640497e-05;FALSE
"918";918;"Q15293";"Q15293";"RCN1_HUMAN";"Reticulocalbin-1";"RCN1";4;8;0,000452065038738155;4;4;4;4;0,000452595411749268;0,000451692824219152;"endoplasmic reticulum, endoplasmic reticulum lumen";0,000379272744512397;FALSE
"923";923;"Q15386";"Q15386-1";"UBE3C_HUMAN";"Ubiquitin-protein ligase E3C";"UBE3C";4;8;0,000138165768995687;3;4;4;4;0,000138327868226231;0,000138052008140849;"intracellular, nucleus, cytoplasm, proteasome complex";0,000379272744512397;FALSE
"926";926;"Q15555";"Q15555-1";"MARE2_HUMAN";"Microtubule-associated protein RP/EB family member 2";"MAPRE2";9;24;0,00137278465892045;8;9;11;13;0,00125986230441826;0,00148595888579129;"microtubule cytoskeleton, cytoplasm, microtubule";0,00113781823353719;FALSE
"928";928;"Q15631";"Q15631";"TSN_HUMAN";"Translin";"TSN";2;2;0,000164071850682379;NA;2;NA;2;NA;0,000327873519334516;"nucleus, cytoplasm";9,48181861280994e-05;FALSE
"929";929;"Q15637";"Q15637-1,Q15637-2,Q15637-3,Q15637-4,Q15637-5,Q15637-6";"SF01_HUMAN";"Splicing factor 1";"SF1";2;4;1,95140229293596e-05;1;2;1;3;9,76845861300259e-06;2,92469336495577e-05;"ribosome, spliceosomal complex, nucleus";0,000189636372256199;FALSE
"930";930;"Q15645";"Q15645-1";"PCH2_HUMAN";"Pachytene checkpoint protein 2 homolog";"TRIP13";7;12;0,000519560860494199;6;4;8;4;0,000693560561523184;0,0003460887148531;"male germ cell nucleus, nucleus";0,000568909116768596;FALSE
"940";940;"Q16539";"Q16539-1";"MK14_HUMAN";"Mitogen-activated protein kinase 14";"MAPK14";1;2;0,000389670645370649;1;1;1;1;0,000468153379028149;0,00031147984336779;"spindle pole, cytoplasm, extracellular vesicular exosome, cytosol, nucleoplasm, mitochondrion, nucleus";9,48181861280994e-05;FALSE
"941";941;"Q16539";"Q16539-2";"MK14_HUMAN";"Mitogen-activated protein kinase 14";"MAPK14";1;2;0,000389670645370649;1;1;1;1;0,000468153379028149;0,00031147984336779;"spindle pole, cytoplasm, extracellular vesicular exosome, cytosol, nucleoplasm, mitochondrion, nucleus";9,48181861280994e-05;FALSE
"943";943;"Q16576";"Q16576-1";"RBBP7_HUMAN";"Histone-binding protein RBBP7";"RBBP7";5;9;0,000396088750117931;5;4;5;4;0,00044061494496767;0,000351788999568327;"nucleoplasm, ESC/E(Z) complex, NuRD complex, nucleus";0,000426681837576447;FALSE
"945";945;"Q16629";"Q16629-1,Q16629-2,Q16629-3";"SRSF7_HUMAN";"Serine/arginine-rich splicing factor 7";"SRSF7";2;4;0,000104785383629082;2;2;2;2;0,000104908320230398;0,000104699107014383;"nucleoplasm, nucleus, extracellular vesicular exosome, cytoplasm";0,000189636372256199;FALSE
"947";947;"Q16637";"Q16637-1,Q16637-2,Q16637-3,Q16637-4";"SMN_HUMAN";"Survival motor neuron protein";"SMN2,SMN1";2;4;6,36196972033713e-05;2;2;2;2;6,36943372827413e-05;6,35673149730184e-05;"SMN-Sm protein complex, nucleus, nucleoplasm, Cajal body, cytosol, cytoplasm, Z disc, Gemini of coiled bodies, SMN complex";0,000189636372256199;FALSE
"949";949;"Q16698";"Q16698";"DECR_HUMAN";"2,4-dienoyl-CoA reductase, mitochondrial";"DECR1";3;6;0,000335000435423125;3;3;3;3;0,000335393465572405;0,000334724607798222;"cytoplasm, extracellular vesicular exosome, mitochondrial matrix, mitochondrion, nucleus";0,000284454558384298;FALSE
"953";953;"Q16822";"Q16822-1";"PCKGM_HUMAN";"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial";"PCK2";3;3;8,76758952083961e-05;3;NA;3;NA;0,000175557517135556;NA;"mitochondrial matrix, mitochondrion, extracellular vesicular exosome";0,000142227279192149;FALSE
"956";956;"Q27J81";"Q27J81-1,Q27J81-2";"INF2_HUMAN";"Inverted formin-2";"INF2";3;4;3,32785178859375e-05;2;2;2;2;3,59829658820675e-05;2,99260057679222e-05;"nucleus, perinuclear region of cytoplasm, cytoplasm, endoplasmic reticulum";0,000189636372256199;FALSE
"961";961;"Q2TAL8";"Q2TAL8";"QRIC1_HUMAN";"Glutamine-rich protein 1";"QRICH1";7;12;0,000289240066666874;6;6;6;6;0,000289579409708133;0,000289001916526815;"nucleus";0,000568909116768596;FALSE
"963";963;"Q3SXM5";"Q3SXM5-1,Q3SXM5-2";"HSDL1_HUMAN";"Inactive hydroxysteroid dehydrogenase-like protein 1";"HSDL1";1;2;5,66793665993672e-05;1;1;1;1;5,67458641246241e-05;5,66326987941436e-05;"mitochondrion";9,48181861280994e-05;FALSE
"969";969;"Q53FT3";"Q53FT3";"HIKES_HUMAN";"Protein Hikeshi";"C11orf73";4;12;0,00113934158240352;4;4;6;6;0,00114067828392645;0,00113840348845081;"cell junction, cytosol, intracellular, extracellular vesicular exosome, nucleus";0,000568909116768596;FALSE
"980";980;"Q5HYK3";"Q5HYK3-1";"COQ5_HUMAN";"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial";"COQ5";12;21;0,0012011865765554;11;9;12;9;0,00137439524118356;0,00102874076708628;"mitochondrion";0,000995590954345043;FALSE
"982";982;"Q5JPH6";"Q5JPH6";"SYEM_HUMAN";"Probable glutamate--tRNA ligase, mitochondrial";"EARS2";4;8;0,000286106171744416;4;4;4;4;0,000286441838028695;0,00028587060194367;"mitochondrial matrix, mitochondrion";0,000379272744512397;FALSE
"984";984;"Q5JTZ9";"Q5JTZ9";"SYAM_HUMAN";"Alanine--tRNA ligase, mitochondrial";"AARS2";2;2;3,79780527467841e-05;2;NA;2;NA;7,60452189284303e-05;NA;"mitochondrion";9,48181861280994e-05;FALSE
"989";989;"Q5T160";"Q5T160";"SYRM_HUMAN";"Probable arginine--tRNA ligase, mitochondrial";"RARS2";6;9;0,00029124172802789;4;4;4;5;0,000259185261745688;0,000323335477544419;"mitochondrial matrix";0,000426681837576447;FALSE
"990";990;"Q5T1J5";"Q5T1J5,Q9Y6H1";"CHCH2_HUMAN, CHCH9_HUMAN";"Coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial, Putative coiled-coil-helix-coiled-coil-helix domain-containing protein CHCHD2P9, mitochondrial";"CHCHD2, CHCHD2P9";1;2;0,000123868814422458;1;1;1;1;0,000124014140139907;0,000123766825179254;"mitochondrion";9,48181861280994e-05;FALSE
"999";999;"Q5XKP0";"Q5XKP0";"QIL1_HUMAN";"Protein QIL1";"QIL1";2;2;0,000317020186064257;NA;2;NA;2;NA;0,00063351832549381;"mitochondrion";9,48181861280994e-05;FALSE
"1006";1006;"Q68D91";"Q68D91-1";"MBLC2_HUMAN";"Metallo-beta-lactamase domain-containing protein 2";"MBLAC2";7;12;0,000804481332378115;6;6;6;6;0,000805425168220471;0,000803818950626555;"extracellular vesicular exosome";0,000568909116768596;FALSE
"1014";1014;"Q6JQN1";"Q6JQN1-1,Q6JQN1-2";"ACD10_HUMAN";"Acyl-CoA dehydrogenase family member 10";"ACAD10";3;3;2,64931883538118e-05;NA;3;NA;3;NA;5,29427495809275e-05;"mitochondrion";0,000142227279192149;FALSE
"1023";1023;"Q6P444";"Q6P444-1";"MTFR2_HUMAN";"Mitochondrial fission regulator 2";"MTFR2";1;1;4,8582314228029e-05;NA;1;NA;1;NA;9,70846265042462e-05;"mitochondrion";4,74090930640497e-05;FALSE
"1026";1026;"Q6P589";"Q6P589";"TP8L2_HUMAN";"Tumor necrosis factor alpha-induced protein 8-like protein 2";"TNFAIP8L2";2;4;0,000406612847343286;2;2;2;2;0,000407089894807086;0,000406278056566682;"cytoplasm";0,000189636372256199;FALSE
"1033";1033;"Q6UW78";"Q6UW78";"CK083_HUMAN";"UPF0723 protein C11orf83";"C11orf83";2;4;0,000804481332378115;2;2;2;2;0,000805425168220471;0,000803818950626555;"extracellular region";0,000189636372256199;FALSE
"1046";1046;"Q6ZSZ6";"Q6ZSZ6-1,Q6ZSZ6-2";"TSH1_HUMAN";"Teashirt homolog 1";"TSHZ1";2;2;1,73669368410317e-05;2;NA;2;NA;3,47746242546443e-05;NA;"nucleus";9,48181861280994e-05;FALSE
"1052";1052;"Q71DI3";"Q71DI3";"H32_HUMAN";"Histone H3.2";"HIST2H3D,HIST2H3C,HIST2H3A";1;2;0,000687654080065852;1;1;1;1;0,000688460851511984;0,00068708788978189;"nucleosome, extracellular vesicular exosome, nucleoplasm, extracellular region, nucleus";9,48181861280994e-05;FALSE
"1053";1053;"Q71U36";"Q71U36";"TBA1A_HUMAN";"Tubulin alpha-1A chain";"TUBA1A";0;0;NA;0;0;0;0;NA;NA;"nucleus, cytoplasmic microtubule, cytoplasmic ribonucleoprotein granule, cytosol, extracellular vesicular exosome, microtubule";0;FALSE
"1056";1056;"Q7L0Y3";"Q7L0Y3";"MRRP1_HUMAN";"Mitochondrial ribonuclease P protein 1";"TRMT10C";3;3;0,000139237153680828;NA;3;NA;3;NA;0,00027824502137073;"nucleus, mitochondrial nucleoid, mitochondrion";0,000142227279192149;FALSE
"1059";1059;"Q7L2H7";"Q7L2H7";"EIF3M_HUMAN";"Eukaryotic translation initiation factor 3 subunit M";"EIF3M";2;2;0,000100022411645942;NA;2;NA;2;NA;0,000199880113391095;"eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex";9,48181861280994e-05;FALSE
"1060";1060;"Q7L576";"Q7L576-1";"CYFP1_HUMAN";"Cytoplasmic FMR1-interacting protein 1";"CYFIP1";3;3;4,47825801543284e-05;NA;3;NA;3;NA;8,94914154927409e-05;"lamellipodium, extracellular vesicular exosome, SCAR complex, synapse, ruffle, cell junction, mRNA cap binding complex, perinuclear region of cytoplasm, neuron projection";0,000142227279192149;FALSE
"1062";1062;"Q7L8L6";"Q7L8L6";"FAKD5_HUMAN";"FAST kinase domain-containing protein 5";"FASTKD5";4;5;0,000122409626818005;2;3;2;3;9,80425924666281e-05;0,000146770606822519;"mitochondrion";0,000237045465320248;FALSE
"1063";1063;"Q7LBC6";"Q7LBC6-1,Q7LBC6-2,Q7LBC6-3";"KDM3B_HUMAN";"Lysine-specific demethylase 3B";"KDM3B";1;4;1,41617951753104e-05;1;1;2;2;1,41784101163172e-05;1,41501348491898e-05;"nucleus";0,000189636372256199;FALSE
"1065";1065;"Q7RTS9";"Q7RTS9-1";"DYM_HUMAN";"Dymeclin";"DYM";4;4;0,000111833727819379;NA;4;NA;4;NA;0,000223483295689894;"Golgi apparatus, cytoplasm";0,000189636372256199;FALSE
"1070";1070;"Q7Z3D6";"Q7Z3D6-2,Q7Z3D6-3,Q7Z3D6-4";"CN159_HUMAN";"UPF0317 protein C14orf159, mitochondrial";"C14orf159";1;1;1,01213154641727e-05;NA;1;NA;1;NA;2,02259638550513e-05;"mitochondrion";4,74090930640497e-05;FALSE
"1071";1071;"Q7Z3U7";"Q7Z3U7-3";"MON2_HUMAN";"Protein MON2 homolog";"MON2";1;2;2,74771916908623e-05;1;1;1;1;2,83399018736481e-05;2,67010978016626e-05;"trans-Golgi network";9,48181861280994e-05;FALSE
"1072";1072;"Q7Z3U7";"Q7Z3U7-1,Q7Z3U7-2,Q7Z3U7-4";"MON2_HUMAN";"Protein MON2 homolog";"MON2";18;40;0,000183181277939082;16;16;19;21;0,000179486045199771;0,000186907684611638;"trans-Golgi network";0,00189636372256199;FALSE
"1076";1076;"Q7Z4R8";"Q7Z4R8";"CF120_HUMAN";"UPF0669 protein C6orf120";"C6orf120";2;3;0,000293783104363212;2;1;2;1;0,000392170369866512;0,000195694142430025;"extracellular vesicular exosome";0,000142227279192149;FALSE
"1078";1078;"Q7Z5H3";"Q7Z5H3-1,Q7Z5H3-2,Q7Z5H3-3";"RHG22_HUMAN";"Rho GTPase-activating protein 22";"ARHGAP22";1;2;1,78645568078235e-05;1;1;1;1;1,78855159132053e-05;1,78498477574665e-05;"nucleus, cytosol";9,48181861280994e-05;FALSE
"1092";1092;"Q86V21";"Q86V21-1,Q86V21-3";"AACS_HUMAN";"Acetoacetyl-CoA synthetase";"AACS";1;2;2,78336175264749e-05;1;1;1;1;2,78662725611993e-05;2,78107003006955e-05;"cytosol";9,48181861280994e-05;FALSE
"1098";1098;"Q86Y56";"Q86Y56-1";"HEAT2_HUMAN";"HEAT repeat-containing protein 2";"HEATR2";19;36;0,000787544883275417;16;17;17;19;0,000744665023951208;0,00083061291564744;"cytoplasm";0,00170672735030579;FALSE
"1104";1104;"Q8IWS0";"Q8IWS0-1,Q8IWS0-2";"PHF6_HUMAN";"PHD finger protein 6";"PHF6";1;2;5,12443588432635e-05;1;1;1;1;5,13044798934958e-05;5,12021660330614e-05;"nucleolus, nucleus, nucleoplasm";9,48181861280994e-05;FALSE
"1105";1105;"Q8IWZ3";"Q8IWZ3-1,Q8IWZ3-4,Q8IWZ3-6";"ANKH1_HUMAN";"Ankyrin repeat and KH domain-containing protein 1";"ANKHD1";2;4;9,81074795583067e-06;2;2;2;2;9,82225814903014e-06;9,80267012959213e-06;"cytoplasm";0,000189636372256199;FALSE
"1111";1111;"Q8IY67";"Q8IY67-1,Q8IY67-2";"RAVR1_HUMAN";"Ribonucleoprotein PTB-binding 1";"RAVER1";5;11;0,000169757508874342;5;5;5;6;0,000154506065685858;0,000185037530713539;"nucleus, cytoplasm";0,000521500023704547;FALSE
"1121";1121;"Q8N183";"Q8N183";"MIMIT_HUMAN";"Mimitin, mitochondrial";"NDUFAF2";12;26;0,0028775678427371;11;12;13;13;0,00288094387094246;0,00287519855416421;"mitochondrion";0,00123263641966529;FALSE
"1127";1127;"Q8N2K0";"Q8N2K0-1,Q8N2K0-2";"ABD12_HUMAN";"Monoacylglycerol lipase ABHD12";"ABHD12";6;11;0,000258475000949375;4;6;5;6;0,000235252954285502;0,000281740561840212;"alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex";0,000521500023704547;FALSE
"1142";1142;"Q8N726";"Q8N726-1";"CD2A2_HUMAN";"Cyclin-dependent kinase inhibitor 2A, isoform 4";"CDKN2A";1;2;0,000283396832996836;1;1;1;1;0,000283729320623121;0,000283163493970718;"protein complex, mitochondrion, nucleoplasm, nucleolus, nucleus";9,48181861280994e-05;FALSE
"1152";1152;"Q8NBN7";"Q8NBN7-1";"RDH13_HUMAN";"Retinol dehydrogenase 13";"RDH13";6;10;0,000565081298422694;5;4;6;4;0,000678893117623902;0,000451692824219152;"mitochondrion";0,000474090930640497;FALSE
"1154";1154;"Q8NBQ5";"Q8NBQ5";"DHB11_HUMAN";"Estradiol 17-beta-dehydrogenase 11";"HSD17B11";13;34;0,00211980831081633;12;13;15;19;0,0018726135161126;0,0023672468095952;"extracellular region, lipid particle, cytoplasm";0,00161190916417769;FALSE
"1155";1155;"Q8NBS9";"Q8NBS9";"TXND5_HUMAN";"Thioredoxin domain-containing protein 5";"TXNDC5";1;2;8,65934767490332e-05;1;1;1;1;8,6695070190398e-05;8,6522178713275e-05;"endoplasmic reticulum, endoplasmic reticulum lumen, lysosomal lumen, extracellular vesicular exosome";9,48181861280994e-05;FALSE
"1163";1163;"Q8ND04";"Q8ND04-1,Q8ND04-2,Q8ND04-3";"SMG8_HUMAN";"Protein SMG8";"SMG8";2;2;1,25827049968323e-05;NA;2;NA;2;NA;2,51446896765118e-05;"cytosol";9,48181861280994e-05;FALSE
"1169";1169;"Q8NFH4";"Q8NFH4";"NUP37_HUMAN";"Nucleoporin Nup37";"NUP37";2;5;0,000286874094751398;2;2;2;3;0,000229768529584368;0,000343965471203694;"nuclear envelope, nuclear pore outer ring, condensed chromosome kinetochore, nucleus, cytosol";0,000237045465320248;FALSE
"1174";1174;"Q8NI37";"Q8NI37";"PPTC7_HUMAN";"Protein phosphatase PTC7 homolog";"PPTC7";1;1;6,1526944005892e-05;1;NA;1;NA;0,000123198257638987;NA;"mitochondrion";4,74090930640497e-05;FALSE
"1175";1175;"Q8NI60";"Q8NI60-1,Q8NI60-3";"ADCK3_HUMAN";"Chaperone activity of bc1 complex-like, mitochondrial";"ADCK3";5;7;0,000101181867731482;1;5;1;6;2,89430218873662e-05;0,000173311813929528;"mitochondrion";0,000331863651448348;FALSE
"1182";1182;"Q8TC07";"Q8TC07-2";"TBC15_HUMAN";"TBC1 domain family member 15";"TBC1D15";18;34;0,000920321987329811;16;16;17;17;0,000921401730069873;0,000919564226440364;"mitochondrion, extracellular vesicular exosome, cytoplasm";0,00161190916417769;FALSE
"1196";1196;"Q8WUN7";"Q8WUN7";"UBTD2_HUMAN";"Ubiquitin domain-containing protein 2";"UBTD2";1;1;7,99324400760306e-05;1;NA;1;NA;0,000160052437274581;NA;"cytoplasm";4,74090930640497e-05;FALSE
"1198";1198;"Q8WUY1";"Q8WUY1";"THEM6_HUMAN";"Protein THEM6";"THEM6";12;24;0,00215817588205283;11;12;12;12;0,00216070790320684;0,00215639891562316;"extracellular region";0,00113781823353719;FALSE
"1203";1203;"Q8WWC4";"Q8WWC4";"CB047_HUMAN";"Uncharacterized protein C2orf47, mitochondrial";"C2orf47";3;5;0,000321377851852082;3;2;3;2;0,000386105879610844;0,00025689059246828;"mitochondrion";0,000237045465320248;FALSE
"1204";1204;"Q8WWV3";"Q8WWV3-1";"RT4I1_HUMAN";"Reticulon-4-interacting protein 1, mitochondrial";"RTN4IP1";3;4;0,000188931221997891;3;1;3;1;0,000283729320623121;9,43878313235727e-05;"mitochondrion";0,000189636372256199;FALSE
"1205";1205;"Q8WXX5";"Q8WXX5";"DNJC9_HUMAN";"DnaJ homolog subfamily C member 9";"DNAJC9";1;2;0,000143878392136855;1;1;1;1;0,000144047193547123;0,000143759927708211;"nucleus";9,48181861280994e-05;FALSE
"1212";1212;"Q92522";"Q92522";"H1X_HUMAN";"Histone H1x";"H1FX";1;2;0,000175626206364236;1;1;1;1;0,000175832255034047;0,000175481601897346;"nucleosome, nucleus, nucleolus";9,48181861280994e-05;FALSE
"1219";1219;"Q92609";"Q92609";"TBCD5_HUMAN";"TBC1 domain family member 5";"TBC1D5";7;11;0,000258800126736733;5;6;5;6;0,00023554886995127;0,000282094952484036;"retromer complex";0,000521500023704547;FALSE
"1233";1233;"Q92973";"Q92973-1,Q92973-2";"TNPO1_HUMAN";"Transportin-1";"TNPO1";21;57;0,000758930023534322;21;20;30;27;0,000785630573393693;0,000733607871629037;"nucleus, cytoplasm, cytosol";0,00270231830465083;FALSE
"1235";1235;"Q92990";"Q92990-1";"GLMN_HUMAN";"Glomulin";"GLMN";10;22;0,000692747813992265;8;9;11;11;0,000693560561523184;0,0006921774297062;"Cul3-RING ubiquitin ligase complex, Cul2-RING ubiquitin ligase complex, Cul4A-RING E3 ubiquitin ligase complex, intracellular, cullin-RING ubiquitin ligase complex";0,00104300004740909;FALSE
"1248";1248;"Q969Z0";"Q969Z0-1";"TBRG4_HUMAN";"Protein TBRG4";"TBRG4";8;24;0,000711411384258301;8;7;12;12;0,000712246028315409;0,000710825633042183;"mitochondrion";0,00113781823353719;FALSE
"1251";1251;"Q96A49";"Q96A49";"SYAP1_HUMAN";"Synapse-associated protein 1";"SYAP1";2;2;0,000106273812373813;NA;2;NA;2;NA;0,000212372620478039;"nucleus, cytoplasm, Golgi apparatus";9,48181861280994e-05;FALSE
"1255";1255;"Q96AE4";"Q96AE4-2";"FUBP1_HUMAN";"Far upstream element-binding protein 1";"FUBP1";17;33;0,0010793819063585;16;15;17;16;0,00111138875745699;0,00104782209149666;"nucleus";0,00156450007111364;FALSE
"1262";1262;"Q96C36";"Q96C36";"P5CR2_HUMAN";"Pyrroline-5-carboxylate reductase 2";"PYCR2";2;3;0,000175351790416792;1;2;1;2;0,000117038344757037;0,000233609882525842;"cytoplasm";0,000142227279192149;FALSE
"1270";1270;"Q96EY4";"Q96EY4";"TMA16_HUMAN";"Translation machinery-associated protein 16";"TMA16";1;1;9,21388718117791e-05;NA;1;NA;1;NA;0,000184126015783915;"nucleus";4,74090930640497e-05;FALSE
"1277";1277;"Q96HY6";"Q96HY6-1,Q96HY6-2";"DDRGK_HUMAN";"DDRGK domain-containing protein 1";"DDRGK1";4;10;0,000297837435952089;4;4;5;5;0,000298186865623025;0,00029759220703929;"endoplasmic reticulum";0,000474090930640497;FALSE
"1279";1279;"Q96IV0";"Q96IV0-1,Q96IV0-2,Q96IV0-3,Q96IV0-5";"NGLY1_HUMAN";"Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase";"NGLY1";2;2;1,4299840197088e-05;NA;2;NA;2;NA;2,85761324190633e-05;"cytoplasm";9,48181861280994e-05;FALSE
"1290";1290;"Q96M27";"Q96M27-1,Q96M27-2,Q96M27-3,Q96M27-5";"PRRC1_HUMAN";"Protein PRRC1";"PRRC1";4;7;7,35558072160327e-05;3;4;3;4;6,31218039139077e-05;8,39945645036737e-05;"Golgi apparatus";0,000331863651448348;FALSE
"1297";1297;"Q96PU8";"Q96PU8-1,Q96PU8-3,Q96PU8-5,Q96PU8-6,Q96PU8-8,Q96PU8-9";"QKI_HUMAN";"Protein quaking";"QKI";5;9;8,22764999023072e-05;4;4;4;5;7,32204698382247e-05;9,13430625711994e-05;"nucleus, cytoplasm";0,000426681837576447;FALSE
"1309";1309;"Q99417";"Q99417";"MYCBP_HUMAN";"C-Myc-binding protein";"MYCBP";2;2;0,000363188174326042;NA;2;NA;2;NA;0,000725778275808442;"nucleus, mitochondrion, centrosome, cytoplasm";9,48181861280994e-05;FALSE
"1312";1312;"Q99504";"Q99504-1,Q99504-2";"EYA3_HUMAN";"Eyes absent homolog 3";"EYA3";1;2;3,2642567151468e-05;1;1;1;1;3,26808641555427e-05;3,26156904050042e-05;"nucleus, transcription factor complex, cytoplasm";9,48181861280994e-05;FALSE
"1324";1324;"Q99733";"Q99733";"NP1L4_HUMAN";"Nucleosome assembly protein 1-like 4";"NAP1L4";3;3;0,000164596880604562;2;1;2;1;0,00023303634867179;9,96735498776928e-05;"cytoplasm, nucleus";0,000142227279192149;FALSE
"1328";1328;"Q99832";"Q99832-1,Q99832-3";"TCPH_HUMAN";"T-complex protein 1 subunit eta";"CCT7";9;17;0,000292791203151427;8;7;9;8;0,000310377930847392;0,000275341298004676;"microtubule, chaperonin-containing T-complex, zona pellucida receptor complex, cell body, cytosol, extracellular vesicular exosome, cytoplasm, mitochondrion";0,000805954582088845;FALSE
"1330";1330;"Q99956";"Q99956";"DUS9_HUMAN";"Dual specificity protein phosphatase 9";"DUSP9";3;6;0,000292252984027987;3;3;3;3;0,000292595861892593;0,000292012353157303;"nucleus, cytoplasm";0,000284454558384298;FALSE
"1335";1335;"Q9BQE3";"Q9BQE3";"TBA1C_HUMAN";"Tubulin alpha-1C chain";"TUBA1C";2;3;0,00303474457178638;2;1;2;1;0,00310294979061864;0,00289974553513889;"microtubule, nucleus, cytoplasmic microtubule, vesicle";0,000142227279192149;FALSE
"1342";1342;"Q9BRX2";"Q9BRX2";"PELO_HUMAN";"Protein pelota homolog";"PELO";1;2;9,7164628456058e-05;1;1;1;1;9,72786242136413e-05;9,70846265042462e-05;"cytoplasm, nucleus";9,48181861280994e-05;FALSE
"1354";1354;"Q9BUF5";"Q9BUF5";"TBB6_HUMAN";"Tubulin beta-6 chain";"TUBB6";1;1;0,000408392809626126;1;0;1;0;0,000564489874064833;NA;"extracellular vesicular exosome, microtubule, nucleus, cytoplasm";4,74090930640497e-05;FALSE
"1360";1360;"Q9BV86";"Q9BV86-1,Q9BV86-2";"NTM1A_HUMAN";"N-terminal Xaa-Pro-Lys N-methyltransferase 1";"NTMT1";1;1;4,19376479322672e-05;1;NA;1;NA;8,39737002741074e-05;NA;"cytoplasm, nucleus";4,74090930640497e-05;FALSE
"1370";1370;"Q9BWF3";"Q9BWF3-1";"RBM4_HUMAN";"RNA-binding protein 4";"RBM4";5;9;0,000462466260439891;4;5;4;5;0,000411563410134636;0,00051342831324361;"cytoplasm, nucleus, nucleoplasm, cytoplasmic stress granule, nuclear speck, nucleolus";0,000426681837576447;FALSE
