"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc";"Go.Mf"
"140";"P40926";210;210;"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";10;19;0,00332694474467634;7;7;10;9;0,00419345594569526;0,00379172221538281;"plasma membrane, mitochondrial matrix, nucleus, mitochondrial inner membrane, extracellular vesicular exosome";"malate dehydrogenase (NADP+) activity, poly(A) RNA binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor, L-malate dehydrogenase activity"
"141";"P41091";212;212;"P41091,Q2VIR3-1";"IF2G_HUMAN, IF2GL_HUMAN";"Eukaryotic translation initiation factor 2 subunit 3, Putative eukaryotic translation initiation factor 2 subunit 3-like protein";"EIF2S3, EIF2S3L";2;2;0,000125391093186954;NA;2;NA;2;NA;0,000603390823351878;"cytosol, extracellular vesicular exosome";"protein binding, GTPase activity, translation initiation factor activity, GTP binding, translation factor activity, nucleic acid binding"
"142";"P41252";214;214;"P41252";"SYIC_HUMAN";"Isoleucine--tRNA ligase, cytoplasmic";"IARS";6;10;0,000468974611602554;5;2;7;3;0,000786189918186607;0,00033851085810866;"cytosol, nucleus, extracellular vesicular exosome";"aminoacyl-tRNA editing activity, ATP binding, protein binding, isoleucine-tRNA ligase activity"
"143";"P46777";223;223;"P46777";"RL5_HUMAN";"60S ribosomal protein L5";"RPL5";4;8;0,00159419787162942;4;3;5;3;0,00238617526876262;0,00143838620516205;"extracellular vesicular exosome, nucleolus, nucleus, cytosolic large ribosomal subunit";"5S rRNA binding, structural constituent of ribosome, protein binding, poly(A) RNA binding, RNA binding"
"144";"P46779";224;224;"P46779-1";"RL28_HUMAN";"60S ribosomal protein L28";"RPL28";7;19;0,00820808265474893;4;6;10;9;NA;NA;"cytosolic large ribosomal subunit, extracellular vesicular exosome";"protein binding, RNA binding, poly(A) RNA binding, structural constituent of ribosome"
"145";"P46781";225;225;"P46781";"RS9_HUMAN";"40S ribosomal protein S9";"RPS9";8;19;0,00579642950361136;6;5;11;8;0,00803673670417266;0,00587217461076467;"cytosolic small ribosomal subunit, extracellular vesicular exosome, nucleolus";"rRNA binding, protein binding, structural constituent of ribosome, poly(A) RNA binding, translation regulator activity"
"146";"P46782";226;226;"P46782";"RS5_HUMAN";"40S ribosomal protein S5";"RPS5";4;9;0,00261108511695187;2;4;4;5;0,00277919237185294;0,0034902018213491;"extracellular vesicular exosome, cytosolic small ribosomal subunit";"mRNA binding, structural constituent of ribosome, poly(A) RNA binding, RNA binding"
"147";"P46940";228;228;"P46940";"IQGA1_HUMAN";"Ras GTPase-activating-like protein IQGAP1";"IQGAP1";3;3;0,000107153764606353;2;1;2;1;0,000171078830373566;8,59385843760067e-05;"cell leading edge, actin filament, neuron projection, midbody, cytoplasm, extrinsic component of cytoplasmic side of plasma membrane, nucleus, ribonucleoprotein complex, microtubule, slit diaphragm, lateral plasma membrane, extracellular vesicular exosome";"Ras GTPase activator activity, calmodulin binding, GTPase activator activity, protein phosphatase binding, calcium ion binding, protein kinase binding, GTPase inhibitor activity, phosphatidylinositol-3,4,5-trisphosphate binding, protein binding"
"148";"P47756";229;229;"P47756-2";"CAPZB_HUMAN";"F-actin-capping protein subunit beta";"CAPZB";2;4;0,000854651205548625;2;2;2;2;NA;NA;"F-actin capping protein complex, Z disc, extracellular vesicular exosome, cortical cytoskeleton, cytosol, lamellipodium, intercalated disc, acrosomal vesicle, WASH complex, membrane";"actin binding"
"149";"P48047";231;231;"P48047";"ATPO_HUMAN";"ATP synthase subunit O, mitochondrial";"ATP5O";3;4;0,00111144781191065;2;2;2;2;0,00133088085412676;0,00133709140198163;"plasma membrane, mitochondrial proton-transporting ATP synthase complex";"proton-transporting ATP synthase activity, rotational mechanism, drug binding, transmembrane transporter activity, transporter activity"
"150";"P49207";233;233;"P49207";"RL34_HUMAN";"60S ribosomal protein L34";"RPL34";4;13;0,00657606622047137;3;4;6;7;0,00726865697253845;0,00851967213826754;"extracellular vesicular exosome, cytosolic large ribosomal subunit";"structural constituent of ribosome, RNA binding"
"151";"P49327";235;235;"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";29;64;0,00150848830863859;25;18;38;26;0,00214499196202747;0,0014744747479439;"mitochondrion, plasma membrane, Golgi apparatus, glycogen granule, cytosol, extracellular vesicular exosome, melanosome";"protein binding, drug binding, palmitoyl-[acyl-carrier-protein] hydrolase activity, enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity, 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity, NADPH binding, 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity, [acyl-carrier-protein] S-acetyltransferase activity, poly(A) RNA binding, fatty acid synthase activity, 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity, [acyl-carrier-protein] S-malonyltransferase activity, zinc ion binding, myristoyl-[acyl-carrier-protein] hydrolase activity, 3-oxoacyl-[acyl-carrier-protein] synthase activity, oleoyl-[acyl-carrier-protein] hydrolase activity, enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity"
"152";"P49368";236;236;"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";4;4;0,00043438235584765;4;NA;4;NA;NA;NA;"cytosol, chaperonin-containing T-complex, cell body, microtubule, plasma membrane, extracellular vesicular exosome, zona pellucida receptor complex";"protein binding, poly(A) RNA binding, ATP binding, unfolded protein binding"
"153";"P49411";237;237;"P49411";"EFTU_HUMAN";"Elongation factor Tu, mitochondrial";"TUFM";9;17;0,00222596931799141;8;5;11;6;0,00344939584205641;0,00189026859704925;"mitochondrial nucleoid, extracellular vesicular exosome";"poly(A) RNA binding, translation elongation factor activity, GTP binding, GTPase activity"
"154";"P50395";238;238;"P50395-1,P50395-2";"GDIB_HUMAN";"Rab GDP dissociation inhibitor beta";"GDI2";2;2;0,000132999092099421;NA;2;NA;2;NA;NA;"membrane, cytosol, extracellular vesicular exosome, Golgi apparatus";"Rab GDP-dissociation inhibitor activity, poly(A) RNA binding, protein binding, Rab GTPase activator activity"
"155";"P50502";239;239;"P50502,Q8IZP2";"F10A1_HUMAN, ST134_HUMAN";"Hsc70-interacting protein, Putative protein FAM10A4";"ST13, ST13P4";4;13;0,0012633821802876;4;3;7;6;0,00162918173522413;0,00140295797350781;"protein complex, cytosol, cytoplasm, extracellular vesicular exosome";"protein binding, bridging, dATP binding, protein binding"
"156";"P50552";240;240;"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";4;9;0,00140174043120574;4;3;6;3;0,00223798122575526;0,00112421237613981;"tight junction, actin cytoskeleton, plasma membrane, extracellular vesicular exosome, lamellipodium membrane, filopodium membrane, cytosol, focal adhesion";"profilin binding, protein binding"
"157";"P50914";241;241;"P50914";"RL14_HUMAN";"60S ribosomal protein L14";"RPL14";6;16;0,00440443504999012;5;4;8;8;0,0052740022684465;0,00529861336971323;"cytosolic large ribosomal subunit, extracellular vesicular exosome";"protein binding, structural constituent of ribosome, RNA binding, poly(A) RNA binding"
"158";"P50990";242;242;"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";8;17;0,00183601848856226;5;6;8;9;0,00206917972210949;0,00233868997956093;"microtubule, intermediate filament cytoskeleton, extracellular vesicular exosome, zona pellucida receptor complex, aggresome, cell body, chaperonin-containing T-complex, cytosol, centrosome";"ATPase activity, coupled, ATP binding"
"159";"P50991";243;243;"P50991";"TCPD_HUMAN";"T-complex protein 1 subunit delta";"CCT4";6;11;0,0012078488976376;NA;6;NA;11;NA;0,00290612723083762;"cell body, chaperonin-containing T-complex, extracellular vesicular exosome, zona pellucida receptor complex, cytosol, centrosome, melanosome, microtubule, nucleus";"poly(A) RNA binding, ATP binding, unfolded protein binding"
"160";"P51572";244;244;"P51572-1,P51572-2";"BAP31_HUMAN";"B-cell receptor-associated protein 31";"BCAP31";8;15;0,00180440841415373;7;4;9;6;NA;NA;"Golgi membrane, integral component of plasma membrane, lipid particle, endoplasmic reticulum-Golgi intermediate compartment membrane, integral component of lumenal side of endoplasmic reticulum membrane, cytosol";"protein binding"
"161";"P52209";247;247;"P52209";"6PGD_HUMAN";"6-phosphogluconate dehydrogenase, decarboxylating";"PGD";2;2;0,00024507079082502;2;NA;2;NA;0,000586910190329191;NA;"extracellular vesicular exosome, cytosol";"NADP binding, phosphogluconate dehydrogenase (decarboxylating) activity"
"162";"P52907";248;248;"P52907";"CAZA1_HUMAN";"F-actin-capping protein subunit alpha-1";"CAPZA1";2;4;0,0008277565871922;2;2;2;2;0,000991180496255243;0,000995805834342959;"F-actin capping protein complex, WASH complex, extracellular vesicular exosome, cytosol";"protein binding, actin binding"
"163";"P53396";249;249;"P53396-1,P53396-2";"ACLY_HUMAN";"ATP-citrate synthase";"ACLY";2;4;0,000107510619408251;2;2;2;2;NA;NA;"plasma membrane, mitochondrion, citrate lyase complex, nucleus, extracellular vesicular exosome, cytosol";"metal ion binding, ATP binding, cofactor binding, protein binding, ATP citrate synthase activity, succinate-CoA ligase (ADP-forming) activity"
"164";"P53999";250;250;"P53999";"TCP4_HUMAN";"Activated RNA polymerase II transcriptional coactivator p15";"SUB1";3;7;0,00326214308574564;3;2;5;2;0,00558026814820865;0,00224252337497706;"nucleolus, extracellular vesicular exosome, transcription factor complex";"protein binding, single-stranded DNA binding, poly(A) RNA binding, transcription coactivator activity"
"165";"P54577";251;251;"P54577";"SYYC_HUMAN";"Tyrosine--tRNA ligase, cytoplasmic";"YARS";4;4;0,000448368151395775;2;2;2;2;0,00053688943547159;0,00053939482693577;"cytosol, nucleus, extracellular space";"tyrosine-tRNA ligase activity, signal transducer activity, poly(A) RNA binding, tRNA binding, interleukin-8 receptor binding, ATP binding"
"166";"P54819";252;252;"P54819-1,P54819-2,P54819-3,P54819-5";"KAD2_HUMAN";"Adenylate kinase 2, mitochondrial";"AK2";2;4;0,000247634292821097;2;NA;4;NA;NA;NA;"mitochondrial intermembrane space, mitochondrial inner membrane, sperm mitochondrial sheath, cytosol, extracellular vesicular exosome";"ATP binding, adenylate kinase activity"
"167";"P55060";253;253;"P55060-1,P55060-3";"XPO2_HUMAN";"Exportin-2";"CSE1L";3;6;0,000182856630229379;3;NA;6;NA;NA;NA;"extracellular vesicular exosome, nucleus, cytoplasm";"protein binding, importin-alpha export receptor activity"
"168";"P55072";254;254;"P55072";"TERA_HUMAN";"Transitional endoplasmic reticulum ATPase";"VCP";7;11;0,000807730218147227;5;4;6;5;0,0010551276250459;0,000883376143368754;"site of double-strand break, proteasome complex, lipid particle, extracellular vesicular exosome, endoplasmic reticulum, nucleus, cytosol, perinuclear region of cytoplasm";"protein domain specific binding, ATPase activity, ADP binding, ATP binding, deubiquitinase activator activity, protein phosphatase binding, polyubiquitin binding, protein binding, lipid binding, ubiquitin-specific protease binding, poly(A) RNA binding"
"169";"P55884";256;256;"P55884-1,P55884-2";"EIF3B_HUMAN";"Eukaryotic translation initiation factor 3 subunit B";"EIF3B";1;1;3,63541744374953e-05;NA;1;NA;1;NA;NA;"eukaryotic translation initiation factor 3 complex, extracellular vesicular exosome, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol";"translation initiation factor activity, protein complex scaffold, protein binding, nucleotide binding"
"170";"P60174";260;260;"P60174-1,P60174-3";"TPIS_HUMAN";"Triosephosphate isomerase";"TPI1";9;22;0,00227633061477855;8;6;12;10;NA;NA;"cytosol, extracellular space, extracellular vesicular exosome";"protein binding, triose-phosphate isomerase activity"
"171";"P60709";261;261;"P60709,P63261";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";7;87;0,0158610624958012;7;7;37;50;0,0146263422409607;0,023550951169978;"ribonucleoprotein complex, MLL5-L complex, cortical cytoskeleton, cytosol, blood microparticle, NuA4 histone acetyltransferase complex, cytoskeleton, extracellular vesicular exosome, postsynaptic density, axon";"Tat protein binding, protein binding, structural constituent of cytoskeleton, kinesin binding, nitric-oxide synthase binding, ATP binding"
"172";"P60842";262;262;"P60842,Q14240-1,Q14240-2";"IF4A1_HUMAN, IF4A2_HUMAN";"Eukaryotic initiation factor 4A-I, Eukaryotic initiation factor 4A-II";"EIF4A1, EIF4A2";2;4;0,00019404785568604;NA;2;NA;4;NA;0,00140295797350781;"cytosol, eukaryotic translation initiation factor 4F complex, extracellular vesicular exosome";"poly(A) RNA binding, RNA cap binding, ATP binding, protein binding, translation factor activity, nucleic acid binding, helicase activity, mRNA binding, ATP-dependent helicase activity, translation initiation factor activity, double-stranded RNA binding"
"173";"P60866";263;263;"P60866-1,P60866-2";"RS20_HUMAN";"40S ribosomal protein S20";"RPS20";3;8;0,00198939818434428;3;3;5;3;NA;NA;"extracellular vesicular exosome, cytosolic small ribosomal subunit";"RNA binding, protein binding, poly(A) RNA binding, structural constituent of ribosome"
"174";"P61006";264;264;"P61006";"RAB8A_HUMAN";"Ras-related protein Rab-8A";"RAB8A";3;6;0,0024016937500852;3;1;5;1;0,00456485703589371;0,00137584767450283;"neuronal cell body, extracellular vesicular exosome, Golgi membrane, dendrite, phagocytic vesicle, postsynaptic density, phagocytic vesicle membrane, recycling endosome membrane, nonmotile primary cilium, cytoplasmic vesicle membrane, plasma membrane";"GTPase activity, Rab GTPase binding, GTP binding, GDP binding, protein binding"
"175";"P61019";265;265;"P61019-1,P61019-2";"RAB2A_HUMAN";"Ras-related protein Rab-2A";"RAB2A";1;1;0,00013958631128359;NA;1;NA;1;NA;NA;"endoplasmic reticulum-Golgi intermediate compartment membrane, extracellular vesicular exosome, lysosomal membrane, endoplasmic reticulum membrane, melanosome, Golgi membrane";"GDP binding, GTPase activity, GTP binding"
"176";"P61088";266;266;"P61088,Q5JXB2";"UBE2N_HUMAN, UE2NL_HUMAN";"Putative ubiquitin-conjugating enzyme E2 N-like, Ubiquitin-conjugating enzyme E2 N";"UBE2N, UBE2NL";1;2;0,000388095711372081;1;1;1;1;0,00046471741299836;0,000466886014134568;"nucleus, cytosol, UBC13-UEV1A complex, ubiquitin ligase complex, extracellular vesicular exosome, UBC13-MMS2 complex";"protein binding, poly(A) RNA binding, ubiquitin-protein transferase activity, acid-amino acid ligase activity, ubiquitin binding, ATP binding"
"177";"P61247";267;267;"P61247";"RS3A_HUMAN";"40S ribosomal protein S3a";"RPS3A";8;23;0,00515623374105141;7;7;10;13;0,0053688943547159;0,007012132750165;"extracellular vesicular exosome, cytosolic small ribosomal subunit, nucleolus";"poly(A) RNA binding, structural constituent of ribosome, protein binding, RNA binding"
"178";"P61254";268;268;"P61254";"RL26_HUMAN";"60S ribosomal protein L26";"RPL26";3;6;0,0024490177648652;2;2;3;3;0,00293252712340344;0,00294621174436641;"cytosolic large ribosomal subunit, extracellular vesicular exosome";"RNA binding, poly(A) RNA binding, structural constituent of ribosome"
"179";"P61353";270;270;"P61353";"RL27_HUMAN";"60S ribosomal protein L27";"RPL27";3;7;0,00304626596977718;3;2;5;2;0,00521098569722425;0,00209412109280946;"extracellular vesicular exosome, cytosolic large ribosomal subunit";"structural constituent of ribosome, poly(A) RNA binding"
"180";"P61586";271;271;"P61586";"RHOA_HUMAN";"Transforming protein RhoA";"RHOA";5;14;0,00429318312839063;4;4;7;7;0,00514078588990413;0,00516477533770623;"cytosol, extracellular vesicular exosome, cell cortex, midbody, cleavage furrow, apical junction complex, plasma membrane, lamellipodium, cytoskeleton";"myosin binding, GTPase activity, GTP binding, protein binding"
"181";"P61604";272;272;"P61604";"CH10_HUMAN";"10 kDa heat shock protein, mitochondrial";"HSPE1";4;10;0,00580241137100415;3;3;4;6;0,00555838474370587;0,00837648437123783;"extracellular vesicular exosome, mitochondrion, mitochondrial matrix";"chaperone binding, unfolded protein binding, protein binding, poly(A) RNA binding, ATP binding"
"182";"P61978";273;273;"P61978-1,P61978-2,P61978-3";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";12;33;0,00140611351150468;8;10;15;18;NA;NA;"extracellular vesicular exosome, podosome, nucleoplasm, nuclear chromatin, cytoplasm, cell projection, cell junction, catalytic step 2 spliceosome";"single-stranded DNA binding, RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription, RNA binding, protein binding, RNA polymerase II core promoter proximal region sequence-specific DNA binding, poly(A) RNA binding"
"183";"P61981";274;274;"P61981";"1433G_HUMAN";"14-3-3 protein gamma";"YWHAG";4;10;0,00278550983124217;3;3;5;5;0,00331062311502257;0,003374746344885;"extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane";"poly(A) RNA binding, insulin-like growth factor receptor binding, protein kinase C inhibitor activity, protein binding, protein kinase C binding"
"184";"P62241";276;276;"P62241";"RS8_HUMAN";"40S ribosomal protein S8";"RPS8";5;18;0,00512174388325174;4;5;6;12;0,00408861954705288;0,00821539813332941;"extracellular vesicular exosome, cytosolic small ribosomal subunit";"structural constituent of ribosome, poly(A) RNA binding"
"185";"P62244";277;277;"P62244";"RS15A_HUMAN";"40S ribosomal protein S15a";"RPS15A";3;8;0,00364212898364568;2;2;4;4;0,00436119418352307;0,00438154567110902;"cytosolic small ribosomal subunit, extracellular vesicular exosome";"structural constituent of ribosome, RNA binding, poly(A) RNA binding"
"186";"P62249";278;278;"P62249";"RS16_HUMAN";"40S ribosomal protein S16";"RPS16";7;18;0,0072967310117559;6;4;11;7;0,010678951511024;0,00682740849436508;"extracellular vesicular exosome, cytosolic small ribosomal subunit";"RNA binding, poly(A) RNA binding, structural constituent of ribosome"
"187";"P62258";279;279;"P62258-1";"1433E_HUMAN";"14-3-3 protein epsilon";"YWHAE";6;18;0,00485661831753047;6;4;9;9;NA;NA;"mitochondrion, cytosol, extracellular vesicular exosome, kinesin complex, cytoplasmic vesicle membrane, melanosome";"ion channel binding, enzyme binding, poly(A) RNA binding, phosphoserine binding, MHC class II protein complex binding, potassium channel regulator activity, protein heterodimerization activity, phosphoprotein binding, histone deacetylase binding, protein binding"
"188";"P62263";280;280;"P62263";"RS14_HUMAN";"40S ribosomal protein S14";"RPS14";5;16;0,00627121546852899;4;5;6;10;0,00563200573368873;0,00943047909344657;"extracellular vesicular exosome, nucleolus, mitochondrion, cytosolic small ribosomal subunit";"poly(A) RNA binding, RNA binding, mRNA 5'-UTR binding, structural constituent of ribosome, translation regulator activity"
"189";"P62269";282;282;"P62269";"RS18_HUMAN";"40S ribosomal protein S18";"RPS18";10;22;0,00856619152403507;10;4;16;6;0,0149198748383684;0,00562106188069907;"cytosolic small ribosomal subunit, extracellular vesicular exosome";"rRNA binding, poly(A) RNA binding, structural constituent of ribosome, protein binding"
"190";"P62273";283;283;"P62273-1";"RS29_HUMAN";"40S ribosomal protein S29";"RPS29";2;5;0,00528433892716449;2;NA;5;NA;NA;NA;"cytosolic small ribosomal subunit, extracellular vesicular exosome";"structural constituent of ribosome, zinc ion binding"
"191";"P62280";284;284;"P62280";"RS11_HUMAN";"40S ribosomal protein S11";"RPS11";6;13;0,00486961865693133;5;4;9;4;0,00807372973848416;0,00360506922306438;"cytosolic small ribosomal subunit, extracellular vesicular exosome";"structural constituent of ribosome, rRNA binding, poly(A) RNA binding"
"192";"P62328";287;287;"P62328";"TYB4_HUMAN";"Thymosin beta-4";"TMSB4X";2;2;0,00269020890837465;NA;2;NA;2;NA;0,00647273792322924;"cytoskeleton, platelet alpha granule lumen, extracellular region";"poly(A) RNA binding, protein binding"
"193";"P62701";290;290;"P62701";"RS4X_HUMAN";"40S ribosomal protein S4, X isoform";"RPS4X";12;35;0,0078762770321235;9;9;18;17;0,00970075512304561;0,00920457788322332;"cytosolic small ribosomal subunit, extracellular vesicular exosome, polysome";"rRNA binding, structural constituent of ribosome, poly(A) RNA binding"
"194";"P62750";291;291;"P62750";"RL23A_HUMAN";"60S ribosomal protein L23a";"RPL23A";4;8;0,0030351074863714;3;4;4;4;0,00363432848626922;0,00365128805925752;"extracellular vesicular exosome, nucleus, TORC2 complex, cytosolic large ribosomal subunit";"poly(A) RNA binding, structural constituent of ribosome, protein binding, nucleotide binding, rRNA binding"
"195";"P62805";293;293;"P62805";"H4_HUMAN";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";5;19;0,0109175468320447;5;4;12;7;0,0165132595298446;0,0096776858269641;"nucleosome, nucleolus, extracellular vesicular exosome, actin cytoskeleton, nucleoplasm";"histone demethylase activity (H4-K20 specific), protein binding, poly(A) RNA binding, DNA binding"
"196";"P62826";294;294;"P62826";"RAN_HUMAN";"GTP-binding nuclear protein Ran";"RAN";5;9;0,00246602483267676;5;2;7;2;0,00459338739236805;0,00131852068806521;"melanosome, nucleoplasm, nuclear pore, extracellular vesicular exosome, cytosol";"poly(A) RNA binding, GTPase activity, protein binding, GTP binding, chromatin binding, transcription coactivator activity, androgen receptor binding"
"197";"P62829";295;295;"P62829";"RL23_HUMAN";"60S ribosomal protein L23";"RPL23";7;21;0,00887768939763635;4;6;9;12;0,0091117807048607;0,012205734369518;"nucleolus, extracellular vesicular exosome, cytosolic large ribosomal subunit";"poly(A) RNA binding, protein binding, structural constituent of ribosome"
"198";"P62851";298;298;"P62851";"RS25_HUMAN";"40S ribosomal protein S25";"RPS25";2;7;0,00331433737511757;2;2;2;5;0,002267820975432;0,00569600937244173;"cytosolic small ribosomal subunit, extracellular vesicular exosome, nucleolus";"structural constituent of ribosome, RNA binding, protein binding, poly(A) RNA binding"
"199";"P62854";299;299;"P62854";"RS26_HUMAN";"40S ribosomal protein S26";"RPS26";3;12;0,0061757839287905;3;3;6;6;0,00739506839814781;0,0074295774423153;"extracellular vesicular exosome, cytosolic small ribosomal subunit";"structural constituent of ribosome, protein binding, poly(A) RNA binding, mRNA binding"
"200";"P62857";300;300;"P62857";"RS28_HUMAN";"40S ribosomal protein S28";"RPS28";1;2;0,00171549553577514;1;NA;2;NA;0,00410837133230434;NA;"extracellular vesicular exosome, cytosolic small ribosomal subunit";"structural constituent of ribosome, poly(A) RNA binding"
"201";"P62879";301;301;"P62873,P62879,Q9HAV0";"GBB1_HUMAN, GBB2_HUMAN, GBB4_HUMAN";"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2, Guanine nucleotide-binding protein subunit beta-4";"GNB1, GNB2, GNB4";2;2;0,000116048227420083;2;NA;2;NA;0,000277919237185294;NA;"lysosomal membrane, protein complex, plasma membrane, extracellular vesicular exosome, cell body, perinuclear region of cytoplasm";"GTPase binding, calcium channel regulator activity, protein complex binding, protein binding, signal transducer activity, GTPase activity"
"202";"P62899";302;302;"P62899-1";"RL31_HUMAN";"60S ribosomal protein L31";"RPL31";4;11;0,00520824444661332;4;3;6;5;NA;NA;"cytosolic large ribosomal subunit, extracellular vesicular exosome";"RNA binding, structural constituent of ribosome, poly(A) RNA binding"
"203";"P62906";303;303;"P62906";"RL10A_HUMAN";"60S ribosomal protein L10a";"RPL10A";4;11;0,00300014081026113;3;4;4;7;0,00261269697630414;0,00459355594551752;"cytosolic large ribosomal subunit, mitochondrion, extracellular vesicular exosome";"structural constituent of ribosome, poly(A) RNA binding"
"204";"P62913";305;305;"P62913-1,P62913-2";"RL11_HUMAN";"60S ribosomal protein L11";"RPL11";3;9;0,00149623978611849;2;3;4;5;NA;NA;"extracellular vesicular exosome, cytosolic large ribosomal subunit, nucleolus";"protein binding, structural constituent of ribosome, rRNA binding, poly(A) RNA binding, RNA binding"
"205";"P62937";307;307;"P62937";"PPIA_HUMAN";"Peptidyl-prolyl cis-trans isomerase A";"PPIA";9;32;0,0114782246757318;8;8;17;15;0,0146033926448272;0,0129454758464585;"cytosol, nucleus, extracellular vesicular exosome";"poly(A) RNA binding, peptide binding, protein binding, unfolded protein binding, virion binding, peptidyl-prolyl cis-trans isomerase activity"
"206";"P62987";309;309;"P62987";"RL40_HUMAN";"Ubiquitin-60S ribosomal protein L40";"UBA52";5;23;0,0106347320909185;4;4;10;13;0,0110733446066015;0,0144625237972153;"ribosome, plasma membrane, lysosomal membrane, cytosol, nucleoplasm, endocytic vesicle membrane, endosome membrane, cytosolic large ribosomal subunit";"structural constituent of ribosome, protein binding"
"207";"P63104";310;310;"P63104";"1433Z_HUMAN";"14-3-3 protein zeta/delta";"YWHAZ";10;22;0,00639506691344103;7;6;11;11;0,00787314222076486;0,00748504964820615;"cytosol, blood microparticle, protein complex, mast cell granule, perinuclear region of cytoplasm, postsynaptic density, melanosome, nucleoplasm, mitochondrion, cell leading edge, extracellular vesicular exosome, cytoplasmic vesicle membrane";"poly(A) RNA binding, protein kinase binding, transcription factor binding, protein binding, identical protein binding"
"208";"P63244";313;313;"P63244";"GBLP_HUMAN";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";4;4;0,00074680878213555;1;3;1;3;0,0004471255866388;0,0013476362868553;"neuronal cell body, mitochondrion, cytoskeleton, phagocytic cup, cytosol, nucleus, perinuclear region of cytoplasm, dendrite, perikaryon, midbody, small ribosomal subunit, extracellular vesicular exosome";"enzyme binding, SH2 domain binding, ion channel inhibitor activity, receptor tyrosine kinase binding, cysteine-type endopeptidase activator activity involved in apoptotic process, protein kinase C binding, protein binding, receptor binding, protein tyrosine kinase inhibitor activity, protein phosphatase binding, protein complex scaffold, poly(A) RNA binding"
"209";"P67809";314;314;"P67809";"YBOX1_HUMAN";"Nuclease-sensitive element-binding protein 1";"YBX1";4;9;0,00254075285790939;3;3;4;5;0,00349972372751851;0,00282540147442546;"CRD-mediated mRNA stability complex, cytoplasmic stress granule, U12-type spliceosomal complex, nucleoplasm, histone pre-mRNA 3'end processing complex, extracellular vesicular exosome";"double-stranded DNA binding, DNA binding, single-stranded DNA binding, poly(A) RNA binding, protein binding, sequence-specific DNA binding transcription factor activity, RNA binding"
"210";"P67936";315;315;"P67936-1";"TPM4_HUMAN";"Tropomyosin alpha-4 chain";"TPM4";2;3;0,00107391404003665;1;2;1;2;NA;NA;"filamentous actin, cytosol, podosome, extracellular vesicular exosome, muscle thin filament tropomyosin, stress fiber, cortical cytoskeleton";"calcium ion binding, structural constituent of muscle"
"211";"P68104";316;316;"P68104,Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";18;77;0,00493204966535352;13;17;27;50;0,00414171850220941;0,00770564038479671;"extracellular space, eukaryotic translation elongation factor 1 complex, nucleus, cytosol, plasma membrane, extracellular vesicular exosome";"protein kinase binding, protein binding, poly(A) RNA binding, GTP binding, GTPase activity, translation elongation factor activity"
"212";"P68133";317;317;"P68032,P68133";"ACTC_HUMAN, ACTS_HUMAN";"Actin, alpha cardiac muscle 1, Actin, alpha skeletal muscle";"ACTA1, ACTC1";1;2;0,000350340395634263;1;0;2;0;0,000766631227773369;0;"blood microparticle, extracellular vesicular exosome, cytosol, striated muscle thin filament, stress fiber, actin filament";"ADP binding, myosin binding, ATP binding, protein binding, structural constituent of cytoskeleton"
"213";"P68366";319;319;"P68366";"TBA4A_HUMAN";"Tubulin alpha-4A chain";"TUBA4A";1;1;0,00739807449803029;0;1;0;1;NA;0,0111250183055502;"microtubule, cytosol, extracellular vesicular exosome";"protein binding, GTP binding, structural constituent of cytoskeleton, GTPase activity"
