"";"X";"AC";"Group";"ID";"Entrez_ID";"Gene_symbol";"Descr";"SP_GN";"Entrez_GN";"Non_spec_binder";"Group_size";"Specific_reporter";"Pc_P4569.1.merged";"Pc_P4569.2.merged";"Pc_grp0";"Pc_mean_grp0";"Pc_sd_grp0";"Pc_CV_grp0";"Sc_P4569.1.merged";"Sc_P4569.2.merged";"Sc_grp0";"Sc_mean_grp0";"Sc_sd_grp0";"Sc_CV_grp0";"Seqcov_P4569.1.merged";"Seqcov_P4569.2.merged";"Seqcov_grp0";"Seqcov_mean_grp0";"Seqcov_sd_grp0";"Seqcov_CV_grp0";"Glob_pc";"Glob_sc";"Glob_seqcov";"Go.Cc"
"3409";3409;"Q06418";"Q06418";"TYRO3_HUMAN";"7301";"TYRO3";"Tyrosine-protein kinase receptor TYRO3";"TYRO3,DTK,SKY,BYK,RSE";NA;0;1;1;4;6;6;"5";"1.41";"0.28";4;9;13;"6.5";"3.54";"0.54";"0.05";"0.08";"0.08";"0.07";"0.02";"0.29";6;13;"0.08";"nuclear envelope, endoplasmic reticulum membrane, integral component of plasma membrane"
"3411";3411;"Q06481";"Q06481-1";"APLP2_HUMAN";"334";"APLP2";"Amyloid-like protein 2";"APLP2,APPL2";NA;0;5;2;18;18;21;"18";"0";"0";22;22;44;"22";"0";"0";"0.24";"0.25";"0.28";"0.24";"0.01";"0.03";21;44;"0.28";"extracellular vesicular exosome, nucleus, integral component of membrane, plasma membrane"
"3412";3412;"Q06495";"Q06495-1";"NPT2A_HUMAN";"6569";"SLC34A1";"Sodium-dependent phosphate transport protein 2A";"SLC34A1,NPT2,SLC17A2";NA;0;2;2;2;0;2;"1";"1.41";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.02";"0";"0.02";"0.01";"0.02";"1.41";2;3;"0.02";"apical plasma membrane, endosome, perinuclear region of cytoplasm, cell surface, brush border membrane, integral component of plasma membrane, basolateral plasma membrane, membrane raft"
"3419";3419;"Q06830";"Q06830";"PRDX1_HUMAN";"5052";"PRDX1";"Peroxiredoxin-1";"PRDX1,PAGB,TDPX2,PAGA";NA;0;1;1;18;18;18;"18";"0";"0";299;310;609;"304.5";"7.78";"0.03";"0.82";"0.82";"0.82";"0.82";"0";"0";18;609;"0.82";"extracellular space, nuclear euchromatin, melanosome, mitochondrial matrix, mitochondrion, nucleus, cytosol, extracellular vesicular exosome, peroxisomal matrix, nucleolus"
"3420";3420;"Q07000";"Q07000";"1C15_HUMAN";NA;"HLA-C";"HLA class I histocompatibility antigen, Cw-15 alpha chain";"HLA-C,HLAC";NA;0;1;1;12;12;13;"12";"0";"0";68;69;137;"68.5";"0.71";"0.01";"0.49";"0.49";"0.51";"0.49";"0";"0";13;137;"0.51";"early endosome membrane, Golgi membrane, cell surface, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, MHC class I protein complex, phagocytic vesicle membrane"
"3422";3422;"Q07021";"Q07021";"C1QBP_HUMAN";"708";"C1QBP";"Complement component 1 Q subcomponent-binding protein, mitochondrial";"C1QBP,GC1QBP,SF2P32,HABP1";NA;0;1;1;8;7;9;"7.5";"0.71";"0.09";93;81;174;"87";"8.49";"0.1";"0.44";"0.34";"0.46";"0.39";"0.07";"0.18";9;174;"0.46";"nucleus, extracellular space, nucleolus, mitochondrion, mitochondrial matrix, cytosol, cell surface, plasma membrane"
"3423";3423;"Q07065";"Q07065";"CKAP4_HUMAN";"10970";"CKAP4";"Cytoskeleton-associated protein 4";"CKAP4";NA;0;1;1;28;29;32;"28.5";"0.71";"0.02";48;50;98;"49";"1.41";"0.03";"0.51";"0.55";"0.59";"0.53";"0.03";"0.05";32;98;"0.59";"perinuclear region of cytoplasm, endoplasmic reticulum membrane, lipid particle, plasma membrane, cytoskeleton, integral component of membrane, extracellular vesicular exosome"
"3424";3424;"Q07108";"Q07108";"CD69_HUMAN";"969";"CD69";"Early activation antigen CD69";"CD69,CLEC2C";NA;0;1;1;5;3;5;"4";"1.41";"0.35";6;5;11;"5.5";"0.71";"0.13";"0.28";"0.2";"0.28";"0.24";"0.06";"0.24";5;11;"0.28";"integral component of plasma membrane, external side of plasma membrane"
"3425";3425;"Q07157";"Q07157-1";"ZO1_HUMAN";"7082";"TJP1";"Tight junction protein ZO-1";"TJP1,ZO1";NA;0;2;2;3;3;5;"3";"0";"0";3;3;6;"3";"0";"0";"0.02";"0.02";"0.03";"0.02";"0.01";"0.27";5;6;"0.03";"cytosol, tight junction, apical plasma membrane, basolateral plasma membrane, nucleus, apicolateral plasma membrane, gap junction, apical part of cell, intercalated disc, intercellular canaliculus, cell-cell adherens junction"
"3426";3426;"Q07283";"Q07283";"TRHY_HUMAN";"7062";"TCHH";"Trichohyalin";"TCHH,THH,THL,TRHY";NA;0;1;1;7;8;14;"7.5";"0.71";"0.09";8;10;18;"9";"1.41";"0.16";"0.03";"0.03";"0.06";"0.03";"0";"0.07";14;18;"0.06";"cytoplasm, intermediate filament cytoskeleton, plasma membrane, centrosome"
"3430";3430;"Q07812";"Q07812-2";"BAX_HUMAN";"581";"BAX";"Apoptosis regulator BAX";"BAX,BCL2L4";NA;0;7;1;11;10;11;"10.5";"0.71";"0.07";20;21;41;"20.5";"0.71";"0.03";"0.54";"0.5";"0.54";"0.52";"0.03";"0.06";11;41;"0.54";"extracellular vesicular exosome, endoplasmic reticulum membrane, mitochondrial outer membrane, mitochondrial permeability transition pore complex, cytosol, nucleus, BAX complex"
"3437";3437;"Q07889";"Q07889";"SOS1_HUMAN";"6654";"SOS1";"Son of sevenless homolog 1";"SOS1";NA;0;1;1;20;18;22;"19";"1.41";"0.07";22;20;42;"21";"1.41";"0.07";"0.16";"0.15";"0.18";"0.15";"0.01";"0.07";22;42;"0.18";"postsynaptic density, cytosol, neuronal cell body, plasma membrane"
"3439";3439;"Q07954";"Q07954";"LRP1_HUMAN";"4035";"LRP1";"Prolow-density lipoprotein receptor-related protein 1";"LRP1,APR,A2MR";NA;0;1;1;3;0;3;"1.5";"2.12";"1.41";4;0;4;"2";"2.83";"1.41";"0.01";"0";"0.01";"0";"0";"1.41";3;4;"0.01";"endocytic vesicle membrane, coated pit, receptor complex, dendrite, lysosomal membrane, clathrin-coated vesicle, endosome, nucleus, neuronal cell body, integral component of plasma membrane"
"3441";3441;"Q07960";"Q07960";"RHG01_HUMAN";"392";"ARHGAP1";"Rho GTPase-activating protein 1";"ARHGAP1,CDC42GAP,RHOGAP1";NA;0;1;1;17;18;18;"17.5";"0.71";"0.04";43;40;83;"41.5";"2.12";"0.05";"0.41";"0.43";"0.43";"0.42";"0.01";"0.02";18;83;"0.43";"intracellular membrane-bounded organelle, ruffle, extracellular vesicular exosome, cytosol, plasma membrane"
"3448";3448;"Q08257";"Q08257-1";"QOR_HUMAN";"1429";"CRYZ";"Quinone oxidoreductase";"CRYZ";NA;0;2;1;13;13;13;"13";"0";"0";25;27;52;"26";"1.41";"0.05";"0.55";"0.55";"0.55";"0.55";"0";"0";13;52;"0.55";"Golgi apparatus, cytosol, extracellular vesicular exosome"
"3449";3449;"Q08357";"Q08357";"S20A2_HUMAN";"6575";"SLC20A2";"Sodium-dependent phosphate transporter 2";"SLC20A2,GLVR2,PIT2";NA;0;1;1;5;5;5;"5";"0";"0";5;5;10;"5";"0";"0";"0.11";"0.11";"0.11";"0.11";"0";"0";5;10;"0.11";"integral component of plasma membrane, extracellular vesicular exosome"
"3452";3452;"Q08380";"Q08380";"LG3BP_HUMAN";"3959";"LGALS3BP";"Galectin-3-binding protein";"LGALS3BP,M2BP";NA;0;1;1;0;4;4;"2";"2.83";"1.41";0;4;4;"2";"2.83";"1.41";"0";"0.07";"0.07";"0.04";"0.05";"1.41";4;4;"0.07";"membrane, blood microparticle, extracellular vesicular exosome, proteinaceous extracellular matrix"
"3453";3453;"Q08431";"Q08431-1";"MFGM_HUMAN";"4240";"MFGE8";"Lactadherin";"MFGE8";NA;0;3;1;14;12;15;"13";"1.41";"0.11";27;23;50;"25";"2.83";"0.11";"0.52";"0.43";"0.55";"0.48";"0.06";"0.13";15;50;"0.55";"extracellular space, extrinsic component of plasma membrane, extracellular vesicular exosome, external side of plasma membrane"
"3454";3454;"Q08462";"Q08462";"ADCY2_HUMAN";"108";"ADCY2";"Adenylate cyclase type 2";"ADCY2,KIAA1060";NA;0;1;1;2;0;2;"1";"1.41";"1.41";2;0;2;"1";"1.41";"1.41";"0.02";"0";"0.02";"0.01";"0.02";"1.41";2;2;"0.02";"plasma membrane, protein complex, dendrite, integral component of membrane, membrane raft, cytoplasm"
"3455";3455;"Q08493";"Q08493-1";"PDE4C_HUMAN";"5143";"PDE4C";"cAMP-specific 3',5'-cyclic phosphodiesterase 4C";"PDE4C,DPDE1";NA;0;3;3;3;0;3;"1.5";"2.12";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.03";"0";"0.03";"0.02";"0.02";"1.41";3;3;"0.03";"primary cilium, extracellular space, cytosol"
"3457";3457;"Q08499";"Q08499-6";"PDE4D_HUMAN";"5144";"PDE4D";"cAMP-specific 3',5'-cyclic phosphodiesterase 4D";"PDE4D,DPDE3";NA;0;12;1;7;9;11;"8";"1.41";"0.18";7;10;17;"8.5";"2.12";"0.25";"0.1";"0.12";"0.14";"0.11";"0.01";"0.11";11;17;"0.14";"membrane, microtubule organizing center, calcium channel complex, apical plasma membrane, cytosol, voltage-gated calcium channel complex"
"3458";3458;"Q08554";"Q08554-2";"DSC1_HUMAN";"1823";"DSC1";"Desmocollin-1";"DSC1,CDHF1";NA;0;1;1;3;0;3;"1.5";"2.12";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.03";"0";"0.03";"0.01";"0.02";"1.41";3;3;"0.03";"integral component of membrane, membrane, gap junction, plasma membrane, desmosome"
"3459";3459;"Q08722";"Q08722-1";"CD47_HUMAN";"961";"CD47";"Leukocyte surface antigen CD47";"CD47,MER6";NA;0;4;1;4;5;5;"4.5";"0.71";"0.16";6;7;13;"6.5";"0.71";"0.11";"0.11";"0.14";"0.14";"0.13";"0.02";"0.16";5;13;"0.14";"extracellular vesicular exosome, integral component of plasma membrane"
"3462";3462;"Q08999";"Q08999";"RBL2_HUMAN";"5934";"RBL2";"Retinoblastoma-like protein 2";"RBL2,RB2";NA;0;1;1;5;3;8;"4";"1.41";"0.35";6;4;10;"5";"1.41";"0.28";"0.05";"0.03";"0.08";"0.04";"0.02";"0.49";8;10;"0.08";"transcription factor complex, cytoplasm, nucleolus, extracellular vesicular exosome, nucleoplasm"
"3464";3464;"Q08AE8";"Q08AE8-1";"SPIR1_HUMAN";"56907";"SPIRE1";"Protein spire homolog 1";"SPIRE1,SPIR1,KIAA1135";NA;0;4;2;8;10;13;"9";"1.41";"0.16";9;11;20;"10";"1.41";"0.14";"0.12";"0.17";"0.21";"0.14";"0.04";"0.26";13;20;"0.21";"cytoplasmic vesicle membrane, Golgi apparatus, plasma membrane, cytoskeleton, cell cortex, perinuclear region of cytoplasm"
"3471";3471;"Q09160";"Q09160";"1A80_HUMAN";NA;"HLA-A";"HLA class I histocompatibility antigen, A-80 alpha chain";"HLA-A,HLAA";NA;0;1;1;8;6;8;"7";"1.41";"0.2";48;46;94;"47";"1.41";"0.03";"0.26";"0.21";"0.26";"0.24";"0.03";"0.15";8;94;"0.26";"ER to Golgi transport vesicle membrane, MHC class I protein complex, phagocytic vesicle membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, integral component of plasma membrane, early endosome membrane"
"3475";3475;"Q09666";"Q09666";"AHNK_HUMAN";"79026";"AHNAK";"Neuroblast differentiation-associated protein AHNAK";"AHNAK,PM227";NA;0;1;1;213;214;233;"213.5";"0.71";"0";321;333;654;"327";"8.49";"0.03";"0.62";"0.62";"0.65";"0.62";"0";"0";233;654;"0.65";"cell-cell contact zone, actin cytoskeleton, nucleus, extracellular vesicular exosome, T-tubule, lysosomal membrane, costamere, cytosol"
"3479";3479;"Q0JRZ9";"Q0JRZ9-1";"FCHO2_HUMAN";"115548";"FCHO2";"FCH domain only protein 2";"FCHO2";NA;0;2;1;10;9;10;"9.5";"0.71";"0.07";11;10;21;"10.5";"0.71";"0.07";"0.18";"0.16";"0.18";"0.17";"0.01";"0.07";10;21;"0.18";"coated pit, clathrin-coated vesicle, plasma membrane"
"3480";3480;"Q0P651";"Q0P651-1";"CD029_HUMAN";"80167";"C4orf29";"Uncharacterized protein C4orf29";"C4orf29";NA;0;4;1;4;3;4;"3.5";"0.71";"0.2";5;3;8;"4";"1.41";"0.35";"0.07";"0.06";"0.07";"0.07";"0.01";"0.18";4;8;"0.07";"extracellular region"
"3484";3484;"Q0VAQ4";"Q0VAQ4";"SMAGP_HUMAN";"57228";"SMAGP";"Small cell adhesion glycoprotein";"SMAGP";NA;0;1;1;2;2;2;"2";"0";"0";3;3;6;"3";"0";"0";"0.35";"0.35";"0.35";"0.35";"0";"0";2;6;"0.35";"cell junction, nucleus, cytoplasmic vesicle membrane, plasma membrane, integral component of membrane"
"3485";3485;"Q0VD83";"Q0VD83-1";"APOBR_HUMAN";NA;"APOBR";"Apolipoprotein B receptor";"APOBR,APOB48R";NA;0;3;1;20;17;21;"18.5";"2.12";"0.11";35;27;62;"31";"5.66";"0.18";"0.28";"0.24";"0.29";"0.26";"0.03";"0.11";21;62;"0.29";"low-density lipoprotein particle, chylomicron, very-low-density lipoprotein particle, plasma membrane"
"3495";3495;"Q10471";"Q10471";"GALT2_HUMAN";"2590";"GALNT2";"Polypeptide N-acetylgalactosaminyltransferase 2";"GALNT2";NA;0;1;1;26;26;28;"26";"0";"0";41;38;79;"39.5";"2.12";"0.05";"0.5";"0.49";"0.54";"0.5";"0.01";"0.01";28;79;"0.54";"Golgi cisterna membrane, perinuclear region of cytoplasm, extracellular region, integral component of Golgi membrane, Golgi stack"
"3496";3496;"Q10472";"Q10472-1";"GALT1_HUMAN";"2589";"GALNT1";"Polypeptide N-acetylgalactosaminyltransferase 1";"GALNT1";NA;0;2;1;16;14;16;"15";"1.41";"0.09";22;20;42;"21";"1.41";"0.07";"0.31";"0.27";"0.31";"0.29";"0.03";"0.1";16;42;"0.31";"perinuclear region of cytoplasm, extracellular region, integral component of membrane, Golgi membrane, Golgi cisterna membrane"
"3499";3499;"Q10588";"Q10588";"BST1_HUMAN";"683";"BST1";"ADP-ribosyl cyclase 2";"BST1";NA;0;1;1;3;6;7;"4.5";"2.12";"0.47";5;10;15;"7.5";"3.54";"0.47";"0.11";"0.25";"0.27";"0.18";"0.1";"0.54";7;15;"0.27";"extrinsic component of membrane, plasma membrane, anchored component of membrane"
"3500";3500;"Q10589";"Q10589";"BST2_HUMAN";"684";"BST2";"Bone marrow stromal antigen 2";"BST2";NA;0;1;1;5;5;5;"5";"0";"0";7;7;14;"7";"0";"0";"0.22";"0.22";"0.22";"0.22";"0";"0";5;14;"0.22";"extracellular vesicular exosome, membrane raft, Golgi apparatus, late endosome, apical plasma membrane, integral component of plasma membrane, anchored component of membrane, cell surface"
"3501";3501;"Q10713";"Q10713";"MPPA_HUMAN";"23203";"PMPCA";"Mitochondrial-processing peptidase subunit alpha";"PMPCA,KIAA0123,MPPA,INPP5E";NA;0;1;1;19;19;20;"19";"0";"0";36;29;65;"32.5";"4.95";"0.15";"0.41";"0.4";"0.43";"0.41";"0.01";"0.01";20;65;"0.43";"mitochondrial inner membrane, extracellular space, mitochondrial matrix"
"3502";3502;"Q11201";"Q11201";"SIA4A_HUMAN";"6482";"ST3GAL1";"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1";"ST3GAL1,SIAT4,SIAT4A";NA;0;1;1;1;3;3;"2";"1.41";"0.71";2;4;6;"3";"1.41";"0.47";"0.04";"0.12";"0.12";"0.08";"0.06";"0.76";3;6;"0.12";"Golgi cisterna membrane, Golgi membrane, extracellular vesicular exosome, integral component of Golgi membrane"
"3503";3503;"Q11206";"Q11206-1";"SIA4C_HUMAN";"6484";"ST3GAL4";"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4";"ST3GAL4,NANTA3,SIAT4C,CGS23,STZ";NA;0;5;5;10;9;11;"9.5";"0.71";"0.07";12;9;21;"10.5";"2.12";"0.2";"0.31";"0.29";"0.35";"0.3";"0.01";"0.04";11;21;"0.35";"integral component of Golgi membrane, extracellular region, Golgi membrane, Golgi cisterna membrane"
"3515";3515;"Q12797";"Q12797-1";"ASPH_HUMAN";"444";"ASPH";"Aspartyl/asparaginyl beta-hydroxylase";"ASPH";NA;0;2;1;20;19;21;"19.5";"0.71";"0.04";27;25;52;"26";"1.41";"0.05";"0.29";"0.29";"0.3";"0.29";"0";"0.01";21;52;"0.3";"cortical endoplasmic reticulum, junctional sarcoplasmic reticulum membrane, sarcoplasmic reticulum lumen, plasma membrane, integral component of endoplasmic reticulum membrane, integral component of membrane, calcium channel complex, endoplasmic reticulum membrane"
"3516";3516;"Q12797";"Q12797-3";"ASPH_HUMAN";"444";"ASPH";"Aspartyl/asparaginyl beta-hydroxylase";"ASPH";NA;0;2;2;1;2;2;"1.5";"0.71";"0.47";1;2;3;"1.5";"0.71";"0.47";"0.08";"0.11";"0.11";"0.09";"0.02";"0.2";2;3;"0.11";"cortical endoplasmic reticulum, junctional sarcoplasmic reticulum membrane, sarcoplasmic reticulum lumen, plasma membrane, integral component of endoplasmic reticulum membrane, integral component of membrane, calcium channel complex, endoplasmic reticulum membrane"
"3521";3521;"Q12816";"Q12816-1";"TROP_HUMAN";"7216";"TRO";"Trophinin";"TRO,KIAA1114,MAGED3";NA;0;2;2;4;2;4;"3";"1.41";"0.47";4;2;6;"3";"1.41";"0.47";"0.02";"0.01";"0.02";"0.02";"0";"0.27";4;6;"0.02";"integral component of plasma membrane, nucleus, cytoplasm"
"3527";3527;"Q12841";"Q12841";"FSTL1_HUMAN";"11167";"FSTL1";"Follistatin-related protein 1";"FSTL1,FRP";NA;0;1;1;7;6;7;"6.5";"0.71";"0.11";8;6;14;"7";"1.41";"0.2";"0.28";"0.22";"0.28";"0.25";"0.05";"0.18";7;14;"0.28";"extracellular space"
"3528";3528;"Q12846";"Q12846";"STX4_HUMAN";"6810";"STX4";"Syntaxin-4";"STX4,STX4A";NA;0;1;1;9;8;10;"8.5";"0.71";"0.08";17;16;33;"16.5";"0.71";"0.04";"0.36";"0.35";"0.41";"0.35";"0.01";"0.03";10;33;"0.41";"basolateral plasma membrane, integral component of membrane, specific granule, perinuclear region of cytoplasm, cell surface, trans-Golgi network, vacuole, myelin sheath adaxonal region, SNARE complex, cytosol, lateral loop, extracellular vesicular exosome"
"3530";3530;"Q12851";"Q12851";"M4K2_HUMAN";"5871";"MAP4K2";"Mitogen-activated protein kinase kinase kinase kinase 2";"MAP4K2,GCK,RAB8IP";NA;0;1;1;13;11;14;"12";"1.41";"0.12";20;16;36;"18";"2.83";"0.16";"0.2";"0.15";"0.21";"0.17";"0.04";"0.22";14;36;"0.21";"Golgi membrane, basolateral plasma membrane"
"3531";3531;"Q12866";"Q12866";"MERTK_HUMAN";"10461";"MERTK";"Tyrosine-protein kinase Mer";"MERTK,MER";NA;0;1;1;5;5;6;"5";"0";"0";7;6;13;"6.5";"0.71";"0.11";"0.06";"0.06";"0.07";"0.06";"0";"0.05";6;13;"0.07";"integral component of plasma membrane, rhabdomere, extracellular space, cytoplasm, photoreceptor outer segment"
"3535";3535;"Q12879";"Q12879";"NMDE1_HUMAN";"2903";"GRIN2A";"Glutamate [NMDA] receptor subunit epsilon-1";"GRIN2A,NMDAR2A";NA;0;1;1;2;0;2;"1";"1.41";"1.41";2;0;2;"1";"1.41";"1.41";"0.02";"0";"0.02";"0.01";"0.01";"1.41";2;2;"0.02";"cell surface, postsynaptic membrane, endoplasmic reticulum, presynaptic membrane, cell junction, neuronal postsynaptic density, synaptic vesicle, N-methyl-D-aspartate selective glutamate receptor complex"
"3541";3541;"Q12904";"Q12904-1";"AIMP1_HUMAN";"9255";"AIMP1";"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1";"AIMP1,EMAP2,SCYE1";NA;0;2;2;18;15;18;"16.5";"2.12";"0.13";45;45;90;"45";"0";"0";"0.72";"0.57";"0.72";"0.65";"0.11";"0.17";18;90;"0.72";"transport vesicle, cell surface, aminoacyl-tRNA synthetase multienzyme complex, nucleus, Golgi apparatus, cytosol, endoplasmic reticulum, extracellular space"
"3545";3545;"Q12907";"Q12907";"LMAN2_HUMAN";"10960";"LMAN2";"Vesicular integral-membrane protein VIP36";"LMAN2,C5orf8";NA;0;1;1;11;13;13;"12";"1.41";"0.12";27;30;57;"28.5";"2.12";"0.07";"0.41";"0.46";"0.46";"0.44";"0.04";"0.09";13;57;"0.46";"integral component of membrane, endoplasmic reticulum-Golgi intermediate compartment, Golgi membrane, extracellular vesicular exosome, endoplasmic reticulum-Golgi intermediate compartment membrane, endoplasmic reticulum membrane"
"3546";3546;"Q12912";"Q12912-1";"LRMP_HUMAN";"4033";"LRMP";"Lymphoid-restricted membrane protein";"LRMP,JAW1";NA;0;2;2;11;13;15;"12";"1.41";"0.12";14;17;31;"15.5";"2.12";"0.14";"0.21";"0.3";"0.32";"0.25";"0.06";"0.26";15;31;"0.32";"integral component of plasma membrane, integral component of endoplasmic reticulum membrane, endoplasmic reticulum membrane"
"3547";3547;"Q12913";"Q12913-1";"PTPRJ_HUMAN";"5795";"PTPRJ";"Receptor-type tyrosine-protein phosphatase eta";"PTPRJ,DEP1";NA;0;2;1;11;11;14;"11";"0";"0";11;11;22;"11";"0";"0";"0.11";"0.1";"0.14";"0.11";"0.01";"0.07";14;22;"0.14";"cell surface, ruffle membrane, extracellular vesicular exosome, integral component of plasma membrane, cell-cell junction, immunological synapse"
"3548";3548;"Q12923";"Q12923-1";"PTN13_HUMAN";"5783";"PTPN13";"Tyrosine-protein phosphatase non-receptor type 13";"PTPN13,PTPL1,PTP1E,PNP1";NA;0;4;4;8;8;12;"8";"0";"0";9;10;19;"9.5";"0.71";"0.07";"0.05";"0.05";"0.08";"0.05";"0";"0.01";12;19;"0.08";"nucleus, lamellipodium, cytoplasm, cytoskeleton, extracellular vesicular exosome, neuron projection, plasma membrane, cell body"
"3549";3549;"Q12929";"Q12929";"EPS8_HUMAN";"2059";"EPS8";"Epidermal growth factor receptor kinase substrate 8";"EPS8";NA;0;1;1;23;17;23;"20";"4.24";"0.21";28;21;49;"24.5";"4.95";"0.2";"0.36";"0.29";"0.36";"0.33";"0.05";"0.15";23;49;"0.36";"N-methyl-D-aspartate selective glutamate receptor complex, extracellular vesicular exosome, growth cone, postsynaptic density, ruffle membrane, stereocilium, cell cortex"
"3551";3551;"Q12933";"Q12933-1";"TRAF2_HUMAN";"7186";"TRAF2";"TNF receptor-associated factor 2";"TRAF2,TRAP3";NA;0;4;3;15;17;18;"16";"1.41";"0.09";24;27;51;"25.5";"2.12";"0.08";"0.3";"0.33";"0.33";"0.31";"0.02";"0.07";18;51;"0.33";"membrane raft, cytoplasmic side of plasma membrane, cytosol, cell cortex, CD40 receptor complex"
"3553";3553;"Q12955";"Q12955";"ANK3_HUMAN";"288";"ANK3";"Ankyrin-3";"ANK3";NA;0;1;1;4;6;7;"5";"1.41";"0.28";7;8;15;"7.5";"0.71";"0.09";"0.01";"0.02";"0.02";"0.01";"0";"0.3";7;15;"0.02";"node of Ranvier, basolateral plasma membrane, neuromuscular junction, dendrite, spectrin-associated cytoskeleton, cell surface, paranode region of axon, Z disc, sarcoplasmic reticulum, intercalated disc, lysosome, lateral plasma membrane, postsynaptic membrane, axon initial segment, costamere, T-tubule"
"3554";3554;"Q12959";"Q12959-2";"DLG1_HUMAN";"1739";"DLG1";"Disks large homolog 1";"DLG1";NA;0;11;2;20;17;21;"18.5";"2.12";"0.11";23;22;45;"22.5";"0.71";"0.03";"0.27";"0.24";"0.29";"0.26";"0.02";"0.09";21;45;"0.29";"perinuclear region of cytoplasm, node of Ranvier, nucleus, endoplasmic reticulum, neuromuscular junction, postsynaptic density, postsynaptic membrane, extracellular vesicular exosome, intercalated disc, MPP7-DLG1-LIN7 complex, cytoplasmic side of plasma membrane, basolateral plasma membrane, immunological synapse, cell projection membrane, cytosol, myelin sheath abaxonal region, lateral loop, microtubule, endoplasmic reticulum membrane, tight junction, membrane raft, Golgi apparatus, sarcolemma, lateral plasma membrane"
"3556";3556;"Q12965";"Q12965";"MYO1E_HUMAN";"4643";"MYO1E";"Unconventional myosin-Ie";"MYO1E,MYO1C";NA;0;1;1;10;8;11;"9";"1.41";"0.16";14;10;24;"12";"2.83";"0.24";"0.08";"0.07";"0.09";"0.08";"0";"0.03";11;24;"0.09";"adherens junction, myosin complex, cell-cell junction, clathrin-coated vesicle, cytoplasm, extracellular vesicular exosome"
"3557";3557;"Q12968";"Q12968-5";"NFAC3_HUMAN";"4775";"NFATC3";"Nuclear factor of activated T-cells, cytoplasmic 3";"NFATC3,NFAT4";NA;0;1;1;10;11;12;"10.5";"0.71";"0.07";12;13;25;"12.5";"0.71";"0.06";"0.16";"0.19";"0.19";"0.17";"0.02";"0.1";12;25;"0.19";"cytosol, nucleolus, plasma membrane, nucleoplasm"
"3558";3558;"Q12968";"Q12968-1";"NFAC3_HUMAN";"4775";"NFATC3";"Nuclear factor of activated T-cells, cytoplasmic 3";"NFATC3,NFAT4";NA;0;5;1;11;12;13;"11.5";"0.71";"0.06";14;15;29;"14.5";"0.71";"0.05";"0.12";"0.14";"0.14";"0.13";"0.02";"0.12";13;29;"0.14";"cytosol, nucleolus, plasma membrane, nucleoplasm"
"3560";3560;"Q12974";"Q12974-1";"TP4A2_HUMAN";"8073";"PTP4A2";"Protein tyrosine phosphatase type IVA 2";"PTP4A2,PRL2,PTPCAAX2";NA;0;2;1;9;9;9;"9";"0";"0";23;23;46;"23";"0";"0";"0.55";"0.55";"0.55";"0.55";"0";"0";9;46;"0.55";"early endosome, plasma membrane, cytoplasm"
"3561";3561;"Q12979";"Q12979-1";"ABR_HUMAN";"29";"ABR";"Active breakpoint cluster region-related protein";"ABR";NA;0;2;1;26;24;29;"25";"1.41";"0.06";34;37;71;"35.5";"2.12";"0.06";"0.39";"0.35";"0.42";"0.37";"0.02";"0.07";29;71;"0.42";"plasma membrane, cytosol"
"3567";3567;"Q13009";"Q13009";"TIAM1_HUMAN";"7074";"TIAM1";"T-lymphoma invasion and metastasis-inducing protein 1";"TIAM1";NA;0;1;1;4;0;4;"2";"2.83";"1.41";4;0;4;"2";"2.83";"1.41";"0.03";"0";"0.03";"0.02";"0.02";"1.41";4;4;"0.03";"cell-cell contact zone, extrinsic component of cytoplasmic side of plasma membrane, cytosol"
"3568";3568;"Q13011";"Q13011";"ECH1_HUMAN";"1891";"ECH1";"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial";"ECH1";NA;0;1;1;11;12;12;"11.5";"0.71";"0.06";51;38;89;"44.5";"9.19";"0.21";"0.37";"0.4";"0.4";"0.38";"0.02";"0.05";12;89;"0.4";"mitochondrion, peroxisome, extracellular vesicular exosome"
"3572";3572;"Q13033";"Q13033-2";"STRN3_HUMAN";"29966";"STRN3";"Striatin-3";"STRN3,GS2NA,SG2NA";NA;0;2;1;16;14;16;"15";"1.41";"0.09";18;14;32;"16";"2.83";"0.18";"0.29";"0.28";"0.29";"0.28";"0.01";"0.02";16;32;"0.29";"plasma membrane, dendrite, neuronal cell body, protein complex, Golgi apparatus, nucleoplasm, nucleus, cytoplasm"
