Group;AC;ID;Entrez_ID;Gene_symbol;Descr;SP_GN;Entrez_GN;Non_spec_binder;Group_size;Specific_reporter;Pc_P4569-1.merged;Pc_P4569-2.merged;Pc_grp0;Pc_mean_grp0;Pc_sd_grp0;Pc_CV_grp0;Sc_P4569-1.merged;Sc_P4569-2.merged;Sc_grp0;Sc_mean_grp0;Sc_sd_grp0;Sc_CV_grp0;Seqcov_P4569-1.merged;Seqcov_P4569-2.merged;Seqcov_grp0;Seqcov_mean_grp0;Seqcov_sd_grp0;Seqcov_CV_grp0;Glob_pc;Glob_sc;Glob_seqcov
P35236-1;P35236-1;PTN7_HUMAN;5778;PTPN7;Tyrosine-protein phosphatase non-receptor type 7;PTPN7;NA;0;2;2;13;12;13;12.5;0.71;0.06;20;18;38;19;1.41;0.07;0.5;0.45;0.5;0.47;0.04;0.07;13;38;0.5
Q32P44-2;Q32P44-2;EMAL3_HUMAN;256364;EML3;Echinoderm microtubule-associated protein-like 3;EML3;NA;0;1;1;11;8;12;9.5;2.12;0.22;12;8;20;10;2.83;0.28;0.15;0.1;0.16;0.12;0.04;0.31;12;20;0.16
Q6SPF0;Q6SPF0;SAMD1_HUMAN;90378;SAMD1;Atherin;SAMD1;NA;0;1;1;10;11;12;10.5;0.71;0.07;13;14;27;13.5;0.71;0.05;0.21;0.23;0.25;0.22;0.02;0.08;12;27;0.25
Q9BXK5-1;Q9BXK5-1;B2L13_HUMAN;23786;BCL2L13;Bcl-2-like protein 13;BCL2L13,MIL1;NA;0;2;1;10;12;12;11;1.41;0.13;24;23;47;23.5;0.71;0.03;0.29;0.38;0.38;0.34;0.06;0.18;12;47;0.38
Q9BRJ7-1;Q9BRJ7-1;SDOS_HUMAN;84309;NUDT16L1;Protein syndesmos;NUDT16L1,SDOS;NA;0;2;1;11;11;12;11;0;0;21;19;40;20;1.41;0.07;0.58;0.54;0.62;0.56;0.03;0.06;12;40;0.62
Q9ULJ6-1;Q9ULJ6-1;ZMIZ1_HUMAN;57178;ZMIZ1;Zinc finger MIZ domain-containing protein 1;ZMIZ1,KIAA1224,RAI17,ZIMP10;NA;0;2;1;12;11;12;11.5;0.71;0.06;18;15;33;16.5;2.12;0.13;0.12;0.09;0.12;0.11;0.02;0.15;12;33;0.12
P13647;P13647;K2C5_HUMAN;3852;KRT5;Keratin, type II cytoskeletal 5;KRT5;NA;0;1;1;12;9;12;10.5;2.12;0.2;17;13;30;15;2.83;0.19;0.22;0.17;0.22;0.2;0.04;0.18;12;30;0.22
Q6MZP7-1;Q6MZP7-1;LIN54_HUMAN;132660;LIN54;Protein lin-54 homolog;LIN54,CXCDC1,KIAA2037;NA;0;5;1;10;11;12;10.5;0.71;0.07;11;13;24;12;1.41;0.12;0.19;0.21;0.23;0.2;0.01;0.07;12;24;0.23
Q92551-1;Q92551-1;IP6K1_HUMAN;9807;IP6K1;Inositol hexakisphosphate kinase 1;IP6K1,IHPK1,KIAA0263;NA;0;2;1;10;11;12;10.5;0.71;0.07;14;14;28;14;0;0;0.33;0.34;0.41;0.34;0.01;0.02;12;28;0.41
P61604;P61604;CH10_HUMAN;3336;HSPE1;10 kDa heat shock protein, mitochondrial;HSPE1;NA;0;1;1;12;12;12;12;0;0;178;176;354;177;1.41;0.01;0.81;0.81;0.81;0.81;0;0;12;354;0.81
Q9Y448-1;Q9Y448-1;SKAP_HUMAN;90417;SKAP;Small kinetochore-associated protein;SKAP,TRAF4AF1,C15orf23;NA;0;2;1;10;12;12;11;1.41;0.13;16;17;33;16.5;0.71;0.04;0.38;0.43;0.43;0.41;0.04;0.09;12;33;0.43
Q96I15-1;Q96I15-1;SCLY_HUMAN;51540;SCLY;Selenocysteine lyase;SCLY,SCL;NA;0;2;1;11;11;12;11;0;0;16;16;32;16;0;0;0.35;0.34;0.38;0.34;0.01;0.03;12;32;0.38
Q96GD0;Q96GD0;PLPP_HUMAN;57026;PDXP;Pyridoxal phosphate phosphatase;PDXP,PLP,CIN,PLPP;NA;0;1;1;11;12;12;11.5;0.71;0.06;18;16;34;17;1.41;0.08;0.46;0.51;0.51;0.49;0.03;0.07;12;34;0.51
P17026;P17026;ZNF22_HUMAN;7570;ZNF22;Zinc finger protein 22;ZNF22,KOX15,KROX26;NA;0;1;1;12;11;12;11.5;0.71;0.06;21;21;42;21;0;0;0.51;0.49;0.51;0.5;0.02;0.04;12;42;0.51
P04233-2;P04233-2;HG2A_HUMAN;972;CD74;HLA class II histocompatibility antigen gamma chain;CD74,DHLAG;NA;0;1;1;12;11;12;11.5;0.71;0.06;51;45;96;48;4.24;0.09;0.5;0.47;0.5;0.49;0.02;0.05;12;96;0.5
P30447;P30447;1A23_HUMAN;NA;HLA-A;HLA class I histocompatibility antigen, A-23 alpha chain;HLA-A,HLAA;NA;0;1;1;12;10;12;11;1.41;0.13;66;60;126;63;4.24;0.07;0.36;0.33;0.36;0.34;0.03;0.07;12;126;0.36
Q9GZZ9-1;Q9GZZ9-1;UBA5_HUMAN;79876;UBA5;Ubiquitin-like modifier-activating enzyme 5;UBA5,UBE1DC1;NA;0;2;1;10;10;12;10;0;0;17;17;34;17;0;0;0.34;0.29;0.36;0.32;0.04;0.11;12;34;0.36
Q96FK6;Q96FK6;WDR89_HUMAN;112840;WDR89;WD repeat-containing protein 89;WDR89,C14orf150;NA;0;1;1;10;12;12;11;1.41;0.13;13;15;28;14;1.41;0.1;0.32;0.38;0.38;0.35;0.04;0.12;12;28;0.38
Q16543;Q16543;CDC37_HUMAN;11140;CDC37;Hsp90 co-chaperone Cdc37;CDC37,CDC37A;NA;0;1;1;11;11;12;11;0;0;43;42;85;42.5;0.71;0.02;0.34;0.34;0.35;0.34;0;0.01;12;85;0.35
P16070-16;P16070-16;CD44_HUMAN;960;CD44;CD44 antigen;CD44,LHR,MDU2,MIC4,MDU3;NA;0;17;2;11;12;12;11.5;0.71;0.06;32;31;63;31.5;0.71;0.02;0.18;0.21;0.21;0.2;0.02;0.11;12;63;0.21
O15254-1;O15254-1;ACOX3_HUMAN;8310;ACOX3;Peroxisomal acyl-coenzyme A oxidase 3;ACOX3,BRCOX,PRCOX;NA;0;2;1;5;8;12;6.5;2.12;0.33;6;8;14;7;1.41;0.2;0.13;0.18;0.28;0.16;0.04;0.23;12;14;0.28
P0CG39;P0CG39;POTEJ_HUMAN;653781;POTEJ;POTE ankyrin domain family member J;POTEJ;NA;0;1;1;7;11;12;9;2.83;0.31;540;598;1138;569;41.01;0.07;0.1;0.14;0.14;0.12;0.03;0.26;12;1138;0.14
Q86YH6-1;Q86YH6-1;DLP1_HUMAN;57107;PDSS2;Decaprenyl-diphosphate synthase subunit 2;PDSS2,DLP1,C6orf210;NA;0;2;1;10;11;12;10.5;0.71;0.07;16;16;32;16;0;0;0.29;0.32;0.35;0.3;0.02;0.06;12;32;0.35
Q9Y296;Q9Y296;TPPC4_HUMAN;51399;TRAPPC4;Trafficking protein particle complex subunit 4;TRAPPC4,SBDN;NA;0;1;1;11;11;12;11;0;0;17;16;33;16.5;0.71;0.04;0.53;0.48;0.53;0.51;0.04;0.07;12;33;0.53
P29372-1;P29372-1;3MG_HUMAN;4350;MPG;DNA-3-methyladenine glycosylase;MPG,MID1,ANPG,AAG;NA;0;2;2;11;11;12;11;0;0;16;16;32;16;0;0;0.48;0.49;0.52;0.49;0.01;0.01;12;32;0.52
Q96JN8-1;Q96JN8-1;NEUL4_HUMAN;84461;NEURL4;Neuralized-like protein 4;NEURL4,KIAA1787;NA;0;2;2;10;11;12;10.5;0.71;0.07;11;12;23;11.5;0.71;0.06;0.09;0.1;0.11;0.09;0.01;0.06;12;23;0.11
P41743;P41743;KPCI_HUMAN;5584;PRKCI;Protein kinase C iota type;PRKCI,DXS1179E;NA;0;1;1;12;10;12;11;1.41;0.13;20;21;41;20.5;0.71;0.03;0.3;0.24;0.3;0.27;0.04;0.15;12;41;0.3
Q9BRT9-1;Q9BRT9-1;SLD5_HUMAN;84296;GINS4;DNA replication complex GINS protein SLD5;GINS4,SLD5;NA;0;2;1;12;12;12;12;0;0;19;21;40;20;1.41;0.07;0.56;0.56;0.56;0.56;0;0;12;40;0.56
Q8IV48;Q8IV48;ERI1_HUMAN;90459;ERI1;3'-5' exoribonuclease 1;ERI1,3'EXO,THEX1;NA;0;1;1;12;11;12;11.5;0.71;0.06;19;19;38;19;0;0;0.32;0.3;0.32;0.31;0.01;0.05;12;38;0.32
Q16720-1;Q16720-1;AT2B3_HUMAN;492;ATP2B3;Plasma membrane calcium-transporting ATPase 3;ATP2B3;NA;0;8;8;10;10;12;10;0;0;14;13;27;13.5;0.71;0.05;0.1;0.1;0.11;0.1;0;0.05;12;27;0.11
Q9UBX3-1;Q9UBX3-1;DIC_HUMAN;1468;SLC25A10;Mitochondrial dicarboxylate carrier;SLC25A10,DIC;NA;0;2;2;10;10;12;10;0;0;17;13;30;15;2.83;0.19;0.47;0.32;0.48;0.4;0.11;0.27;12;30;0.48
Q9UHB4-1;Q9UHB4-1;NDOR1_HUMAN;27158;NDOR1;NADPH-dependent diflavin oxidoreductase 1;NDOR1,NR1;NA;0;2;2;9;8;12;8.5;0.71;0.08;10;9;19;9.5;0.71;0.07;0.22;0.17;0.27;0.2;0.04;0.21;12;19;0.27
Q9BUR4;Q9BUR4;WAP53_HUMAN;55135;WRAP53;Telomerase Cajal body protein 1;WRAP53,WDR79,TCAB1;NA;0;1;1;11;8;12;9.5;2.12;0.22;12;9;21;10.5;2.12;0.2;0.36;0.2;0.39;0.28;0.12;0.42;12;21;0.39
Q14847-1;Q14847-1;LASP1_HUMAN;3927;LASP1;LIM and SH3 domain protein 1;LASP1,MLN50;NA;0;2;1;12;12;12;12;0;0;24;25;49;24.5;0.71;0.03;0.45;0.45;0.45;0.45;0;0;12;49;0.45
Q99442;Q99442;SEC62_HUMAN;7095;SEC62;Translocation protein SEC62;SEC62,TLOC1;NA;0;1;1;10;9;12;9.5;0.71;0.07;14;14;28;14;0;0;0.27;0.19;0.3;0.23;0.05;0.23;12;28;0.3
Q12981-4;Q12981-4;SEC20_HUMAN;662;BNIP1;Vesicle transport protein SEC20;BNIP1,SEC20L,NIP1;NA;0;4;1;9;12;12;10.5;2.12;0.2;12;16;28;14;2.83;0.2;0.5;0.6;0.6;0.55;0.07;0.13;12;28;0.6
Q9NVH0;Q9NVH0;EXD2_HUMAN;55218;EXD2;Exonuclease 3'-5' domain-containing protein 2;EXD2,EXDL2,C14orf114;NA;0;1;1;11;7;12;9;2.83;0.31;12;8;20;10;2.83;0.28;0.21;0.13;0.23;0.17;0.05;0.32;12;20;0.23
P56524;P56524;HDAC4_HUMAN;9759;HDAC4;Histone deacetylase 4;HDAC4,KIAA0288;NA;0;1;1;8;9;12;8.5;0.71;0.08;11;9;20;10;1.41;0.14;0.07;0.09;0.12;0.08;0.01;0.16;12;20;0.12
Q6XZF7-1;Q6XZF7-1;DNMBP_HUMAN;23268;DNMBP;Dynamin-binding protein;DNMBP,KIAA1010;NA;0;2;1;10;6;12;8;2.83;0.35;11;6;17;8.5;3.54;0.42;0.07;0.04;0.08;0.05;0.02;0.35;12;17;0.08
Q8N2G8-2;Q8N2G8-2;GHDC_HUMAN;84514;GHDC;GH3 domain-containing protein;GHDC,LGP1,D11LGP1E;NA;0;1;1;12;11;12;11.5;0.71;0.06;16;15;31;15.5;0.71;0.05;0.25;0.24;0.25;0.24;0.01;0.04;12;31;0.25
O15382-1;O15382-1;BCAT2_HUMAN;587;BCAT2;Branched-chain-amino-acid aminotransferase, mitochondrial;BCAT2,BCATM,ECA40,BCT2;NA;0;2;1;12;12;12;12;0;0;20;22;42;21;1.41;0.07;0.38;0.38;0.38;0.38;0;0;12;42;0.38
Q96ER3;Q96ER3;SAAL1_HUMAN;113174;SAAL1;Protein SAAL1;SAAL1;NA;0;1;1;11;10;12;10.5;0.71;0.07;20;17;37;18.5;2.12;0.11;0.27;0.24;0.27;0.25;0.02;0.08;12;37;0.27
Q71DI3;Q71DI3;H32_HUMAN;653604,333932,126961;HIST2H3D;Histone H3.2;HIST2H3A,HIST2H3C,HIST2H3D,H3F2,H3FM;NA;0;1;1;9;12;12;10.5;2.12;0.2;393;375;768;384;12.73;0.03;0.6;0.67;0.67;0.63;0.05;0.08;12;768;0.67
O14607-1;O14607-1;UTY_HUMAN;7404;UTY;Histone demethylase UTY;UTY;NA;0;3;1;7;11;12;9;2.83;0.31;8;13;21;10.5;3.54;0.34;0.06;0.09;0.09;0.07;0.02;0.27;12;21;0.09
Q6NW34-1;Q6NW34-1;CC017_HUMAN;25871;C3orf17;Uncharacterized protein C3orf17;C3orf17;NA;0;2;1;9;12;12;10.5;2.12;0.2;11;13;24;12;1.41;0.12;0.17;0.22;0.22;0.2;0.04;0.18;12;24;0.22
P15056;P15056;BRAF_HUMAN;673;BRAF;Serine/threonine-protein kinase B-raf;BRAF,BRAF1,RAFB1;NA;0;1;1;10;9;12;9.5;0.71;0.07;13;11;24;12;1.41;0.12;0.12;0.11;0.14;0.12;0.01;0.08;12;24;0.14
Q01484-4;Q01484-4;ANK2_HUMAN;287;ANK2;Ankyrin-2;ANK2;NA;0;3;1;9;7;12;8;1.41;0.18;10;9;19;9.5;0.71;0.07;0.03;0.01;0.03;0.02;0.01;0.45;12;19;0.03
O75391;O75391;SPAG7_HUMAN;9552;SPAG7;Sperm-associated antigen 7;SPAG7;NA;0;1;1;11;12;12;11.5;0.71;0.06;17;18;35;17.5;0.71;0.04;0.4;0.44;0.44;0.42;0.03;0.07;12;35;0.44
Q13322-1;Q13322-1;GRB10_HUMAN;2887;GRB10;Growth factor receptor-bound protein 10;GRB10,GRBIR,KIAA0207;NA;0;4;3;11;8;12;9.5;2.12;0.22;14;12;26;13;1.41;0.11;0.23;0.18;0.24;0.2;0.03;0.16;12;26;0.24
Q9Y3B8-1;Q9Y3B8-1;ORN_HUMAN;25996;REXO2;Oligoribonuclease, mitochondrial;REXO2,SMFN,SFN;NA;0;1;1;10;12;12;11;1.41;0.13;20;20;40;20;0;0;0.45;0.49;0.49;0.47;0.03;0.06;12;40;0.49
Q9Y3M8-1;Q9Y3M8-1;STA13_HUMAN;90627;STARD13;StAR-related lipid transfer protein 13;STARD13,DLC2,GT650;NA;0;5;4;10;5;12;7.5;3.54;0.47;13;5;18;9;5.66;0.63;0.1;0.06;0.13;0.08;0.03;0.33;12;18;0.13
Q9UER7-1;Q9UER7-1;DAXX_HUMAN;1616;DAXX;Death domain-associated protein 6;DAXX,DAP6,BING2;NA;0;2;1;10;10;12;10;0;0;12;14;26;13;1.41;0.11;0.23;0.22;0.25;0.22;0;0.02;12;26;0.25
Q8N655;Q8N655;CJ012_HUMAN;26148;C10orf12;Uncharacterized protein C10orf12;C10orf12;NA;0;1;1;9;9;12;9;0;0;10;10;20;10;0;0;0.1;0.09;0.13;0.09;0.01;0.08;12;20;0.13
Q9HBI1-1;Q9HBI1-1;PARVB_HUMAN;29780;PARVB;Beta-parvin;PARVB;NA;0;2;1;10;9;12;9.5;0.71;0.07;14;12;26;13;1.41;0.11;0.37;0.3;0.4;0.33;0.05;0.16;12;26;0.4
Q8WZA0;Q8WZA0;LZIC_HUMAN;84328;LZIC;Protein LZIC;LZIC;NA;0;1;1;11;11;12;11;0;0;14;16;30;15;1.41;0.09;0.4;0.37;0.41;0.39;0.02;0.05;12;30;0.41
P54753;P54753;EPHB3_HUMAN;2049;EPHB3;Ephrin type-B receptor 3;EPHB3,ETK2,HEK2,TYRO6;NA;0;1;1;11;11;12;11;0;0;14;12;26;13;1.41;0.11;0.13;0.14;0.14;0.13;0;0.04;12;26;0.14
Q9HB90;Q9HB90;RRAGC_HUMAN;64121;RRAGC;Ras-related GTP-binding protein C;RRAGC;NA;0;3;1;10;11;12;10.5;0.71;0.07;22;19;41;20.5;2.12;0.1;0.38;0.34;0.44;0.36;0.03;0.08;12;41;0.44
Q96GJ1-1;Q96GJ1-1;TRM2_HUMAN;79979;TRMT2B;tRNA (uracil(54)-C(5))-methyltransferase homolog;TRMT2B,CXorf34;NA;0;3;1;10;8;12;9;1.41;0.16;10;10;20;10;0;0;0.26;0.22;0.32;0.24;0.03;0.11;12;20;0.32
P33316-3;P33316-3;DUT_HUMAN;1854;DUT;Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial;DUT;NA;0;1;1;12;12;12;12;0;0;98;123;221;110.5;17.68;0.16;0.6;0.6;0.6;0.6;0;0;12;221;0.6
Q9HBH5;Q9HBH5;RDH14_HUMAN;57665;RDH14;Retinol dehydrogenase 14;RDH14,PAN2;NA;0;1;1;12;11;12;11.5;0.71;0.06;13;13;26;13;0;0;0.4;0.36;0.4;0.38;0.02;0.06;12;26;0.4
Q53HL2;Q53HL2;BOREA_HUMAN;55143;CDCA8;Borealin;CDCA8,PESCRG3;NA;0;1;1;12;10;12;11;1.41;0.13;23;20;43;21.5;2.12;0.1;0.5;0.41;0.5;0.46;0.06;0.13;12;43;0.5
Q9UMX0-1;Q9UMX0-1;UBQL1_HUMAN;29979;UBQLN1;Ubiquilin-1;UBQLN1,DA41,PLIC1;NA;0;1;1;12;10;12;11;1.41;0.13;46;48;94;47;1.41;0.03;0.32;0.22;0.32;0.27;0.07;0.26;12;94;0.32
P84095;P84095;RHOG_HUMAN;391;RHOG;Rho-related GTP-binding protein RhoG;RHOG,ARHG;NA;0;3;1;12;11;12;11.5;0.71;0.06;35;34;69;34.5;0.71;0.02;0.72;0.69;0.72;0.7;0.03;0.04;12;69;0.72
Q9NWZ3-1;Q9NWZ3-1;IRAK4_HUMAN;51135;IRAK4;Interleukin-1 receptor-associated kinase 4;IRAK4;NA;0;2;1;9;10;12;9.5;0.71;0.07;10;12;22;11;1.41;0.13;0.25;0.25;0.29;0.25;0;0.01;12;22;0.29
Q9NX46;Q9NX46;ARHL2_HUMAN;54936;ADPRHL2;Poly(ADP-ribose) glycohydrolase ARH3;ADPRHL2,ARH3;NA;0;1;1;11;11;12;11;0;0;19;19;38;19;0;0;0.36;0.39;0.41;0.38;0.02;0.06;12;38;0.41
Q15056-1;Q15056-1;IF4H_HUMAN;7458;EIF4H;Eukaryotic translation initiation factor 4H;EIF4H,WSCR1,WBSCR1,KIAA0038;NA;0;2;1;10;10;12;10;0;0;53;44;97;48.5;6.36;0.13;0.43;0.35;0.49;0.39;0.05;0.14;12;97;0.49
Q9H6D7-1;Q9H6D7-1;HAUS4_HUMAN;54930;HAUS4;HAUS augmin-like complex subunit 4;HAUS4,C14orf94;NA;0;4;1;11;11;12;11;0;0;16;14;30;15;1.41;0.09;0.36;0.37;0.4;0.37;0;0.01;12;30;0.4
Q9C0C4;Q9C0C4;SEM4C_HUMAN;54910;SEMA4C;Semaphorin-4C;SEMA4C,KIAA1739,SEMAI;NA;0;1;1;5;12;12;8.5;4.95;0.58;6;12;18;9;4.24;0.47;0.06;0.17;0.17;0.12;0.08;0.67;12;18;0.17
P36956-1;P36956-1;SRBP1_HUMAN;6720;SREBF1;Sterol regulatory element-binding protein 1;SREBF1,BHLHD1,SREBP1;NA;0;2;2;11;11;12;11;0;0;12;12;24;12;0;0;0.1;0.1;0.11;0.1;0;0.01;12;24;0.11
Q16678;Q16678;CP1B1_HUMAN;1545;CYP1B1;Cytochrome P450 1B1;CYP1B1;NA;0;1;1;9;12;12;10.5;2.12;0.2;10;13;23;11.5;2.12;0.18;0.2;0.27;0.27;0.23;0.05;0.2;12;23;0.27
O00506;O00506;STK25_HUMAN;10494;STK25;Serine/threonine-protein kinase 25;STK25,YSK1,SOK1;NA;0;1;1;11;8;12;9.5;2.12;0.22;20;14;34;17;4.24;0.25;0.24;0.2;0.27;0.22;0.03;0.14;12;34;0.27
Q96BN8;Q96BN8;F105B_HUMAN;90268;FAM105B;Protein FAM105B;FAM105B;NA;0;1;1;10;11;12;10.5;0.71;0.07;14;17;31;15.5;2.12;0.14;0.31;0.37;0.39;0.34;0.04;0.12;12;31;0.39
Q99519;Q99519;NEUR1_HUMAN;4758;NEU1;Sialidase-1;NEU1,NANH;NA;0;1;1;11;12;12;11.5;0.71;0.06;14;15;29;14.5;0.71;0.05;0.29;0.31;0.31;0.3;0.02;0.05;12;29;0.31
Q8IYB3-1;Q8IYB3-1;SRRM1_HUMAN;10250;SRRM1;Serine/arginine repetitive matrix protein 1;SRRM1,SRM160;NA;0;2;2;10;12;12;11;1.41;0.13;24;28;52;26;2.83;0.11;0.14;0.17;0.17;0.16;0.02;0.12;12;52;0.17
P21817-1;P21817-1;RYR1_HUMAN;6261;RYR1;Ryanodine receptor 1;RYR1,RYDR;NA;0;3;3;6;9;12;7.5;2.12;0.28;6;10;16;8;2.83;0.35;0.01;0.02;0.03;0.02;0.01;0.4;12;16;0.03
O95376;O95376;ARI2_HUMAN;10425;ARIH2;E3 ubiquitin-protein ligase ARIH2;ARIH2,ARI2,TRIAD1;NA;0;1;1;12;11;12;11.5;0.71;0.06;20;15;35;17.5;3.54;0.2;0.33;0.3;0.33;0.31;0.02;0.07;12;35;0.33
Q86UD0;Q86UD0;SAPC2_HUMAN;89958;SAPCD2;Suppressor APC domain-containing protein 2;SAPCD2,C9orf140;NA;0;1;1;10;9;12;9.5;0.71;0.07;10;10;20;10;0;0;0.28;0.26;0.33;0.27;0.02;0.06;12;20;0.33
Q96CV9-1;Q96CV9-1;OPTN_HUMAN;10133;OPTN;Optineurin;OPTN,NRP,HIP7,FIP2,HYPL,GLC1E;NA;0;3;2;9;9;12;9;0;0;11;11;22;11;0;0;0.16;0.16;0.21;0.16;0;0.02;12;22;0.21
P10242-1;P10242-1;MYB_HUMAN;4602;MYB;Transcriptional activator Myb;MYB;NA;0;6;3;11;8;12;9.5;2.12;0.22;14;10;24;12;2.83;0.24;0.15;0.13;0.15;0.14;0.01;0.09;12;24;0.15
Q9Y4P8-2;Q9Y4P8-2;WIPI2_HUMAN;26100;WIPI2;WD repeat domain phosphoinositide-interacting protein 2;WIPI2;NA;0;6;2;11;11;12;11;0;0;21;16;37;18.5;3.54;0.19;0.4;0.38;0.44;0.39;0.01;0.02;12;37;0.44
Q8N3D4;Q8N3D4;EH1L1_HUMAN;254102;EHBP1L1;EH domain-binding protein 1-like protein 1;EHBP1L1;NA;0;1;1;11;5;12;8;4.24;0.53;13;6;19;9.5;4.95;0.52;0.08;0.03;0.08;0.05;0.03;0.6;12;19;0.08
Q8NEJ9-1;Q8NEJ9-1;NGDN_HUMAN;25983;NGDN;Neuroguidin;NGDN,C14orf120;NA;0;2;2;12;11;12;11.5;0.71;0.06;13;14;27;13.5;0.71;0.05;0.39;0.35;0.39;0.37;0.03;0.08;12;27;0.39
P62873;P62873;GBB1_HUMAN;2782;GNB1;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;GNB1;NA;0;1;1;12;12;12;12;0;0;102;84;186;93;12.73;0.14;0.51;0.51;0.51;0.51;0;0;12;186;0.51
P16949-1;P16949-1;STMN1_HUMAN;3925;STMN1;Stathmin;STMN1,LAP18,OP18,C1orf215;NA;0;2;1;11;12;12;11.5;0.71;0.06;63;62;125;62.5;0.71;0.01;0.48;0.49;0.49;0.48;0.01;0.02;12;125;0.49
Q9H7N4;Q9H7N4;SFR19_HUMAN;58506;SCAF1;Splicing factor, arginine/serine-rich 19;SCAF1,SRA1,SFRS19;NA;0;1;1;12;11;12;11.5;0.71;0.06;20;18;38;19;1.41;0.07;0.12;0.12;0.12;0.12;0;0.01;12;38;0.12
P55735;P55735;SEC13_HUMAN;6396;SEC13;Protein SEC13 homolog;SEC13,SEC13R,D3S1231E,SEC13L1;NA;0;1;1;12;11;12;11.5;0.71;0.06;29;25;54;27;2.83;0.1;0.41;0.41;0.41;0.41;0;0.01;12;54;0.41
Q9NVX2-1;Q9NVX2-1;NLE1_HUMAN;54475;NLE1;Notchless protein homolog 1;NLE1;NA;0;2;1;11;11;12;11;0;0;16;16;32;16;0;0;0.35;0.32;0.36;0.33;0.02;0.06;12;32;0.36
Q71F23-1;Q71F23-1;CENPU_HUMAN;79682;MLF1IP;Centromere protein U;MLF1IP,KLIP1,PBIP1,ICEN24,CENPU;NA;0;2;1;11;11;12;11;0;0;18;15;33;16.5;2.12;0.13;0.29;0.28;0.29;0.28;0.01;0.02;12;33;0.29
Q5JTD0-2;Q5JTD0-2;TJAP1_HUMAN;93643;TJAP1;Tight junction-associated protein 1;TJAP1,TJP4,PILT;NA;0;3;1;11;10;12;10.5;0.71;0.07;13;11;24;12;1.41;0.12;0.24;0.22;0.26;0.23;0.01;0.06;12;24;0.26
Q9HC52;Q9HC52;CBX8_HUMAN;57332;CBX8;Chromobox protein homolog 8;CBX8,RC1,PC3;NA;0;1;1;11;10;12;10.5;0.71;0.07;14;13;27;13.5;0.71;0.05;0.34;0.31;0.36;0.33;0.02;0.07;12;27;0.36
P07199;P07199;CENPB_HUMAN;1059;CENPB;Major centromere autoantigen B;CENPB;NA;0;1;1;9;11;12;10;1.41;0.14;12;16;28;14;2.83;0.2;0.21;0.26;0.27;0.23;0.03;0.15;12;28;0.27
Q9H7B4-1;Q9H7B4-1;SMYD3_HUMAN;64754;SMYD3;SET and MYND domain-containing protein 3;SMYD3,ZNFN3A1,ZMYND1;NA;0;3;1;10;12;12;11;1.41;0.13;38;41;79;39.5;2.12;0.05;0.3;0.35;0.35;0.32;0.03;0.1;12;79;0.35
Q4G0F5;Q4G0F5;VP26B_HUMAN;112936;VPS26B;Vacuolar protein sorting-associated protein 26B;VPS26B;NA;0;1;1;10;11;12;10.5;0.71;0.07;17;21;38;19;2.83;0.15;0.33;0.35;0.37;0.34;0.01;0.04;12;38;0.37
Q03936-1;Q03936-1;ZNF92_HUMAN;168374;ZNF92;Zinc finger protein 92;ZNF92;NA;0;4;2;9;11;12;10;1.41;0.14;20;19;39;19.5;0.71;0.04;0.22;0.23;0.25;0.23;0.01;0.05;12;39;0.25
P28066;P28066;PSA5_HUMAN;5686;PSMA5;Proteasome subunit alpha type-5;PSMA5;NA;0;1;1;10;12;12;11;1.41;0.13;42;45;87;43.5;2.12;0.05;0.55;0.57;0.57;0.56;0.02;0.03;12;87;0.57
O15321-1;O15321-1;TM9S1_HUMAN;10548;TM9SF1;Transmembrane 9 superfamily member 1;TM9SF1;NA;0;2;1;11;10;12;10.5;0.71;0.07;18;15;33;16.5;2.12;0.13;0.24;0.2;0.24;0.22;0.03;0.12;12;33;0.24
Q9H3R5;Q9H3R5;CENPH_HUMAN;64946;CENPH;Centromere protein H;CENPH,ICEN35;NA;0;1;1;10;10;12;10;0;0;13;14;27;13.5;0.71;0.05;0.43;0.4;0.47;0.41;0.02;0.05;12;27;0.47
Q13057-1;Q13057-1;COASY_HUMAN;80347;COASY;Bifunctional coenzyme A synthase;COASY;NA;0;2;2;12;9;12;10.5;2.12;0.2;17;11;28;14;4.24;0.3;0.3;0.21;0.3;0.26;0.06;0.24;12;28;0.3
Q9NQZ2;Q9NQZ2;SAS10_HUMAN;57050;UTP3;Something about silencing protein 10;UTP3,CRLZ1,SAS10;NA;0;1;1;9;8;12;8.5;0.71;0.08;12;11;23;11.5;0.71;0.06;0.26;0.16;0.31;0.21;0.07;0.35;12;23;0.31
Q99640;Q99640;PMYT1_HUMAN;9088;PKMYT1;Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase;PKMYT1,MYT1;NA;0;1;1;11;7;12;9;2.83;0.31;14;9;23;11.5;3.54;0.31;0.22;0.15;0.25;0.19;0.05;0.25;12;23;0.25
P53804-1;P53804-1;TTC3_HUMAN;7267;TTC3;E3 ubiquitin-protein ligase TTC3;TTC3,RNF105,TPRD,DCRR1;NA;0;3;1;6;10;12;8;2.83;0.35;8;11;19;9.5;2.12;0.22;0.03;0.05;0.06;0.04;0.02;0.45;12;19;0.06
